Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
COMD,7323,0U1,,8,,,7,,,,,,,,,,,,,,"Sweeney, Melissa H",,,,,
COMD,7V68,0U1,,38,,,,,,,,,,,,,,,,,"Sale, Felicity F",,,,,
COMD,7V86,0U1,,41,,,,,,,,,,,,,,,,,"Rich, Judith B",,,,,
COMD,7V86,0U2,,15,,,,,,,,,,,,,,,,,"Gollis, Christina R",,,,,
COMD,7V89,0U1,,12,,,1,,,,,,,,,,,,,,"Walsh, Diane G",,,,,
COMM,1311,0H1,2,4,3,1,1,,,,,,,,,,,,,,"Tanner, Lari J",,,,,
COMM,1311,0W1,,6,4,1,1,1,,,,,1,,2,,,,,,"Sova, Melodee L",,,,,
COMM,1311,0W2,16,2,,2,,,,,,,,,1,,,,,,"Saenz, Michael A",,,,,
COMM,1311,0W3,,3,11,2,1,,1,,2,2,,,2,,,,,,"Fraley, James M",,,,,
COMM,1315,0W1,6,5,2,1,,1,,,1,1,,,2,,,,4,,"Cannon, Charles",,,,,
COMM,1315,0W2,3,3,2,2,1,,,,1,,,,1,,,,1,,"Skiles, Bradley W",,,,,
COMM,1315,0W3,1,1,,1,1,2,2,2,,1,1,,4,,,,2,,"Bromberg, Mike",,,,,
COMM,3352,0W1,6,4,3,3,1,,1,,,,,1,3,,,,,,"Johnson, Janet L",,,,,
COMM,4371,0W1,3,6,1,1,,,1,,,,,,,,,,,,"Mckee-Williams, Candie D",,,,,
CRIM,2316,0W1,,10,2,4,3,1,,1,,,,,1,,,,,,"Puddy, Haley N",,,,,
CRIM,3301,0W1,10,12,17,4,1,,,,,,,,1,,,,,,"Chidozie, Eustace","Olszewski, Hailey",,,,
CRIM,3310,0W1,,15,5,5,2,,,,,,,,3,,,,,,"Lee, Insang","Yoon, Minyeong",,,,
CRIM,4311,0W1,,1,5,2,2,,,1,,,,,,,,,,,"Lee, Jaebom",,,,,
CRIM,4396,051,,10,,,,,,,,,,,,,,,,,"Boots, Denise P",,,,,
CRIM,4396,052,,11,,,,,,,,,,,,,,,,,"Worrall, John L",,,,,
CRWT,2301,0W2,8,2,1,1,,,,,,,,,1,,,,1,,"Baker, Matthew W",,,,,
CRWT,3306,5W1,1,10,,,,,,,1,,,,,,,,,,"Martinez, Manuel L",,,,,
CRWT,3354,0W1,,12,,,2,,,,,,,,,,,,,,"Goldberg, Paula",,,,,
CRWT,3354,0W2,1,10,2,,,,,,,,,,1,,,,,,"Goldberg, Paula",,,,,
CS,1325,0U1,1,2,1,2,5,,2,,,,,,1,,,,1,,"Chappidi, Sruthi","Mao, Ruiyu",,,,
CS,1337,0U2,2,4,,,5,3,,4,1,,2,,2,,,,,,"Gupta, Neeraj K","Yan, Xiao",,,,
CS,2305,0U1,1,8,1,3,2,3,3,5,,,,,2,,,,2,,"Davis, Chris I","Kimbrell, Keegan M",,,,
CS,2336,5U1,3,10,2,4,1,,,4,,,,,,,,,,,"Khan, Kamran Z","Li, Xinpeng",,,,
CS,2336,5U2,2,3,1,,4,2,2,2,,1,2,,2,,1,,,,"Chappidi, Sruthi","Mao, Ruiyu",,,,
CS,2340,0U1,8,2,2,,4,1,2,1,4,,3,,3,,,,1,,"Karami, Gity","Rafieian, Mohammad",,,,
CS,3341,0U1,,1,2,,6,1,4,2,1,,,,,,,,,,"Smiley, Octavious","Jannaty, Most Salma Y",,,,
CS,3341,0U2,1,2,2,1,4,1,2,3,2,,,1,1,,,,,,"Guo, Huizhen","Mathew, Minu Maria",,,,
CS,3345,0U1,1,2,2,4,8,8,2,5,3,,1,,2,,,,1,,"Zhao, Yi","Miah, Md Sanaullah","Hossain, Md Billal",,,
CS,3354,0U1,19,5,1,1,,,,1,,,,,,,,,,,"Nguyen, Tien N","Rong, Xiaokai",,,,
CS,3377,0W1,4,4,5,2,1,2,,,,,1,,,,,,,,"Dollinger, Scott M","Xu, Zexin",,,,
CS,3377,0W2,5,7,8,3,4,1,,,2,,3,,2,,,,,,"Dollinger, Scott M",Jishnu J,,,,
CS,4141,6U1,3,7,5,1,1,,1,,1,,,,,,,,,,"Karami, Gity","Yan, Shuo",,,,
CS,4141,6U2,2,3,6,2,2,1,,,,,,,,,,,,,"Karami, Gity","Yan, Shuo",,,,
CS,4337,0U1,,5,3,2,8,2,4,4,,4,4,,3,,,,1,,"Zhao, Yi","Veerabathini, Mohit Vykuntham",,,,
CS,4341,0U1,11,3,5,5,9,2,5,2,4,,1,,1,,,,,,"Karami, Gity","Omidi, Zahra",,,,
CS,4347,0U1,12,6,5,7,7,6,6,4,6,,,,1,,,,,,"Omer, Jalal S","Malhotra, Brij Gulsharan","Mulka, Sai Tharun Reddy","Li, Shengjie",,
CS,4348,0U1,6,4,7,1,3,,4,4,,,2,,,,,,,,"Omer, Jalal S","Malhotra, Brij Gulsharan","Li, Shengjie",,,
CS,4348,0U2,1,3,,,4,6,5,8,,,1,,,,,,,,"Maweu, Barbara","Zhao, Yichen",,,,
CS,4349,0U1,1,3,7,3,3,3,1,1,5,,,,1,,,,,,"Chitturi, Bhadrachalam","Wu, Peilin",,,,
CS,4352,0W1,,29,8,4,4,1,,,,,,,,,,,,,"Kumar, Pushpa S","Miao, Miao",,,,
CS,4365,5U1,9,4,3,4,1,2,2,,,1,,,,,,,,,"Schweitzer, Haim","Song, Zihe","Mao, Wei",,,
CS,4375,5U1,9,6,7,4,4,8,1,,,,,,,,,,1,,"Nagar, Anurag","Mao, Dongyu",,,,
CS,4375,5U2,2,2,5,5,6,3,,7,4,,1,,1,,,,1,,"Khan, Kamran Z","Vyas, Akshay",,,,
CS,4376,0U1,2,2,1,2,3,2,2,2,,,,,1,,,,,,"Chung, Lawrence","Alshomar, Ahmad",,,,
CS,4384,0U1,,6,6,7,6,6,6,5,1,,,,1,,,,,,"Davis, Chris I","Li, Congzhou",,,,
CS,4384,0U2,,,1,,3,7,2,4,1,1,2,,6,,,,,,"Ntafos, Simeon C","Ou, Yuzhe",,,,
CS,4390,0U1,,9,4,6,6,11,,3,,,2,,1,,,,1,,"Prakash, Ravi","Nik Khah, Arman",,,,
CS,4485,0W1,4,13,4,2,,,,,,,,,,,,,,,"Razo-Razo, Miguel Angel",,,,,
CS,6301,0U1,,57,,,,,,,,,,,,,,,,,"Thuraisingham, Bhavani M","Saha, Pritom K",,,,
CS,6346,0U1,,13,3,,1,,,,,,,,,,,,,,"Mittal, Neeraj","Hatfield, Cody R",,,,
CS,6350,0U1,,9,3,3,,,,,,,,,,,,,,,"Nagar, Anurag","Miah, Md Sanaullah",,,,
