Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Henslee, Austin","Manohara Selvan, Varun Kumar",,,,,BUAN,6346,502,,7,27,,,,,,,,,,,,,,,,0,axh134230,austin henslee,Big Data Analytics 
"Blueshtein, Moran","Smith, Jake A",,,,,BUAN,6312,003,,5,4,8,5,5,1,,,,,,,,,,,,0,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
"Manzi, Jeff","Treece, Gregory A",,,,,FIN,4390,001,14,,,,,,,,,,,,,,,,,,0,jxm158130,jeffrey manzi,Seminar Series in Finance 
"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,BUAN,6320,0W1,,5,7,5,7,4,2,,,,,,,,,,,,1,huseyin,huseyin cavusoglu,Database Foundations 
"Mehra, Amit","Mutyala, Mehar Venkat Aditya",,,,,MIS,6344,002,,12,18,5,1,2,1,,,,,,,,,,,,0,axm078200,amit mehra,Web Analytics 
"Kuo, Ching-Chung","Guda, Harish","Deodhar, Adneya",,,,OPRE,6398,002,,3,,,2,,,1,,,,,,,,,,,0,cxk162830,,Prescriptive Analytics 
"Kuo, Ching-Chung","Guda, Harish","Deodhar, Adneya",,,,BUAN,6398,002,,12,4,4,16,1,2,4,,,,,,,,,,,0,cxk162830,,Prescriptive Analytics 
"Edsel, Alexander D",,,,,,MKT,4330,0W2,1,4,5,5,4,4,1,4,3,,1,4,3,,,,,,0,ade012000,alexander edsel,Digital and Internet Marketing 
"Bradbury, Judd D","Senthilkumar, Gowtham","Vashistha, Manish Surendra",,,,MIS,6380,002,,17,16,9,10,1,1,,,,,,1,,,,,,0,jdb101000,judd bradbury,Data Visualization 
"Bardhan, Indranil R","Bao, Chenzhang",,,,,BUAN,6356,001,,15,11,13,5,7,4,,,,,,1,,,,,,2,bardhan,indranil bardhan,Business Analytics With R 
"Santhanakrishnan, Sailakshmi","Panjrattan, Shivika",,,,,ITSS,4360,001,,12,19,8,6,4,,,,,,,,,,,,,0,sxs171932,sailakshmi santhanakrishnan,Network and Information Security 
"Owens, Dawn M","Thangeda, Bhavana",,,,,ITSS,3300,011,,6,3,8,8,10,3,2,,1,,,3,,,,,,1,dmo130130,dawn owens,Information Technology for Business 
"Chen, Bei",,,,,,CHIN,1311,001,10,3,4,1,1,1,3,,,,,,,,,,,,1,bxc152730,bei chen,Beginning Chinese I 
"Fettouh, Maha K",,,,,,FREN,1312,001,,10,,,,,,1,,,,,,,,,,,1,mkf101020,maha fettouh,Beginning French II 
"Schulze, Jeffrey","Minich, Joseph T",,,,,HIST,1302,001,3,9,7,12,7,5,3,6,4,4,2,3,21,,,,,,4,jxs072200,jeffrey schulze,U S  History Survey from Civil War 
"Schulze, Jeffrey","Hirshberg, Jeffrey",,,,,HIST,1302,002,2,10,6,8,15,9,1,6,5,,5,6,12,,,,,,5,jxs072200,jeffrey schulze,U S  History Survey from Civil War 
"Schulze, Jeffrey","Williams, Harold T",,,,,HIST,1302,003,2,12,8,14,19,2,1,9,1,,3,3,11,,,,,,4,jxs072200,jeffrey schulze,U S  History Survey from Civil War 
"Johnson, Yvonne","Ye, Huiping","Ahmed, Areeba S",,,,HIST,1302,004,1,2,8,6,15,11,6,12,7,2,4,5,3,,,,,,5,yxj172130,yvonne johnson,U S  History Survey from Civil War 
"Johnson, Yvonne","Ye, Huiping",,,,,HIST,1302,005,,3,6,2,5,9,2,5,1,1,2,2,7,,,,,,1,yxj172130,yvonne johnson,U S  History Survey from Civil War 
"Volanto, Keith J","Davis, Lauren R",,,,,HIST,2301,501,,7,1,4,17,2,4,10,1,1,5,1,13,,,,,,3,kjv062000,keith volanto,History of Texas 
"McCullough, Shellie K",,,,,,HUMA,1301,001,1,17,5,,,2,,1,,,2,,6,,,,,,0,skm022000,shellie mccullough,Exploration of the Humanities 
"Ingrao, Peter J","Iftikhar, Shabnum",,,,,HUMA,1301,002,32,9,1,9,6,5,,,2,,,,2,,,,,,1,jingrao,peter ingrao,Exploration of the Humanities 
"Ingrao, Peter J","Kelso, Kristen",,,,,HUMA,1301,003,35,14,4,11,2,2,,1,,1,,,,,,,,,0,jingrao,peter ingrao,Exploration of the Humanities 
"Hasler, Carl",,,,,,HUMA,1301,004,,2,6,6,11,11,11,3,2,5,3,,4,,,,,,3,cxh165030,carl hasler,Exploration of the Humanities 
"Widomski, Chris",,,,,,MUSI,1306,001,,4,5,3,3,1,1,2,4,1,1,,8,,,,,,0,cxw164530,chris widomski,Understanding Music 
"Ocasio-Russe, Lizbette",,,,,,RHET,1302,001,1,5,2,1,3,1,2,1,,,,,2,,,,,,0,lxo160130,lizbette ocasio russe,Rhetoric 
"Riley, Kristin N",,,,,,RHET,1302,002,1,6,1,2,4,,1,1,,,1,,2,,,,,,0,knr091000,kristin riley,Rhetoric 
"Stout, Patricia J",,,,,,RHET,1302,003,,6,3,3,1,1,2,1,,,,,1,,,,,,1,pjs140230,,Rhetoric 
"King, Alana",,,,,,RHET,1302,004,2,3,,5,3,,,,1,1,,2,2,,,,,,0,axk173530,alana king,Rhetoric 
"Riley, Kristin N",,,,,,RHET,1302,005,4,6,3,1,,2,,1,1,1,,,,,,,,,0,knr091000,kristin riley,Rhetoric 
"Siddiqui, Farah",,,,,,RHET,1302,006,2,6,6,2,,1,,,,,,,,,,,,,2,fxs121830,farah siddiqui,Rhetoric 
"King, Alana",,,,,,RHET,1302,007,3,2,3,3,,2,,1,,1,1,1,2,,,,,,0,axk173530,alana king,Rhetoric 
"Riley, Kristin N",,,,,,RHET,1302,008,1,6,3,2,,,1,2,1,,,,2,,,,,,1,knr091000,kristin riley,Rhetoric 
"Siddiqui, Farah",,,,,,RHET,1302,009,1,7,9,,,,,,,,,,2,,,,,,0,fxs121830,farah siddiqui,Rhetoric 
"Saeidfar, Ghazal",,,,,,RHET,1302,010,,10,4,3,,,,,,,,,,,,,,,0,gxs153630,ghazal saeidfar,Rhetoric 
"Field, Amanda C",,,,,,RHET,1302,011,6,6,2,2,1,,,,,,,,2,,,,,,0,axl151930,amanda field,Rhetoric 
"Boyer, Kent L",,,,,,RHET,1302,012,3,9,1,,1,2,,,,,,,2,,,,,,1,klb140030,kent boyer,Rhetoric 
"Saeidfar, Ghazal",,,,,,RHET,1302,013,,9,7,1,,,,,,,,,2,,,,,,0,gxs153630,ghazal saeidfar,Rhetoric 
"Wright, Adam M",,,,,,RHET,1302,014,2,5,5,3,,,,,,,,,2,,,,,1,0,amw140430,adam wright,Rhetoric 
"Balasa, Alexandra",,,,,,RHET,1302,015,,2,3,3,3,,2,1,1,,,2,1,,,,,,1,axb177630,alexandra balasa,Rhetoric 
"Wright, Adam M",,,,,,RHET,1302,016,,6,8,1,,1,,,1,,,,1,,,,,,0,amw140430,adam wright,Rhetoric 
"Lyons, David L",,,,,,RHET,1302,017,1,10,1,,1,2,2,,1,,,,,,,,,,1,dll101020,david lyons,Rhetoric 
"Boyer, Kent L",,,,,,RHET,1302,018,7,4,2,2,2,,,,,,,,1,,,,,,0,klb140030,kent boyer,Rhetoric 
"Jett, Merry A",,,,,,RHET,1302,019,5,4,2,1,3,1,,,,,,,2,,,,,,1,mxj120530,merry jett,Rhetoric 
"Keeth, Sara L",,,,,,RHET,1302,0H4,3,2,2,,4,1,1,,,,1,1,4,,,,,,0,slk041000,sara keeth,Rhetoric 
"McIntosh, Suzanne K",,,,,,RHET,1302,022,6,6,2,1,1,1,,1,,,,,1,,,,,,0,skm130030,suzanne mcintosh,Rhetoric 
"Leverone, Julia",,,,,,SPAN,1312,001,1,8,4,,2,2,,,,,,,2,,2,,,,0,jxl162631,julia leverone,Beginning Spanish II 
"Goode, Dianne H","Toombs, Kenady M",,,,,AHST,1303,001,7,10,10,8,9,6,9,7,6,3,,1,8,,,,,,3,dgoode,dianne goode,Survey of Western Art History  Ancient to Medieval 
"Terranova, Charissa",,,,,,AHST,2331,001,33,48,23,6,14,8,4,6,4,1,1,2,16,,,,,,6,cxt074100,charissa terranova,Understanding Art 
"Hibbs, Shelby A",,,,,,AP,3300,501,3,12,5,1,2,,2,1,,,,1,3,,,,,,2,sah140730,shelby hibbs,Elements of Art and Performance 
"Stone, Winston","Guyot, Natacha","Ward, Lindsey K",,,,ARTS,1301,001,7,27,8,8,11,8,3,2,2,3,2,1,7,,,,,,1,wxs034000,winston stone,Exploration of the Arts 
"Stone, Winston","Tran, Loan T","Johnson, Ryan L",,,,ARTS,1301,002,11,18,8,6,7,11,5,8,4,,1,,7,,,,,,3,wxs034000,winston stone,Exploration of the Arts 
"Copeland, Colette",,,,,,ARTS,2350,001,1,4,1,2,2,1,1,1,,1,1,,2,,,,,,1,cxc132230,colette copeland,Photography  Design Basics 
"Tady, Lorraine T",,,,,,ARTS,3373,001,,8,,3,1,,,,,,,,1,,,,,,0,ltt042000,lorraine tady,Printmaking 
"Chen, Bei",,,,,,CHIN,1312,001,9,3,1,2,2,,,,,,,,1,,,,,,0,bxc152730,bei chen,Beginning Chinese II 
"Kimzey, Blake G",,,,,,CRWT,2301,001,,9,3,1,2,,,1,,,,,,,,,,,0,bgk140130,blake kimzey,Introductory Creative Writing 
"DiNuzzo, Brian",,,,,,CRWT,2301,002,,1,3,5,3,,2,,,1,,1,3,,,,,,0,bxd141330,brian dinuzzo,Introductory Creative Writing 
"Zisman, Noah I",,,,,,CRWT,2301,501,6,2,1,1,,2,1,1,,,1,,,,,,,,0,nxz110630,noah zisman,Introductory Creative Writing 
"Webb, Elena G",,,,,,GERM,1312,501,5,2,,,,,,1,,,1,,,,,,,,1,exw034000,elena webb,Beginning German II 
"Lester, Carole N","D'Monte, Nikita",,,,,HIST,1301,001,,27,,5,26,,3,3,,,3,,21,,,,,,1,cxl116430,carole lester,U S  History Survey to Civil War 
"Wilson, Michael",,,,,,HUMA,6300,501,,3,3,2,2,,,,,,,,,,,,,,1,mwilson,michael wilson,Interdisciplinary Approaches to the Arts and Humanities 
"Hunt, Shamim",,,,,,LIT,2331,001,,6,3,2,2,1,,1,,1,,,2,,,,,,3,sxh034100,,Masterpieces of World Literature 
"Kraemer, Jennifer D",,,,,,LIT,2341,001,,5,2,1,1,,,,,,,,1,,,,,,1,jdk019100,jennifer kraemer,Literary Analysis 
"Lambert, Thomas M",,,,,,LIT,3332,501,4,3,1,2,1,,2,2,,,,,,,,,,,0,tml017100,thomas lambert,English Syntax and Mechanical Structure 
"Hodan, Daniel M",,,,,,MUSI,2315,001,,13,7,1,,,,,,,,,,,,,,,1,dmh017000,daniel hodan,Guitar I 
"Medrick, Mary A",,,,,,MUSI,2317,001,,13,1,,,,,1,1,,1,,,,,,,,1,mam017200,mary medrick,Piano I 
"Durbin, Kelly",,,,,,MUSI,2319,001,1,13,2,,1,1,,,,,,,,,,,,,0,kpdurbin,kelly durbin,Digital Music I 
"Hughes, William K",,,,,,MUSI,2325,001,2,7,1,,3,1,1,,,,,,,,,,,,1,wkh150030,william hughes,Vocal Instruction I 
"Medrick, Mary A",,,,,,MUSI,3388,001,6,6,,,2,,1,,,,,,1,,,,,,1,mam017200,mary medrick,Piano II 
"Lambert, Thomas M",,,,,,SPAN,1311,001,2,10,1,4,2,4,,1,,,,,1,,,,,,1,tml017100,thomas lambert,Beginning Spanish I 
"Johnson, Melissa A",,,,,,DANC,2332,001,9,4,,,2,,,1,,,,,1,,,,,,1,maj140430,melissa johnson,Modern Dance 1 
"Owens, Misty",,,,,,DANC,2333,001,8,10,2,,,,1,,,,,,,,,,,,3,mxo122530,misty owens,Jazz Dance 1 
"Saba, Monica",,,,,,DANC,2334,001,9,1,,1,1,,,,,,,,,,,,,,2,msaba,monica saba,Ballet 1 
"Shierry, Addison",,,,,,RHET,1302,020,8,3,1,,,1,,1,2,,,,2,,,,,,1,axs084500,addison shierry,Rhetoric 
"Leek, Patricia A",,,,,,LIT,3315,001,1,16,3,2,3,,,1,,,,,,,,,,,0,santine,patricia leek,Children s Literature 
"Leek, Patricia A",,,,,,LIT,3315,501,1,7,4,,4,1,2,2,,,,,,,,,,,0,santine,patricia leek,Children s Literature 
"Sengupta, Karl",,,,,,RHET,1302,023,5,10,2,1,,1,,,,,,,,,,,,,0,kss140330,karl sengupta,Rhetoric 
"Shierry, Addison",,,,,,RHET,1302,024,10,2,1,,5,,,,1,,,,,,,,,,0,axs084500,addison shierry,Rhetoric 
"Bell, Joycelyn M",,,,,,RHET,1302,025,2,8,5,,3,,,1,,,,,,,,,,,0,jxb120631,,Rhetoric 
"Bovda, Alisa Y",,,,,,RHET,1302,026,,8,3,4,1,1,1,,,,1,,,,,,,,0,ayb091020,alisa bovda,Rhetoric 
"Sinckler, Robin",,,,,,RHET,1302,027,,1,3,1,2,2,1,,,,,,6,,,,,,1,rxs150131,robin sinckler,Rhetoric 
"McCullough, Shellie K","Armentrout, Kenneth C",,,,,HUMA,1301,005,12,28,7,9,2,2,2,1,,,,,5,,,,,,2,skm022000,shellie mccullough,Exploration of the Humanities 
"Lester, Carole N",,,,,,HIST,1302,006,,23,,1,20,,2,6,,1,5,,12,,,,,,0,cxl116430,carole lester,U S  History Survey from Civil War 
"Towner, Theresa",,,,,,HUMA,1301,HN1,1,11,1,,,,,,,,,,,,,,,,1,tmtowner,theresa towner,Exploration of the Humanities 
"Anjum, Zafar",,,,,,ARAB,1311,001,18,5,,3,1,,,,,,,,1,,,,,,0,zxa110730,zafar anjum,Beginning Arabic I 
"Min, Inki A",,,,,,ARTS,1316,001,7,6,5,,,,,,,,,,,,,,,,1,iam140230,inki min,Drawing Foundations 
"Booker, Paul D",,,,,,ARTS,1316,002,5,4,4,2,2,1,,,,,,,,,,,,,1,pdb041000,,Drawing Foundations 
"Brown-Pearn, Spencer S",,,,,,ARTS,1316,003,1,13,3,,,1,,,1,,,,,,,,,,0,ssb062000,spencer brown pearn,Drawing Foundations 
"Booker, Paul D",,,,,,ARTS,1316,004,8,1,3,,2,1,,,1,,,,1,,,,,,1,pdb041000,,Drawing Foundations 
"Ligon, Peter A",,,,,,ARTS,2316,001,,2,3,5,,,,1,,,1,,1,,,,,,2,pal140130,peter ligon,Painting Foundations 
"Egan, Trey T",,,,,,ARTS,2316,501,4,8,1,,2,1,,1,,,,,,,,,,,0,tte150130,trey egan,Painting Foundations 
"Egan, Trey T",,,,,,ARTS,2380,001,5,4,1,,1,1,,1,,,,,,,,,,1,1,tte150130,trey egan,2D Design Foundations 
"Carter, Rebecca S",,,,,,ARTS,2380,002,4,2,2,1,1,,,1,,,,,2,,,,,,2,rsc150030,,2D Design Foundations 
"Trosper, Elizabeth M",,,,,,ARTS,2380,501,7,2,,,1,,,2,,,,,,,,,,,1,emt130130,elizabeth trosper,2D Design Foundations 
"Tady, Lorraine T",,,,,,ARTS,3363,001,,14,,,2,,,,,,,,,,,,,,3,ltt042000,lorraine tady,Typography  Technology  Image 
"Cochran, Kristen N",,,,,,ARTS,4366,001,2,6,8,2,,,,,,,,,,,,,,,0,knc103020,kristen cochran,Advanced Drawing 
"Brown-Pearn, Spencer S",,,,,,ARTS,3368,001,5,13,1,,,,,,,,,,,,,,,,0,ssb062000,spencer brown pearn,Mixed Media 
"Miller, Cynthia M",,,,,,ARTS,3371,001,2,,6,2,1,1,,1,,1,,,2,,,,,,1,cmm016900,cynthia miller,Photography  Black White 
"Loving, Emily",,,,,,ARTS,3372,001,,13,4,1,,,,,,,,,,,,,,,1,exl097120,emily loving,Photography  Color 
"Pomara, John",,,,,,ARTS,4368,001,3,8,,,,,,,,,,,,,,,,,0,pomara,john pomara,Advanced Visual Arts 
"Burnett, Lora D","Dunham, Daniel C",,,,,HIST,1302,010,21,34,11,10,3,3,2,1,2,1,,,,,,,,,1,ldb082000,lora burnett,U S  History Survey from Civil War 
"Wilson, Michael",,,,,,HIST,3301,501,,1,5,4,4,6,1,,,,,,3,,,,,4,0,mwilson,michael wilson,Historical Inquiry 
"McCullough, Shellie K","Snyder, Sarah E",,,,,HUMA,1301,006,11,32,7,9,,,3,1,,,1,,4,,,,,,0,skm022000,shellie mccullough,Exploration of the Humanities 
"Allred, Michael K",,,,,,JAPN,1312,001,6,1,6,,,,,,,,1,,,,,,,,1,mka170830,michael allred,Beginning Japanese II 
"Mcvay, Michael",,,,,,MUSI,2328,001,2,6,,1,,1,,2,,,,,4,,,,,,1,mjm031000,michael mcvay,Music Theory I 
"Bovda, Alisa Y",,,,,,RHET,1302,028,,7,3,3,,1,,,1,,,,4,,,,,,0,ayb091020,alisa bovda,Rhetoric 
"Tehan, Terin J",,,,,,RHET,1302,029,,14,1,2,,,,,1,,1,,,,,,,,0,txt125430,terin tehan,Rhetoric 
"Crawford, Rachel",,,,,,RHET,1302,030,1,6,,3,,,,,,,,,3,,,,,,1,rxc161430,rachel crawford,Rhetoric 
"Kirk, Kristina E",,,,,,RHET,1302,031,6,6,,,1,,,1,1,,,,2,,,,,,0,kek160430,kristina kirk,Rhetoric 
"Ali, Shazia",,,,,,RHET,1302,032,5,9,4,1,,,,,,,,,,,,,,,0,shazia,ali shazia,Rhetoric 
"Ott, Lynette",,,,,,RHET,1302,033,,4,4,1,2,2,,1,,1,,,3,,,,,,0,lxo120730,lynette ott,Rhetoric 
"Keeth, Sara L",,,,,,RHET,1302,0H1,5,2,1,2,3,3,,,1,,,1,1,,,,,,0,slk041000,sara keeth,Rhetoric 
"Hamilton, Cristen",,,,,,RHET,1302,501,,6,2,4,3,1,,1,1,,,,,,,,,,0,cch073000,cristen hamilton,Rhetoric 
"Hamilton, Cristen",,,,,,RHET,1302,502,,3,4,6,5,1,,,,,,,,,,,,,0,cch073000,cristen hamilton,Rhetoric 
"Durant, Stephanie D",,,,,,ARTS,3379,001,2,7,5,2,2,,,,,,1,,,,,,,,0,ddm043000,,Photography  New Media 
"Palmer, Marcy A",,,,,,ARTS,3379,002,,1,9,2,3,,1,1,,,,,2,,,,,,0,mxp070100,marcy palmer,Photography  New Media 
"Shi, Shuai",,,,,,CHIN,1311,002,4,3,1,5,1,,,,,,,,1,,1,,,,0,sxs180130,shuai shi,Beginning Chinese I 
"Zisman, Noah I",,,,,,CRWT,4354,001,8,1,,1,1,,,,1,,,,,,,,,,0,nxz110630,noah zisman,Creating Scripts 
"Hanlon, Michele J",,,,,,DANC,2321,001,16,6,,2,,,,,,,,,,,,,,,0,mhanlon,,Stretch  Conditioning  Alignment 
"Gu, Ming D","Tang, Le",,,,,HUMA,1301,009,4,8,6,11,10,2,9,6,,1,1,,8,,,,,,3,mdg073000,ming dong gu,Exploration of the Humanities 
"Ingrao, Peter J",,,,,,LIT,3326,001,7,2,5,1,,,,1,,,,,,,,,,,0,jingrao,peter ingrao,The Literature of the American South 
"Widomski, Chris",,,,,,MUSI,1306,002,5,11,11,4,2,1,,5,2,2,,,3,,,,,,1,cxw164530,chris widomski,Understanding Music 
"Medrick, Mary A",,,,,,MUSI,2317,002,1,13,3,,,,,,,,,,1,,,,,,0,mam017200,mary medrick,Piano I 
"Evans, Kathryn C",,,,,,MUSI,4385,001,,11,3,,3,,,,,,,,2,,,,,,0,kcevans,kathryn evans,Chamber Singers II 
"Durbin, Kelly",,,,,,MUSI,4386,001,3,10,,,,,,,,,,,,,,,,,0,kpdurbin,kelly durbin,Jazz Ensemble III 
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,001,6,1,3,10,7,7,9,5,2,2,,,12,,,,,,4,laa062000,lawrence amato,Introduction to Philosophy 
"Camacho-Guardado, Lorena",,,,,,SPAN,2311,001,2,7,8,2,,1,1,,1,,,,,,,,,,1,lxc163230,amalia lorena camacho guardardo,Intermediate Spanish I 
"Hodan, Daniel M",,,,,,MUSI,2315,501,,6,3,,1,,,,,,,,,,,,,,0,dmh017000,daniel hodan,Guitar I 
"Leek, Patricia A",,,,,,LIT,3315,002,,13,1,2,1,,1,1,,,,,,,,,,,0,santine,patricia leek,Children s Literature 
"Metz, Greg L",,,,,,ARTS,3378,001,,5,2,,3,1,,3,,,,,,,,,,1,0,glmetz,greg metz,Figure Sculpture 
"Carter, Rebecca S",,,,,,ARTS,3381,001,1,7,4,1,,3,,,,,,,,,,,,,0,rsc150030,,Video Painting 
"Madriguera, Enric F",,,,,,MUSI,4316,001,,8,5,,,,,,,,,,,,,,,,0,efm011000,,Guitar Ensemble III 
"Durbin, Kelly",,,,,,MUSI,3325,001,1,2,5,1,1,,,,,,,,,,,,,,0,kpdurbin,kelly durbin,Jazz History  Modern Jazz since BeBop 
"Camacho-Guardado, Lorena",,,,,,SPAN,2312,001,4,2,9,1,1,,1,,,,,,,,1,,,,1,lxc163230,amalia lorena camacho guardardo,Intermediate Spanish II 
"Leek, Patricia A",,,,,,LIT,3315,003,,12,7,1,2,1,,,,,,,,,,,,,0,santine,patricia leek,Children s Literature 
"Keeth, Sara L",,,,,,RHET,1302,0H2,3,3,5,3,1,,,,,,,,2,,,,,,1,slk041000,sara keeth,Rhetoric 
"Keeth, Sara L",,,,,,RHET,1302,0H3,2,5,1,2,4,2,1,1,,,,,,,,,,1,0,slk041000,sara keeth,Rhetoric 
"Manes, Christopher L",,,,,,RHET,1302,503,1,1,3,3,3,3,1,,1,,,,1,,,,,,2,clm036000,christopher manes,Rhetoric 
"Ali, Shazia",,,,,,RHET,1302,504,1,11,2,2,2,,,,,1,,,,,,,,,0,shazia,ali shazia,Rhetoric 
"Durant, Stephanie D",,,,,,ARTS,3371,002,1,4,6,3,2,1,,,,,,,,,,,,,0,ddm043000,,Photography  Black White 
"Petty, John E","Cochran, Tyler",,,,,FILM,2332,001,1,11,12,9,7,11,14,2,5,2,2,1,10,,,,,,0,jep140330,john petty,Understanding Film 
"Burnett, Lora D","Dunbar, Amanda R",,,,,HIST,1302,008,19,41,14,6,7,2,1,,,,,,,,,,,,0,ldb082000,lora burnett,U S  History Survey from Civil War 
"Burnett, Lora D","Varghese, Shawn",,,,,HIST,1302,009,24,45,5,,11,1,,1,,,,,1,,,,,,0,ldb082000,lora burnett,U S  History Survey from Civil War 
"Pfister, Debra H",,,,,,HIST,4344,001,3,10,18,2,3,1,1,,3,,,,1,,,,,1,2,dhpf,debra pfister,Topics in European History 
"McLean, Adrienne L",,,,,,HUAS,7360,001,,6,1,,,,,,,,,,,,,,,,0,amclean,adrienne mclean,Advanced Topics in Film  Television  and Digital Media 
"Ingrao, Peter J","Thomas, Kathryn E",,,,,HUMA,1301,008,30,6,9,6,14,3,,,,,,,1,,,,,,1,jingrao,peter ingrao,Exploration of the Humanities 
"McLean, Adrienne L",,,,,,FILM,3321,001,8,6,4,13,4,7,2,,,,,,1,,,,,,0,amclean,adrienne mclean,Film in Historical Context 
"Palant, Jonathan",,,,,,MUSI,1306,004,,14,15,6,4,,,4,1,,,,2,,,,,,1,jxp170230,jonathan palant,Understanding Music 
"Starnaman, Sabrina",,,,,,ARHM,3342,501,8,4,,2,,,,,3,,,,5,,,,,1,5,sxs090100,sabrina starnaman,Advanced Interdisciplinary Studies in the Arts and Humanities 
"Palmer, Marcy A",,,,,,ARTS,3372,002,,2,5,2,2,3,3,,,,1,,,,,,,,1,mxp070100,marcy palmer,Photography  Color 
"Conrad, Sharron W",,,,,,HIST,1301,002,,15,2,7,7,5,2,1,2,,3,,2,,,,,,2,swc071000,sharron conrad,U S  History Survey to Civil War 
"Pfister, Debra H",,,,,,HIST,4344,501,15,8,7,4,,2,,,1,,,,3,,,,,,0,dhpf,debra pfister,Topics in European History 
"Roemer, Nils H",,,,,,HUHI,6320,001,,15,1,1,,,,,,,,,,,,,,1,1,nhr061000,nils roemer,Perceptions of the Past 
"Kroska, Nami",,,,,,JAPN,2312,001,2,3,7,2,3,1,1,,1,,,,1,,,,,,0,nxk167330,nami kroska,Intermediate Japanese II 
"Al-Habashneh, Eman Bahjat",,,,,,LIT,2331,003,,3,6,2,1,4,1,2,,,,,4,,,,,,1,eba130130,eman al habashneh,Masterpieces of World Literature 
"Biswas, Madhavi",,,,,,LIT,2331,002,,11,5,6,,,,,,,,,1,,,,,,0,mxb128930,madhavi biswas,Masterpieces of World Literature 
"Austin-Bolt, Caroline M",,,,,,LIT,2341,501,,4,3,2,2,,,1,,,,1,1,,,,,,0,cma052000,caroline austin bolt,Literary Analysis 
"Starnaman, Sabrina","Alhashmi, Rawad Y",,,,,LIT,3317,501,15,12,14,20,14,4,4,2,,,1,,3,,,,,,1,sxs090100,sabrina starnaman,The Literature of Fantasy 
"Hatfield, Charles D",,,,,,LIT,3339,001,2,5,16,8,,,,,,,,,1,,,,,1,1,cxh074100,charles hatfield,Writing in Literary Studies 
"Baker, Barbara L",,,,,,COMM,1311,001,1,,1,3,5,5,4,3,,,1,,,,,,,,1,blb140430,barbara baker,Survey of Oral and Technology-based Communication 
"Baker, Barbara L",,,,,,COMM,1311,002,,1,5,2,5,4,1,2,1,,,,1,,,,,,2,blb140430,barbara baker,Survey of Oral and Technology-based Communication 
"Totusek, Patricia F",,,,,,COMM,1311,003,7,7,2,3,4,1,,,,,,,,,,,,,0,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
"Arnold, Bob",,,,,,COMM,1311,004,2,5,2,1,1,4,1,3,1,,,,2,,,,,,1,bxa161430,bob arnold,Survey of Oral and Technology-based Communication 
"Arnold, Bob",,,,,,COMM,1311,005,,7,5,2,5,1,,2,,,,,1,,,,,,0,bxa161430,bob arnold,Survey of Oral and Technology-based Communication 
"Totusek, Patricia F",,,,,,COMM,1311,006,4,5,6,4,1,,2,,,,,,,,,,,,1,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
"Totusek, Patricia F",,,,,,COMM,1311,007,4,6,6,4,2,,,1,,,,,,,,,,,0,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
"Juarez, Veronica",,,,,,COMM,1311,008,4,8,1,4,1,2,,2,,,,,2,,,,,,0,vxj161430,veronica juarez,Survey of Oral and Technology-based Communication 
"Williams, Alecia N",,,,,,COMM,1311,501,1,2,2,3,7,,,1,,,,2,2,,,,,,1,axw124630,alecia williams,Survey of Oral and Technology-based Communication 
"Stewart, Derek A",,,,,,COMM,1311,009,11,8,2,1,1,,,,,,,,,,,,,,1,das141230,derek stewart,Survey of Oral and Technology-based Communication 
"Hanson, Jocyln Y",,,,,,COMM,1311,010,12,2,4,1,2,,,1,,,,,1,,,,,,1,jyh140230,jocyln hanson,Survey of Oral and Technology-based Communication 
"Hanson, Jocyln Y",,,,,,COMM,1311,011,18,2,2,1,,,,,,,,,,,,,,,1,jyh140230,jocyln hanson,Survey of Oral and Technology-based Communication 
"Templeton, Allison A",,,,,,COMM,1311,012,2,2,4,1,4,1,2,2,1,1,1,1,2,,,,,,0,aam141730,allison templeton,Survey of Oral and Technology-based Communication 
"Moss, Daniel J",,,,,,COMM,1311,020,2,2,3,1,2,2,2,,,,2,,3,,,,,,1,djm161130,daniel moss,Survey of Oral and Technology-based Communication 
"Juarez, Veronica",,,,,,COMM,1311,015,,5,1,2,1,1,,1,1,,,,2,,,,,,1,vxj161430,veronica juarez,Survey of Oral and Technology-based Communication 
"Krishnaswamy, Nandini",,,,,,COMM,1311,016,4,6,2,3,1,2,2,1,,,,,,,,,,,2,nxk176230,,Survey of Oral and Technology-based Communication 
"Baynham, Karen M",,,,,,COMM,1311,503,4,2,2,1,4,2,,,,1,,,2,,,,,,1,contemp,karen baynham,Survey of Oral and Technology-based Communication 
"Saba, Monica",,,,,,DANC,1310,0H1,2,22,4,1,1,2,,,,,,,,,,,,,0,msaba,monica saba,Understanding Dance 
"Cohen, Milton",,,,,,HUSL,6304,001,,2,,2,2,,,,,,,,1,,,,,,0,mcohen,milton cohen,Studies in Literary Themes 
