Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ATCM,3381,001,,4,2,,1,1,,1,,1,,,1,0,,,,,"Drogos, Kristin L",,,,,,kld140230,kristen drogos,Media and Communication Research Methods II 
CE,6304,001,,,4,4,3,,,,,,,,,0,,,,,"Shakhakarmi, Niraj","Goswami, Pingakshya","Kong, Zelun",,,,nxs190009,,Computer Architecture 
FIN,4307,001,,11,,,,,,,,,,,,0,,,,,"Furst, Jack D",,,,,,jdf170030,jack furst,Private Equity 
ACTS,6305,501,,2,3,2,4,,,,,,,,,0,,,,,"Lu, Wenyi",,,,,,wxl153330,wenyi lu,Construction and Evaluation of Actuarial Models II 
OBHR,4336,001,3,2,3,,,1,,1,,,1,,,0,,,,,"Campbell, Michael",,,,,,mxc180034,,Labor and Employee Relations 
CE,3345,003,1,,4,3,1,1,,,,,,,1,0,,,,,"Chida, Anjum",,,,,,axc157030,anjum chida,Data Structures and Introduction to Algorithmic Analysis 
COMD,7384,501,,11,,,,,,,,,,,,0,,,,,"Lombardi, Christina L",,,,,,tinalee,,Augmentative Communication 
CE,3301,001,,3,1,,2,,1,2,,,1,,1,0,,,,,"Helms, Robert","Palit, Prithviraj",,,,,rxh033000,,Electrical Network Analysis 
BIOL,6344,001,,5,3,3,,,,,,,,,,0,,,,,"Du, Heng","Srikanth, Uma","Tian, Jing",,,,hxd131030,heng du,Molecular Neuropathology II 
ISIS,3309,001,1,2,2,1,1,,1,2,,,1,,,0,,,,,"Salter, Elizabeth",,,,,,emsalter,elizabeth salter,Dental Anthropology 
HONS,3112,HN1,6,3,,,,1,,,,,,,1,0,,,,,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan,Contemporary Topics in Business 
BIS,3320,005,,1,2,2,5,,,,,,,,1,0,,,,,"Pogue, Neall W",,,,,,nxp174730,neall pogue,The Nature of Intellectual Inquiry 
EE,3120,101,,7,,,2,,,1,,,,,1,0,,,,,"Zhou, Dian","Wang, Xianan",,,,,zhoud,dian zhou,Digital Circuits Laboratory 
SCI,5338,5H1,,11,,,,,,,,,,,,0,,,,,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor,Conceptual Chemistry  The Atom and the Bridge from Physics to Biology 
REAL,3305,002,,1,,,3,2,,2,,,3,,,0,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery,Real Estate Principles 
FIN,6323,501,,3,3,2,3,,,,,,,,,0,,,,,"Crumpecker, Brad",,,,,,bxc122130,,Real Estate Market Analysis and Investment 
SE,6361,001,,3,4,1,3,,,,,,,,,0,,,,,"Chung, Lawrence","Ahn, Sung Soo",,,,,chung,lawrence chung,Advanced Requirements Engineering 
CHEM,4473,001,,1,1,1,2,1,,3,2,,,,,0,,,,,"Goux, Warren J","Welch, Raymond P","Calubaquib, Erika Joy",,,,wgoux,warren goux,Physical Measurements Laboratory 
OPRE,6368,PW1,,8,,,3,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar",,,,,,james szot,
MKT,4336,501,6,1,2,2,,,,,,,,,,0,,,,,"Schofield, Joyce",,,,,,jxs170002,,E-Retailing 
HIST,6365,001,,5,1,1,4,,,,,,,,,0,,,,,"Rankin, Monica A",,,,,,mar046000,monica rankin,Mexican History 
COMD,7V86,001,,10,,,1,,,,,,,,,0,,,,,"Evans, Julia L",,,,,,jle130030,julia evans,Special Topics in Child Language 
RHET,4302,001,3,2,3,2,1,,,,,,,,,0,,,,,"King, Carie S",,,,,,cxl085200,carie king,Advanced Writing and Research 
DANC,2336,001,8,1,,,,,,,,,,,2,0,,,,,"Owens, Misty",,,,,,mxo122530,misty owens,Tap Dance 1 
CE,2305,501,,3,1,,4,,,2,,1,,,,0,,,,,"Farage, Timothy P",,,,,,tfarage,timothy farage,Discrete Mathematics for Computing I 
CE,3354,003,2,,1,,,1,1,4,,1,,,1,0,,,,,"Paulk, Mark C","Mousavi, Pooneh",,,,,mcp130030,mark paulk,Software Engineering 
THEA,3342,501,,10,,,1,,,,,,,,,0,,,,,"Lingo, Kathy A",,,,,,klingo,kathy lingo,Advanced Topics in Theatre 
BA,4V00,001,,9,2,,,,,,,,,,,0,,,,,"Lewin, Peter",,,,,,plewin,peter lewin,Special Topics 
SE,3345,501,,2,,,4,1,1,1,1,,,,1,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
ARTS,3371,002,1,2,4,,,1,1,1,,,1,,,0,,,,,"Durant, Stephanie D",,,,,,ddm043000,,Photography  Black White 
HONS,3199,HN8,,11,,,,,,,,,,,,0,,,,,"Martinez, Manuel L",,,,,,mlm160630,manuel martinez,Collegium V Honors Readings 
CE,1202,802,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M",,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
EE,1202,801,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M","Chen, Pengyuan",,dcc095020,diana cogan,Introduction to Electrical Engineering II 
SE,3377,0W1,,3,,2,3,,1,1,1,,,,,1,,,,,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen,C C  Programming in a UNIX Environment 
ACCT,6335,SW1,,5,,3,3,,,,,,,,,1,,,,,"Troutman, Amy B",,,,,,amybass,amy troutman,
MUSI,3325,001,1,3,1,2,2,,1,,,,,,1,1,,,,,"Durbin, Kelly",,,,,,kpdurbin,kelly durbin,Jazz History  Modern Jazz since BeBop 
FIN,4315,001,,4,4,2,1,,,,,,,,,0,,,,,"Hyndman, Kyle B",,,,,,tdp062000,kyle hyndman,Behavioral Economics and Finance 
ED,4345,501,4,5,1,1,,,,,,,,,,1,,,,,"Weiner, Michelle L",,,,,,mxw051000,michelle weiner,Social Studies Methods for Grades EC - 6 
NATS,3343,001,1,3,,1,3,1,,,1,,1,,,1,,,,,"McConnell, James S","Kirkland, Pamela I",,,,,jsm019600,james mcconnell,Classroom Interactions 
PA,2325,001,,7,2,1,1,,,,,,,,,1,,,,,"Goodman, Doug","Park, Yong Jun",,,,,dxg101000,doug goodman,Introduction to Public Service 
FIN,6353,501,,3,2,2,2,2,,,,,,,,1,,,,,"Day, Theodore","Kirk, Steven B",,,,,tday,theodore day,Financial Modeling for Investment Analysis 
MATH,3307,001,1,6,1,3,,,,,,,,,,1,,,,,"Andreescu, Titu",,,,,,txa051000,titu andreescu,Mathematical Problem Solving for Teachers 
SE,3377,502,,1,1,1,2,3,,,,,2,1,,1,,,,,"Perkins, Stephen J",,,,,,sxp127930,stephen perkins,C C  Programming in a UNIX Environment 
ATCM,4306,001,,1,2,3,3,,,1,,,,1,,1,,,,,"Boyd, Elizabeth",,,,,,esp041000,elizabeth boyd,Modeling and Texturing II 
BIOL,2111,006,2,,,1,2,3,,,1,,1,1,,1,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
ARTS,2380,501,2,6,1,,,1,,,,,,,2,0,,,,,"Carter, Rebecca S",,,,,,rsc150030,,Visual Design Foundations 
OPRE,6398,003,,9,,1,2,,,,,,,,,0,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
AUD,6V20,101,,12,,,,,,,,,,,,0,,,,,"Lobarinas, Edward","Clark, Jackie L","Trevino, Monica",,,,exl152130,,Laboratory Procedures in Audiology and Hearing Science 
ATCM,6301,001,,6,4,1,1,,,,,,,,,0,,,,,"Nadin, Mihai",,,,,,mxn044000,mihai nadin,Aesthetics of Interactive Arts 
CS,6382,001,,9,1,1,1,,,,,,,,,0,,,,,"Du, Ding Z","Gu, Shuyang",,,,,dxd056000,ding zhu du,Theory of Computation 
SYSM,6325,001,,12,,,,,,,,,,,,0,,,,,"Minden, Alixandre R",,,,,,arm130430,minden alixandre,Requirements Design  Development  and Integration for Complex Systems 
BIOL,3102,006,1,2,1,,,3,2,,2,1,,,,0,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
