Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BUAN,6346,5U1,,6,5,2,1,,,,,,,,,,,,,,"El-khodari, Gasan E","Cai, Shuzhang",,,,,gxe051000,gasan elkhodari,Big Data 
BUAN,6346,SW1,,1,9,3,,,,,,,,,,,,,,,"Paes, Antonio P",,,,,,app210006,antonio paes,
BUAN,6359,5U1,,5,1,1,1,1,1,,,,,,,,,,2,,"Ramezani, Rasoul","Shahsavand, Parisa",,,,,rxr145930,rasoul ramezani,Advanced Statistics for Data Science 
BUAN,6359,SW1,,3,4,1,5,,1,2,,,,,,,,,,,"Whalen, Tristan G",,,,,,tgw100020,tristan whalen,
BUAN,6382,SW1,,3,10,1,1,,,,,,,,,,,,,,"Kamalzadeh, Hossein",,,,,,hxk210085,hossein kamalzadeh,
BUAN,6398,5U1,,5,2,3,5,2,1,1,,,,,,,,,,,"Nguyen, Hien T","Wei, Jiarui",,,,,htn170130,hien nguyen,Prescriptive Analytics 
BUAN,6V98,0U1,,,,,,,,,,,,,,,,,,11,"Thomas, Sunela S",,,,,,sxt167730,sunela thomas,
CE,2301,0U1,5,,,,1,,1,2,,,1,,,,,,,,"Fahimi, Babak","Shabab, Sarjana",,,,,bxf102000,babak fahimi,Electrical Network Analysis 
CE,3201,0U1,,3,3,,1,,2,1,,,,,,,,,,,"Kiasaleh, Kamran","Delaram, Zeinab","Abbasnia, Alma",,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3303,0H1,1,1,,1,1,2,1,,1,2,1,,,,,,,,"Kehtarnavaz, Nasser","Tasnim, Nafisa Zarrin",,,,,nxk019000,nasser kehtarnavaz,Discrete-Time Signals and Systems 
CE,4388,0U1,,13,,,,,,,,,,,,,,,,,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
CE,4389,0U1,1,7,,1,2,1,1,,,,,,,,,,,,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project II 
CE,7010,0U1,,,,,,,,,,,,,2,,,,1,21,"Kiasaleh, Kamran",,,,,,kamran,kamran kiasaleh,
CHEM,1111,1U1,9,2,3,1,2,,,,,,1,1,1,,,,,,"Huang, Yu","Mustafa, Md.","Ayers, Lyndsay C",,,,yxh091220,yu huang,General Chemistry Laboratory I 
