Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,4342,001,2,13,7,6,3,2,6,3,2,2,,,1,,,,,1,"Johnson, Jennifer","Fisch, Jacob D",,,,,jxj091000,jennifer johnson,Accounting Information Systems and Financial Reporting 
ACCT,4342,501,1,4,1,6,1,2,1,,,,,,,,,,,0,"Johnson, Jennifer","Fisch, Jacob D",,,,,jxj091000,jennifer johnson,Accounting Information Systems and Financial Reporting 
ACCT,6202,0W1,,6,19,15,8,10,3,2,,,,,2,,,,1,1,"Janakiraman, Surya","Huang, Ziqi",,,,,suryaj,surya janakiraman,Accounting for Managerial Decision Making and Control 
ACCT,6202,GW1,,10,4,2,1,,,,,,,,,,,,2,0,"Sadka, Gil","Holstead, Cameron",,,,,gxs143630,gil sadka,
ACCT,6301,001,,9,2,5,6,2,3,4,,,,,1,,,,,1,"Ballew, Gregory E","Fisch, Jacob D",,,,,geb011100,gregory ballew,Financial Accounting 
ACCT,6301,0W1,,18,9,13,11,3,5,2,,,,,1,,,,,4,"Ali, Ashiq","Zhang, Ye",,,,,axa042200,ashiq ali,Financial Accounting 
ACCT,6301,501,,30,16,8,5,1,,2,,,,,3,,,,,0,"Barden, John P","Gonzalez, Jacob E",,,,,jpb063000,john barden,Financial Accounting 
ACCT,6301,CH1,,28,,2,,,,,,,,,,,,,,0,"Barden, John P",,,,,,jpb063000,john barden,
ACCT,6301,GW1,,40,1,,1,,,,,,,,,,,,,0,"Barden, John P",,,,,,jpb063000,john barden,
ACCT,6301,MBC,,34,8,,,,,1,,,,,,,,,,1,"Radhakrishnan, Suresh","Zhang, Ye",,,,,sradhakr,suresh radhakrishnan,
ACCT,6301,MBP,,23,5,,2,,,1,,,,,,,,,,2,"Radhakrishnan, Suresh","Zhang, Ye",,,,,sradhakr,suresh radhakrishnan,
ACCT,6301,X01,,12,3,6,2,,,,,,,,,,,,,0,"Ali, Ashiq",,,,,,axa042200,ashiq ali,
ACCT,6305,001,,12,7,13,4,4,5,,,,,,,,,,,0,"Li, Ningzhong","Kim, Jongha",,,,,nxl124130,ningzhong li,Accounting for Managers 
ACCT,6305,501,,8,5,11,2,2,2,,,,,,1,,,,,0,"Li, Ningzhong","Kim, Jongha",,,,,nxl124130,ningzhong li,Accounting for Managers 
ACCT,6305,502,,10,6,10,4,4,3,,,,,,,,,,,0,"Li, Ningzhong","Kim, Jongha",,,,,nxl124130,ningzhong li,Accounting for Managers 
ACCT,6330,501,,6,,,1,,,6,,,,,1,,,,,2,"Cready, William M",,,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,6331,501,,4,,2,1,,1,,,,,,,,,,,2,"Janakiraman, Surya","Huang, Ziqi",,,,,suryaj,surya janakiraman,Cost Accounting  Foundations and Evolutions 
ACCT,6331,S01,,4,4,1,,2,1,,,,,,1,,,,,0,"Janakiraman, Surya","Huang, Ziqi",,,,,suryaj,surya janakiraman,
ACCT,6332,501,,9,,,4,,,6,,,,,2,,,,,3,"Zolton, Kathy","Huang, Ziqi",,,,,kxz121730,kathy zolton,Intermediate Financial Accounting II 
ACCT,6333,501,,16,,,10,,,6,,,,,1,,,,,3,"Zolton, Kathy","Kim, Jongha",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
