Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ECON,4340,001,10,7,,3,5,3,2,7,1,,3,,1,,,,,5,"Andrews, Rodney J","Islam, Azharul",,,,,rja091000,rodney andrews,Labor Economics and Human Resources 
ECON,4351,501,3,8,3,5,2,,,3,2,,1,,1,,,,,0,"Murdoch, James C",,,,,,murdoch,james murdoch,Mathematical Economics 
ECON,4355,001,8,5,4,3,1,,,2,2,1,3,,1,,,,,0,"Li, Dong","Li, Ji",,,,,dxl145430,dong li,Econometrics 
ECON,4385,0H1,13,2,2,1,,,,,1,,,,2,,,,,1,"Panovska, Irina","Bing, Yuanchen",,,,,ixp190001,irina panovska,Business and Economic Forecasting 
ECON,4396,001,1,3,2,1,1,1,2,,,2,,,1,,,,,0,"Li, Dong","Li, Ji",,,,,dxl145430,dong li,Selected Topics in Economics 
ECON,4396,002,,8,10,7,12,5,1,1,1,,,,2,,,,,1,"Morales Leon, Maria C","Nguyen, Hien T",,,,,mcm200006,maria morales leon,Selected Topics in Economics 
ECON,4396,501,3,13,4,6,2,,,2,,,,,,,,,,0,"Grover, William C",,,,,,wcg071000,william grover,Selected Topics in Economics 
ECON,5322,501,,10,2,1,1,,,1,,,,,,,,,,0,"Grover, William C",,,,,,wcg071000,william grover,Macroeconomic Theory for Applications 
ECON,6363,001,,3,3,4,,,,,,,,,,,,,,0,"Burton, Anne",,,,,,axb210050,anne burton,Public Economics I 
ECON,7321,001,,3,6,2,,,,,,,,,,,,,,0,"Miller, Darwin W",,,,,,dwm052000,darwin miller,Special Topics in Labor Economics 
ECS,3390,001,,11,4,,2,,,,,,,,,,,,,2,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Professional and Technical Communication 
ECS,3390,002,,5,7,,3,1,,1,,,,,1,,,,,1,"Mohsene, Laura L",,,,,,olive,laura mohsene,Professional and Technical Communication 
ECS,3390,003,,11,,2,2,2,,,,1,,,,,,,,1,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
ECS,3390,004,,5,1,3,6,,1,1,,,,,,,,,,2,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
ECS,3390,005,,6,3,1,2,1,,2,1,,,,1,,,,,2,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
ECS,3390,006,,3,3,1,4,1,,1,,,,,4,,,,,2,"Crowder, Wade A",,,,,,wac010100,wade crowder,Professional and Technical Communication 
ECS,3390,007,,3,4,3,1,1,,,,,,,5,,,,,2,"Crowder, Wade A",,,,,,wac010100,wade crowder,Professional and Technical Communication 
ECS,3390,008,,3,7,2,2,,,1,,,,,1,,,,,3,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
ECS,3390,009,,14,2,,,1,,,2,,,,,,,,,0,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Professional and Technical Communication 
ECS,3390,010,,7,1,4,3,,,,1,,,,2,,,,,1,"Mohsene, Laura L",,,,,,olive,laura mohsene,Professional and Technical Communication 
ECS,3390,0H2,7,9,,,,1,1,,,,,1,,,,,,0,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz,Professional and Technical Communication 
ECS,3390,0H3,,7,8,3,,,,,,,,,1,,,,,0,"Hartmann, Jonathan",,,,,,jxh190042,jonathan hartmann,Professional and Technical Communication 
ECS,3390,0H4,4,9,,,2,2,1,,,1,,,,,,,,0,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz,Professional and Technical Communication 
ECS,3390,0H5,10,4,3,,1,,,,,,,,,,,,,1,"Montgomery, Christina",,,,,,cxm190022,christina montgomery,Professional and Technical Communication 
ECS,3390,0H6,,11,2,2,,1,,,,1,,,2,,,,,0,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Professional and Technical Communication 
ECS,3390,0H7,,16,,,,,,,,,,,1,,,,,2,"Hartmann, Jonathan",,,,,,jxh190042,jonathan hartmann,Professional and Technical Communication 
ECS,3390,0H8,,14,,,2,,,,2,,,,1,,,,,0,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Professional and Technical Communication 
ECS,3390,0H9,12,4,2,,,,,,,,,,,,,,,1,"Montgomery, Christina",,,,,,cxm190022,christina montgomery,Professional and Technical Communication 
ECS,3390,0W1,3,10,2,1,2,,1,,,,,,,,,,,0,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth (betsy) schlobohm,Professional and Technical Communication 
