Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CS,2305,503,8,13,4,7,6,2,4,8,1,2,4,2,6,0,"Farage, Timothy P","Wang, Guanghua","Mathur, Meghna",,,,tfarage,timothy farage,Discrete Mathematics for Computing I 
CS,2336,504,6,20,11,6,2,5,5,3,1,,2,,5,1,"Dollinger, Scott M",,,,,,smd013000,scott dollinger,Computer Science II 
CS,4348,501,3,4,6,8,7,7,8,6,8,3,2,1,3,1,"Ozbirn, Greg A","Kothawade, Suraj N",,,,,ozbirn,greg ozbirn,Operating Systems Concepts 
CS,4349,002,1,3,6,3,6,6,6,4,7,10,4,6,2,3,"Chitturi, Bhadrachalam","Wang, Chengen",,,,,chalam,chitturi bhadrachalam,Advanced Algorithm Design and Analysis 
CS,6375,003,,15,12,17,13,,,7,,,,,3,0,"Nagar, Anurag","Ashtiani, Omeed E",,,,,axn112530,anurag nagar,Machine Learning 
CRIM,3300,0W1,,14,14,5,15,8,4,2,2,,,,2,1,"Worrall, John L","Sanford, Stephanie M",,,,,jlw064000,john worrall,Crime and Civil Liberties 
CRIM,4396,0W1,27,18,8,4,2,2,1,1,,,,,4,0,"Polk, Elmer O",,,,,,peo091000,elmer polk,Selected Topics in Criminology 
AMS,2341,001,4,11,9,12,19,6,2,2,1,,,,1,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
MATH,4334,001,5,12,6,3,9,9,4,7,4,,,3,3,2,"Garrett, Bentley T","Mankad, Het Y",,,,,btg032000,bentley garrett,Numerical Analysis 
BUAN,6320,501,,25,19,13,4,3,3,,,,,,,0,"Narayan, Ravishankar L","Jayaraman, Jayanth",,,,,rln130030,ravishankar narayan,Database Foundations for Business Analytics 
PSY,2364,001,5,3,7,7,10,11,5,6,1,1,4,,4,4,"Assmann, Peter","Gunal, Mehmet",,,,,assmann,peter assmann,Animal Communication 
CS,1136,105,26,8,7,4,5,1,2,4,,,2,,9,0,"Vogel, Don G",,,,,,dgv130030,don vogel,Computer Science Laboratory 
CS,1336,016,21,9,7,5,8,2,1,3,1,,2,,6,3,"Karami, Gity",,,,,,gxk180009,gity karami,Programming Fundamentals 
CS,4341,003,28,11,4,3,5,8,2,4,,1,1,,1,0,"DeGroot, Doug","Mousavi, Pooneh",,,,,dxd180020,doug degroot,Digital Logic and Computer Design 
CS,4365,501,1,10,11,7,6,14,1,3,5,,1,,5,4,"Ng, Yu Chung V","Ocampo Diaz, Gerardo",,,,,ycn041000,vincent ng,Artificial Intelligence 
CS,4390,501,,14,4,10,5,5,3,6,3,6,2,7,1,2,"Cobb, Jorge","Dakle, Parag Pravin",,,,,jcobb,jorge cobb,Computer Networks 
CS,5333,001,,17,4,12,28,6,,1,,,,,,0,"Cobb, Jorge",,,,,,jcobb,jorge cobb,Discrete Structures 
CS,6314,002,,48,9,8,3,,,,,,,,,0,"Yuruk, Nurcan","Wang, Haoliang",,,,,nxy140530,nurcan yuruk,Web Programming Languages 
CS,6375,502,,20,10,13,12,7,,4,,,,,1,1,"Nagar, Anurag","Li, Jincheng",,,,,axn112530,anurag nagar,Machine Learning 
MECH,2310,002,2,20,5,5,9,7,5,5,1,1,4,1,2,1,"Thamban, P.L.Stephan","Gleason, Glenn H",,,,,stephan,p l stephan thamban,Statics 
MECH,3360,001,,24,,,16,,,16,,,3,,6,3,"Kumar, Golden","Jabed, Akib",,,,,gxk180010,golden kumar,Introduction to Materials Science 
CRIM,2313,0W1,,33,,,23,,,8,,,1,,2,1,"Taylor, Robert W","Sanders, Whitney S",,,,,rwt092000,robert taylor,Police and Society 
CRIM,3319,001,44,12,5,,4,,,2,1,,,,,0,"Polk, Elmer O","Sanders, Whitney S",,,,,peo091000,elmer polk,Comparative Justice Systems 
HLTH,3305,001,,22,27,13,4,1,1,,,,,,,0,"Taylor, Donald E",,,,,,det190000,donald taylor,The U S  Healthcare System 
OPRE,6301,008,,24,8,12,13,4,4,3,,,,,,0,"Brussolo, Monica E","Adlakha, Satyak",,,,,meb049000,monica brussolo,Statistics and Data Analysis 
STAT,1342,001,20,8,9,7,10,7,,3,2,1,,,1,0,"Patwary, Mohammad S",,,,,,msp160130,mohammad patwary,Statistical Decision Making 
HUMA,1301,003,1,9,10,15,18,,8,1,,,1,,2,2,"Gu, Ming D",,,,,,mdg073000,ming dong gu,Exploration of the Humanities 
CS,2336,503,12,14,2,6,11,1,3,4,,1,5,,5,4,"Sims, David",,,,,,dxs190044,dave sims,Computer Science II 
PSY,3392,001,6,13,8,9,10,8,1,5,3,,,1,3,2,"Grant, Meridith G","Terry, Courtney",,,,,mga061000,meridith grant,Research Design and Analysis 
PSY,4346,002,4,19,,12,19,,5,6,,1,,1,1,1,"Reid, Jon K",,,,,,jkr150330,jon reid,Human Sexuality 
CS,2305,004,2,3,11,7,6,5,3,11,,6,1,5,5,4,"Chitturi, Bhadrachalam",,,,,,chalam,chitturi bhadrachalam,Discrete Mathematics for Computing I 
CS,3340,005,3,9,12,4,2,11,6,8,4,4,1,2,1,2,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi,Computer Architecture 
CS,3377,0W3,6,29,14,5,6,,4,2,,,,,,3,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor,
CS,4332,501,45,3,8,5,3,3,1,,,,,,,1,"McMahan, Timothy","Wang, Ningna",,,,,txm173230,timothy mcmahan,Introduction to Programming Video Games 
CS,4389,001,3,10,9,4,19,9,5,7,1,,1,,,1,"Cankaya, Ebru C","Akbar, Khandakar Ashrafi",,,,,exc067000,ebru cankaya,Data and Applications Security 
CS,6320,002,,35,21,6,3,3,1,,,,,,,0,"Ouyang, Jessica J","Liu, Ximeng",,,,,jjo190001,jessica ouyang,Natural Language Processing 
CS,6350,001,,23,20,23,2,,,,,,,,1,0,"Khan, Latifur R","Skorupa Parolin, Erick",,,,,lkhan,latifur khan,Big Data Management and Analytics 
MECH,2330,001,3,2,5,4,8,5,4,8,7,2,6,9,4,2,"Thamban, P.L.Stephan","Ganapathy, Karthik",,,,,stephan,p l stephan thamban,Dynamics 
CRIM,1307,0W1,1,33,8,4,10,1,1,6,1,1,3,,,0,"Kovandzic, Tomislav","Riddell, Jordan R","Sanil Mannumood, Merin",,,,tvk071000,tomislav kovandzic,Introduction to Crime and Criminology 
CRIM,3323,0W1,,11,1,8,13,2,3,14,2,,8,,3,4,"Kovandzic, Tomislav","Riddell, Jordan R","Sanil Mannumood, Merin",,,,tvk071000,tomislav kovandzic,Violence and Gun Control 
BUAN,6320,005,,19,21,12,12,2,1,,,,,,1,1,"Calisir, Engin","Kaamra, Sanchita",,,,,exc030100,engin calisir,Database Foundations for Business Analytics 
FIN,3340,501,21,22,20,5,,1,,,,,,,,0,"Molina, Stephen",,,,,,sxm163630,stephen molina,Regulation of Business and Financial Markets 
MATH,2420,003,6,5,10,8,4,11,7,6,3,,2,,6,1,"Balanov, Zalman","Shinglot, Vrushaly K","Zhang, Kan",,,,zxb105020,zalman balanov,Differential Equations with Applications 
MECH,3350,501,2,12,9,12,13,,5,8,4,,,,2,1,"Park, Wooram","Park, Sungju","Zhang, Feng",,,,wxp103020,wooram park,Kinematics and Dynamics of Mechanical Systems 
ACCT,6365,501,,11,11,20,12,7,3,5,,,,,,0,"Cheng, Samuel","Pardiwalla, Arish K",,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
AHST,3316,001,6,13,14,10,13,3,5,,1,,1,,2,2,"Rosen, Mark S",,,,,,mxr088000,mark rosen,Baroque Art and Architecture 
HIST,1301,006,13,29,1,8,9,,1,3,,,1,,5,0,"Pettengill, Ryan S",,,,,,rsp120030,ryan pettengill,U S  History Survey to Civil War 
CGS,2301,001,6,10,,9,16,3,6,6,3,,3,,7,1,"O'Toole, Alice J","Sudheesh, Athul",,,,,otoole,alice otoole,Cognitive Science 
CS,1136,118,29,11,2,6,4,1,1,2,3,,4,,6,1,"Vogel, Don G",,,,,,dgv130030,don vogel,Computer Science Laboratory 
CS,3305,002,3,15,11,2,27,7,,2,,,,,3,0,"Satpute, Meghana N",,,,,,mns086000,meghana satpute,Discrete Mathematics for Computing II 
CS,4341,001,16,16,7,7,7,3,,12,,,2,,,0,"Becker, Eric W","Chen, Tiantian",,,,,ewb160130,eric becker,Digital Logic and Computer Design 
