Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
MIS,6320,501,,12,1,1,1,,1,1,,,,,,,,1,0,"Atabansi, Lloyd A","Shah, Dhruv Rakesh",,,,,laa190003,lloyd atabansi,Database Foundations 
MIS,6324,501,,12,5,1,2,,,,,,,,,,,3,0,"Zhang, Zhe","Bhatt, Jairaj",,,,,zxz145430,,Business Analytics With SAS 
MIS,6326,0W1,,18,10,7,3,,,,,,,,,,,10,0,"Ryu, Young","Aksoy, Ozgur",,,,,ryoung,young ryu,Data Management 
MIS,6326,501,,11,5,3,2,,,,,,,,,,,2,0,"Ryu, Young","Aksoy, Ozgur",,,,,ryoung,young ryu,Data Management 
MIS,6330,001,,12,17,4,1,,,,,,,,,,,,0,"Lahiri, Atanu","Zhang, Hong",,,,,axl144730,atanu lahiri,Cybersecurity Fundamentals 
MIS,6330,501,,6,15,6,3,,,,,,,,,,,3,0,"Lahiri, Atanu","Zhang, Hong",,,,,axl144730,atanu lahiri,Cybersecurity Fundamentals 
MIS,6333,501,,5,11,10,3,,,1,,,,,,,,1,0,"Shroff, Tejas N","Chen, Luoying",,,,,tns190000,tejas shroff,Digital Forensics and Incident Management 
MIS,6337,001,,7,3,4,4,2,,,,,,,,,,3,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello,Information Technology Audit and Risk Management 
MIS,6341,001,,6,16,3,1,,,,,,,,,,,1,0,"Sohaee, Nassim","Ravishankar, Aadith Narayan",,,,,nxs045000,nassim sohaee,Applied Machine Learning 
MIS,6341,002,,5,7,,,,,,,,,,,,,5,0,"Sohaee, Nassim","Ravishankar, Aadith Narayan",,,,,nxs045000,nassim sohaee,Applied Machine Learning 
MIS,6341,0W1,,7,6,5,1,,,,,,,,,,,1,0,"Sohaee, Nassim","Ravishankar, Aadith Narayan",,,,,nxs045000,nassim sohaee,Applied Machine Learning 
MIS,6344,001,,14,7,6,1,1,,,,,,,,,,9,2,"Mehra, Amit","Kadam, Shraddha Hemant",,,,,axm078200,amit mehra,Web Analytics 
MIS,6346,002,,39,,,,,,,,,,,,,,,0,"Elkhodari, Gasan","Sharma, Ishan",,,,,gxe051000,gasan elkhodari,Big Data 
MIS,6346,0W1,,17,6,,1,,,,,,,,,,,1,0,"Perez, Jerry","Kulkarni, Aniket S",,,,,jxp180019,jerry perez,Big Data 
MIS,6346,501,,36,,,,,,,,,,,,,,,0,"Elkhodari, Gasan","Sharma, Ishan",,,,,gxe051000,gasan elkhodari,Big Data 
MIS,6349,001,,44,4,2,1,,,,,,,,,,,1,0,"Shekhar, Gaurav",,,,,,gxs150130,gaurav shekhar,Digital Consulting Project 
MIS,6349,002,,36,4,2,,,,,,,,,,,,,0,"Shekhar, Gaurav",,,,,,gxs150130,gaurav shekhar,Digital Consulting Project 
MIS,6356,001,,7,3,,2,,,,,,,,,,,1,0,"Zhang, Zhe","Thakare, Anvay",,,,,zxz145430,,Business Analytics With R 
MIS,6356,502,,5,9,1,2,,,,,,,,,,,11,0,"Chatterjee, Sourav","Daniyal, Muhammad",,,,,sxc180075,sourav chatterjee,Business Analytics With R 
MIS,6357,001,,21,2,1,,,,,,,,,,,,,0,"Johnston, Walter L",,,,,,wlj031000,walter johnston,Advanced Business Analytics with R 
MIS,6360,001,,23,6,6,1,,,,,,,,,,,3,0,"Thouin, Mark","Pereira, Femina Martin",,,,,mxt083000,mark thouin,Agile Project Management 
MIS,6360,0W1,,5,5,6,2,1,,,,,,,,,,3,0,"Thouin, Mark","Pereira, Femina Martin",,,,,mxt083000,mark thouin,Agile Project Management 
MIS,6363,001,,9,8,13,10,1,,,,,,,,,,21,0,"Song, Liugen",,,,,,lxs190018,liugen song,Cloud Computing 
MIS,6369,501,,4,2,2,1,2,,,,,,,,,,,0,"Subramoniam, Ramesh","Dedhia, Yash K",,,,,rxs179630,ramesh subramoniam,Supply Chain Software with SAP 
MIS,6373,501,,22,6,,,,,,,,,,,,,1,0,"Ginevich, Rostislav",,,,,,rxg172930,rostislav ginevich,Social Media Business 
MIS,6380,001,,18,17,8,4,,,,,,,,,,,3,0,"Islam, Naser","Bist, Sumit",,,,,nxi110630,naser islam,Data Visualization 
MIS,6380,0W1,,7,3,4,1,,,,,,,,,,,5,0,"Bradbury, Judd D","Rathore, Khushboo","Jethwani, Pallavi",,,,jdb101000,judd bradbury,Data Visualization 
MIS,6380,GW1,,6,2,,,4,,,,,,,,,,,1,"Bradbury, Judd D","Jethwani, Pallavi","Rathore, Khushboo",,,,jdb101000,judd bradbury,
MIS,6382,001,,26,14,8,7,1,1,,,,,,1,,,9,2,"Mookerjee, Radha","Sonmale, Bhushan K",,,,,rvm019000,radha mookerjee,Object Oriented Programming in Python 
