Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
OB,6301,MBC,,22,20,1,,1,,,,,,,,,,,,,"Hicks, Jeffrey N","Jadhav, Ankita K",,,,,jnh061000,jeffrey hicks,
OB,6301,XH1,,19,4,2,,,,,,,,,,,,,1,,"Hicks, Jeffrey N",,,,,,jnh061000,jeffrey hicks,
OB,6331,501,,10,1,,,,,,,,,,,,,,,,"Hasenhuttl, Maria",,,,,,h1562,maria hasenhuttl,Power and Politics in Organizations 
OB,6332,0W1,,30,9,,1,,1,,,,,,,,,,,,"Wu, Junfeng","Huang, He",,,,,jxw175430,junfeng wu,Negotiation and Dispute Resolution 
OB,6332,0W2,,27,11,,1,,,,,,,,,,,,1,,"Wu, Junfeng","Huang, He",,,,,jxw175430,junfeng wu,Negotiation and Dispute Resolution 
OB,6332,0W3,,20,2,,,,,,,,,,,,,,,,"Swindling, Linda B","Hinze, Dawnielle C",,,,,dal431729,linda swindling,Negotiation and Dispute Resolution 
OB,6332,501,,16,3,,,,,,,,,,,,,,,,"Swindling, Linda B","Hinze, Dawnielle C",,,,,dal431729,linda swindling,Negotiation and Dispute Resolution 
OB,6334,CW1,,17,8,3,2,1,,1,,,,,1,,,,,,"Latham, Van M",,,,,,,van latham,
OB,6348,CW1,,21,1,,,,,1,,,,,,,,,,,"Narro, Amber J",,,,,,,amber narro,
OB,6350,CW1,,17,4,1,2,,,1,,,,,,,,,,,"Hicks, Robert F",,,,,,,robert hicks,
OB,6352,CW1,,16,1,,2,,,,,,,,,,,,,,"Warner, Lizette",,,,,,,lizette warner,
OB,6357,CW1,,21,3,1,1,,,,,,,,,,,,,,"Rutigliano, Kimberly",,,,,,,kimberly rutigliano,
OB,6370,CW1,,9,,1,1,,,,,,,,,,,,1,,"Latham, Van M",,,,,,,van latham,
OB,6372,CW1,,8,,,1,,,,,,,,,,,,1,,"Latham, Van M",,,,,,,van latham,
OB,6377,CW1,,23,,,,,,,,,,,2,,,,,,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan,
OB,6377,CW2,,21,,,1,,,,,,,,,,,,,,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan,
OB,6378,CW1,,8,1,1,,1,,2,,,,,1,,,,,,"Albrecht, Dale J",,,,,,dja180003,dale albrecht,
OB,6379,CW1,,8,2,,1,1,,,,,,,,,,,1,,"Albrecht, Dale J",,,,,,dja180003,dale albrecht,
OB,6393,CW1,,27,2,,1,,,,,,,,,,,,,,"Norton, Larry W",,,,,,,larry norton,
OBHR,3310,001,15,15,16,4,6,3,2,1,,1,,,,,,,,,"Volpone, Sabrina D",,,,,,dal979454,,Organizational Behavior 
OBHR,3310,002,,8,8,7,5,7,6,7,,1,4,1,,,,,5,,"An, Constance","Abdul Kadhar, Nashwa",,,,,cfa220003,constance an,Organizational Behavior 
OBHR,3310,003,9,13,20,7,3,4,2,,,,,,,,,,,,"Kautz, Jason D","Kim, Hwayoung",,,,,jdk200000,jason kautz,Organizational Behavior 
OBHR,3310,004,14,25,9,6,5,1,,1,,1,,,1,,,,,,"Volpone, Sabrina D",,,,,,dal979454,,Organizational Behavior 
OBHR,3310,005,1,13,23,13,5,2,3,,,,,,,,,,,,"Kautz, Jason D","Kim, Hwayoung",,,,,jdk200000,jason kautz,Organizational Behavior 
OBHR,3310,501,,11,20,11,10,3,3,2,,,,,,,,,,,"Lee, Barbara H","Abdul Kadhar, Nashwa",,,,,bxl152330,barbara lee,Organizational Behavior 
OBHR,3310,502,1,3,16,15,10,13,2,,,,,,,,,,,,"Kautz, Jason D","Kim, Hwayoung",,,,,jdk200000,jason kautz,Organizational Behavior 
OBHR,3310,503,3,3,10,3,7,5,4,3,2,,2,1,,,,,4,,"An, Constance","Abdul Kadhar, Nashwa",,,,,cfa220003,constance an,Organizational Behavior 
OBHR,3310,504,,11,10,6,12,10,6,3,,,,,,,,,1,,"Lee, Barbara H","Abdul Kadhar, Nashwa",,,,,bxl152330,barbara lee,Organizational Behavior 
OBHR,3310,505,10,9,19,6,,4,1,,2,,1,,4,,,,,,"Ritchey, Jeremy S","Patil, Aditya",,,,,jsr091000,,Organizational Behavior 
OBHR,3310,506,7,5,11,1,3,2,,,,,,,4,,,,2,,"Ritchey, Jeremy S","Patil, Aditya",,,,,jsr091000,,Organizational Behavior 
OBHR,3330,001,1,6,14,12,13,7,4,2,1,,,,,,,,2,,"Chung, Hyesook","Zhou, Ye",,,,,hxc220020,hyesook chung,Human Resource Management in Business 
OBHR,3330,002,12,12,12,9,10,4,2,,,1,,,,,,,,,"Chung, Hyesook","Zhou, Ye",,,,,hxc220020,hyesook chung,Human Resource Management in Business 
OBHR,3330,003,6,20,1,5,11,1,,3,,,,1,,,,,,,"Morris, Mark","Wu, Bingyan",,,,,dal629291,mark morris,Human Resource Management in Business 
OBHR,3330,004,1,13,19,10,9,6,2,1,,,,1,,,,,1,,"Green, Rhonda R","Zhang, Huinan",,,,,rxg180032,rhonda green,Human Resource Management in Business 
OBHR,3330,005,1,9,10,21,6,8,3,1,,,,,1,,,,,,"Green, Rhonda R","Zhang, Huinan",,,,,rxg180032,rhonda green,Human Resource Management in Business 
OBHR,3330,006,3,12,3,7,12,7,7,3,1,,,1,2,,,,,,"Chung, Hyesook","Zhou, Ye",,,,,hxc220020,hyesook chung,Human Resource Management in Business 
OBHR,3330,501,3,11,22,10,13,9,3,3,1,1,1,,,,,,,,"Albrecht, Dale J","Zhang, Zelu",,,,,dja180003,dale albrecht,Human Resource Management in Business 
OBHR,3330,502,,6,11,12,11,13,2,2,2,1,1,,1,,,,1,,"Green, Rhonda R","Zhang, Huinan",,,,,rxg180032,rhonda green,Human Resource Management in Business 
OBHR,4331,501,1,4,8,8,6,2,2,,,,,1,1,,,,1,,"Albrecht, Dale J",,,,,,dja180003,dale albrecht,Compensation and Benefits Administration 
OBHR,4333,001,3,8,,1,4,1,,1,,,,,,,,,,,"Morris, Mark","Wu, Bingyan",,,,,dal629291,mark morris,Performance Management 
OBHR,4334,001,2,9,1,1,2,,,1,,,,,,,,,1,,"Morris, Mark","Wu, Bingyan",,,,,dal629291,mark morris,Talent Acquisition and Management 
OBHR,4335,501,4,10,,,1,,,,,,,,,,,,,,"Morris, Mark","Wu, Bingyan",,,,,dal629291,mark morris,Training and Development 
OBHR,4339,001,2,10,4,1,1,1,,,,,,,,,,,,,"Albrecht, Dale J",,,,,,dja180003,dale albrecht,People Technology Leadership and Artificial Intelligence 
OBHR,4352,001,21,15,4,1,2,,,,,,,,,,,,,,"Swindling, Linda B","Hinze, Dawnielle C",,,,,dal431729,linda swindling,Negotiation and Dispute Resolution 
OBHR,4352,002,15,13,2,1,,,,,,,,,,,,,,,"Swindling, Linda B","Hinze, Dawnielle C",,,,,dal431729,linda swindling,Negotiation and Dispute Resolution 
OBHR,4354,501,,3,16,3,4,3,,,,,,,,,,,,,"Stresow, Mario",,,,,,dal207427,,Leading Organizational Change 
OPRE,3310,001,11,13,15,6,4,5,3,1,1,,,,,,,,1,,"Alborz, Shawn",,,,,,sxa063000,shawn alborz,Supply Chain and Operations Management 
OPRE,3310,002,,5,3,1,14,4,,8,,,2,,,,,,1,,"Parks, David","Hassan, Mohammed Zumar Ali",,,,,dxp153830,david parks,Supply Chain and Operations Management 
OPRE,3310,003,5,8,12,14,8,10,2,,,,,,1,,,,,,"Ghosh, Pramit",,,,,,pxg200040,pramit ghosh,Supply Chain and Operations Management 
OPRE,3310,004,2,14,11,12,7,10,5,3,1,,1,,2,,,,1,,"Mirzaeian, Neda","Nguyen, Tri M",,,,,nxm220040,neda mirzaeian,Supply Chain and Operations Management 
OPRE,3310,005,6,17,,23,8,2,2,1,1,,,,,,,,,,"Qin, Qi","Yan, Tianyu",,,,,jxq240004,qi qin,Supply Chain and Operations Management 
OPRE,3310,006,6,11,5,12,9,8,2,2,3,,,,,,,,2,,"Wang, Mengxin","Ghosal, Shayak",,,,,mxw230006,menxing wang,Supply Chain and Operations Management 
OPRE,3310,007,6,11,6,11,9,8,2,2,2,,,,,,,,2,,"Wang, Mengxin",,,,,,mxw230006,menxing wang,Supply Chain and Operations Management 
OPRE,3310,008,1,9,5,3,7,7,,11,,,,,1,,,,2,,"Parks, David","Hassan, Mohammed Zumar Ali",,,,,dxp153830,david parks,Supply Chain and Operations Management 
OPRE,3310,009,6,9,7,3,10,9,6,6,2,2,,,,,,,,,"Kennedyd, Sarmann I","Bashorun, Hamidat","Dosapati, Shanmukha Sri Vaishnavi",,,,sik220001,sarmann kennedyd,Supply Chain and Operations Management 
OPRE,3310,010,3,10,10,5,8,4,9,5,3,,,1,,,,,2,,"Kennedyd, Sarmann I","Bashorun, Hamidat","Dosapati, Shanmukha Sri Vaishnavi",,,,sik220001,sarmann kennedyd,Supply Chain and Operations Management 
OPRE,3310,011,7,11,2,11,14,5,3,2,2,1,1,1,,,,,,,"Kennedyd, Sarmann I","Dosapati, Shanmukha Sri Vaishnavi","Bashorun, Hamidat",,,,sik220001,sarmann kennedyd,Supply Chain and Operations Management 
OPRE,3310,012,3,7,5,10,12,3,5,3,,1,2,3,2,,,,,,"Jayaraman, Vaidyanathan Vaidy","Nguyen, Tri M","Bambhroliya, Darshan Ghanshyambhai",,,,dal292297,vaidyanathan vaidy jayaraman,Supply Chain and Operations Management 
