Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BIOL,3101,0U2,6,11,7,6,4,10,3,6,1,2,,2,2,3,"Borovkov, Irina G","Chen, Xingyu","Upreti, Chahat",,,,ixb053000,irina borovkov,Classical and Molecular Genetics Workshop 
PHYS,2326,0U1,2,19,23,11,7,2,1,,,1,,,3,0,"Gartstein, Yuri","Fox, Logan K","Zhou, Xiaohe",,,,yxg037000,yuri gartstein,Electromagnetism and Waves 
CRIM,4396,0W1,27,21,8,4,4,6,,,,,1,,2,1,"Polk, Elmer O",,,,,,peo091000,elmer polk,Selected Topics in Criminology 
CHEM,1312,0U1,3,4,6,6,9,10,7,6,10,,10,3,4,1,"Sibert, John W",,,,,,sibertj,john sibert,General Chemistry II 
CHEM,2325,0U1,12,19,4,17,8,7,2,5,7,,3,,4,0,"Cortes, Sergio J","Siddiki, A K M Nur Alam","Bhadran, Abhi",,,,scortes,sergio cortes,Introductory Organic Chemistry II 
ISNS,2359,0W1,27,24,11,7,11,2,,4,2,2,,1,4,1,"Pujana, Ignacio",,,,,,pujana,ignacio pujana,Earthquakes and Volcanoes 
ISNS,2367,0W1,10,17,13,13,13,3,3,8,6,,2,,6,4,"Pujana, Ignacio",,,,,,pujana,ignacio pujana,The Oceans 
BIOL,3361,0U1,6,29,11,8,11,11,7,11,3,2,1,,1,1,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Song, Ming","Ray, Ashvini","Dey, Sanchareeka",candas,mehmet candas,Biochemistry I 
BIOL,3301,0U1,11,14,13,8,9,14,6,11,3,4,3,9,5,5,"Borovkov, Irina G","Zhou, Qin","Upreti, Chahat","Chen, Xingyu","Cao, Lian",,ixb053000,irina borovkov,Classical and Molecular Genetics 
COMD,7303,0U1,,94,,,27,,,1,,,,,,0,"Dean, Lucinda L","Kenedi, Helen","Boone, Melissa N",,,,lxl018300,,Dysphagia 
