Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
FIN,3320,005,1,16,5,10,8,2,4,2,,,1,,,,,,,,"Mace, Christopher",,,,,
FIN,3320,006,,7,10,6,7,3,7,7,3,,4,,1,,,,,,"Li, Jun","Baniwal, Vedant",,,,
FIN,3320,007,,9,8,5,10,3,6,1,4,,,,2,,,,,,"Reilly, Christopher P","Liu, Jiabin","Abedini, Behnaz",,,
FIN,3320,008,,7,13,7,9,3,3,,3,,,,,,,,2,,"Reilly, Christopher P","Liu, Jiabin","Abedini, Behnaz",,,
FIN,3320,009,,9,2,6,6,3,4,5,1,,3,,,,,,,,"Li, Jun","Baniwal, Vedant",,,,
FIN,3320,010,1,7,6,10,10,5,5,,,,,,,,,,,,"Nguyen, Nam H",,,,,
FIN,3320,011,,11,8,7,10,2,6,3,,,,,1,,,,,,"Reilly, Christopher P","Liu, Jiabin","Abedini, Behnaz",,,
FIN,3320,012,10,5,4,5,11,3,,3,1,,1,,,,,,,,"Hamzeh, Alireza",,,,,
FIN,3320,013,3,3,5,1,1,2,1,1,1,4,1,3,3,,,,1,,"Gurun, Ayfer","Landolsi, Mohamed Adam",,,,
FIN,3320,015,,15,4,5,8,6,8,4,4,1,1,,,,,,,,"Mace, Christopher",,,,,
FIN,3320,016,4,5,5,3,4,2,1,11,,,,,2,,,,4,,"Bachani, Girish",,,,,
FIN,3320,017,,11,4,4,6,4,2,8,,,,,1,,,,3,,"Wang, Pingle","Sawal, Jyoti A",,,,
FIN,3320,501,4,8,9,10,6,1,3,1,,,1,,,,,,2,,"Khanapure, Revansiddha B","Yedlapalli, Sai Sri Harsha",,,,
FIN,3320,502,1,2,3,3,1,3,,2,,,,,1,,,,1,,"Huang, Zhuowei",,,,,
FIN,3320,HON,,19,5,5,14,2,,1,,,,,,,,,2,,"Wang, Pingle","Sawal, Jyoti A",,,,
FIN,3340,001,,18,4,2,12,6,2,3,,,,,,,,,1,,"Lewin, Peter",,,,,
FIN,3350,001,,8,9,4,2,8,,3,2,,2,,2,,,,,,"Xia, Han","Zhang, Qiyan",,,,
FIN,3350,002,,8,2,,1,2,1,,,,,,1,,,,2,,"Xia, Han","Zhang, Qiyan",,,,
FIN,3360,001,4,3,9,6,7,9,3,2,3,,,1,,,,,,,"Mao, Yingdong",,,,,
FIN,3360,002,14,18,3,,5,,,,,,2,,,,,,1,,"Wen, Yaxin",,,,,
FIN,3365,0W1,2,5,4,1,2,1,,1,,,,,,,,,,,"DeCourcy, George A",,,,,
FIN,3370,001,8,,3,1,3,2,,1,1,,,,1,,,,,,"Kaplan, Larry S",,,,,
FIN,3370,002,7,4,4,4,2,4,6,1,,1,,,2,,,,,,"Kaplan, Larry S",,,,,
FIN,3380,001,,3,4,5,4,5,4,2,4,5,,,,,,,,,"Gurun, Ayfer","Landolsi, Mohamed Adam",,,,
FIN,3380,002,1,7,1,,1,2,4,,1,3,2,,,,,,,,"Gurun, Ayfer","Landolsi, Mohamed Adam",,,,
