Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
EE,3150,102,,11,1,,4,1,,,,,,,2,,"Kiasaleh, Kamran","Apalak, Merve",,,,,kamran,kamran kiasaleh,Communications Systems Laboratory 
MECH,3120,104,15,1,1,2,,,,,,,,,,,"Hassanipour, Fatemeh","Zaherisarabi, Shadi",,,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
ARTS,2350,501,,13,6,,,,,,,,,,,,"Loving, Emily",,,,,,exl097120,emily loving,Photography  Design 
ARTS,3377,001,1,6,4,4,1,1,1,,,,1,,,,"Waligore, Marilyn A",,,,,,waligore,marilyn waligore,Photography  Altered Image 
CS,4141,109,16,2,,,,,,1,,,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker,Digital Systems Laboratory 
ECS,3390,007,,9,2,,3,3,,,,,,1,1,,"Moore, Lindsay E",,,,,,lem150330,lindsay moore,Professional and Technical Communication 
ECS,3390,0H8,,10,3,2,3,,,,1,,,,,,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz,Professional and Technical Communication 
ECS,3390,5H2,,4,6,4,2,2,,,,,1,,,,"Libby, Lee L",,,,,,llibby,lee libby,Professional and Technical Communication 
ACCT,6344,001,,8,2,7,1,,,1,,,,,,,"Bowen, Richard M","Walker, Jacob N",,,,,rxb073100,richard bowen,Financial Statement Analysis 
MKT,3330,006,1,8,2,,1,2,,3,,,1,,1,,"Dover, Howard F",,,,,,hfd021000,howard dover,Introduction to Professional Selling 
CHEM,1111,148,7,4,3,1,,1,1,,,,,,2,,"Youn, Jonghae",,,,,,jxy140930,,General Chemistry Laboratory I 
CHEM,2401,004,,3,2,,6,2,4,,1,,,,1,,"Pantano, Paul",,,,,,pantano,paul pantano,Introductory Quantitative Methods in Chemistry 
RHET,1302,030,,10,3,1,,1,,,,,1,,3,,"Snyder, Sarah E",,,,,,sxs162031,sarah snyder,Rhetoric 
ECS,3390,504,6,8,2,,1,1,,1,,,,,,,"Nichols, Allene R",,,,,,allenen,allene nichols,Professional and Technical Communication 
MECH,3115,105,4,6,2,,7,,,,,,,,,,"Ouyang, Hui","Najafi, Behzad",,,,,hxo150330,hui ouyang,Fluid Mechanics Laboratory 
MECH,3120,102,17,2,,,,,,,,,,,,,"Hassanipour, Fatemeh","Zaherisarabi, Shadi","Azarnoosh, Jamasp",,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
MECH,3120,106,10,9,,,,,,,,,,,,,"Hassanipour, Fatemeh","Jiang, Lin",,,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
MECH,3120,103,13,4,1,1,,,,,,,,,,,"Hassanipour, Fatemeh","Liu, Yaning",,,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
OPRE,6371,501,,7,2,5,4,1,,,,,,,,,"Hu, Bin","Garg, Harsh",,,,,bxh180009,bin hu,Purchasing  Sourcing and Contract Management 
CS,6323,001,,17,1,,1,,,,,,,,,,"Guo, Xiaohu","Wang, Yeqi",,,,,xxg061000,xiaohu guo,Computer Animation and Gaming 
BUAN,6398,501,,5,1,2,2,1,4,4,,,,,,,"Kuo, Ching-Chung","Liu, Yueming",,,,,cxk162830,,Prescriptive Analytics 
OPRE,3310,5E1,4,3,,3,3,,,3,,,3,,,,"Sajjadi, Reza","Khandelwal, Kumar Manglam",,,,,rxs179730,reza sajjadi,Operations Management 
BUAN,6335,501,,16,3,,,,,,,,,,,,"Narayan, Ravishankar L","Shekhavat, Shivani",,,,,rln130030,ravishankar narayan,Organizing for Business Analytics  A Systems Approach 
ARTS,3367,501,8,8,2,,,1,,,,,,,,,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda,Figure Drawing 
ARTS,3372,001,,12,3,2,,,1,,,1,,,,,"Loving, Emily",,,,,,exl097120,emily loving,Photography  Color Concepts 
CRWT,4354,501,,6,7,5,,,,,1,,,,,,"Goldberg, Paula",,,,,,pxg180023,paula goldberg,Creating Scripts 
HUMA,6300,001,,9,4,4,,,1,1,,,,,,,"Reynolds, Clay",,,,,,clayr,clay reynolds,Interdisciplinary Approaches to the Arts and Humanities 
ATCM,4305,001,,2,3,1,5,5,,2,,,,,1,,"Hall, Phillip",,,,,,pxh151330,phillip hall,Computer Animation II 
BMEN,1100,102,,5,3,3,5,1,,2,,,,,,,"Myers, Kathleen","Li, Shichang","Chakraborty, Somdutta",,,,kxm156530,kathleen myers,Introduction to Bioengineering I 
BMEN,3120,103,3,5,1,2,2,1,3,1,,,,,1,,"Ali, Tariq M","Ganguly, Antra",,,,,tma051000,tariq ali,Biomedical Circuits and Instrumentation Laboratory 
CE,4388,001,,12,3,2,2,,,,,,,,,,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
CE,4388,002,,11,6,,1,,,,1,,,,,,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
CS,4141,101,15,,3,1,,,,,,,,,,,"Becker, Eric W","Adebiyi, Abdulmateen A","Shah, Trusit Sandipbhai",,,,ewb160130,eric becker,Digital Systems Laboratory 
ECS,3390,005,,10,1,,2,2,,1,,,,,3,,"Mohsene, Laura L",,,,,,olive,laura mohsene,Professional and Technical Communication 
ECS,3390,006,,12,3,1,1,,,,1,,,,1,,"Mohsene, Laura L",,,,,,olive,laura mohsene,Professional and Technical Communication 
ECS,3390,008,7,5,1,3,1,1,,,,,,,1,,"Moore, Lindsay E",,,,,,lem150330,lindsay moore,Professional and Technical Communication 
ECS,3390,0H4,5,5,3,1,2,,2,,,1,,,,,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth (betsy) schlobohm,Professional and Technical Communication 
ECS,3390,0H9,,11,3,2,1,,,,1,,,,1,,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
ECS,3390,506,6,6,2,,3,,,,,,,,2,,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
ECS,3390,5H3,,11,3,2,2,,,1,,,,,,,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
ECS,3390,HN1,,13,3,2,1,,,,,,,,,,"Ryan, Christopher J",,,,,,cxr088000,christopher ryan,Professional and Technical Communication 
SE,3340,502,,,2,1,1,4,4,3,,1,1,,2,,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi,
SE,3341,002,1,,1,,3,2,1,,3,,1,,7,,"Whalen, Tristan G","Zhou, Qinyi",,,,,tgw100020,tristan whalen,Probability and Statistics in Computer Science and Software Engineering 
PA,6382,0W1,,9,4,5,,,,,,,,,1,,"Lee, Young-Joo",,,,,,yxl093000,young joo lee,Nonprofit Management 
BIOL,6355,001,,18,,,1,,,,,,,,,,"Kim, Tae Hoon",,,,,,txk142630,,The Nucleus 
PHYS,3411,001,2,3,3,1,6,1,2,,,,,,1,,"Macalevey, Paul J","Proctor, Matthew S","Gartstein, Yuri",,,,paulmac,paul macalevey,Theoretical Physics 
BIOL,3V83,PAC,,,,,,,,,,,,,,,"Gonzalez, Cristina M",,,,,,cxg042000,cristina gonzalez,Clinical Medicine III 
MIS,6346,501,,10,8,,,,,,,,,,,,"Henslee, Austin","Shankar, Santhosh",,,,,axh134230,austin henslee,Big Data 
COMD,6378,001,,19,,,,,,,,,,,,,"Dean, Lucinda L","Sale, Felicity F",,,,,lxl018300,,Neurogenic Communication Disorders II 
PHYS,5311,001,,5,2,7,3,,,2,,,,,,,"Kesden, Michael H","Zhang, Yichao",,,,,mhk130030,michael kesden,Classical Mechanics 
ACN,6395,501,,7,11,2,,,,,,,,,,,"Meltzer, Mitchell A",,,,,,mam089100,mitchell meltzer,Cognitive Psychology 
CGS,3361,501,5,3,4,,6,,,2,,,,,,,"Roark, Dana A","Zhang, Ziwei",,,,,danar,dana roark,Cognitive Psychology 
CS,4141,102,11,6,3,,,,,,,,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker,Digital Systems Laboratory 
CS,4141,103,20,,,,,,,,,,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker,Digital Systems Laboratory 
MIS,6319,001,,17,,,3,,,,,,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,,lot013000,luell thompson,Enterprise Resource Planning 
CLDP,3394,001,,15,,,3,,,1,,,,,1,,"Grant, Meridith G",,,,,,mga061000,meridith grant,Research and Evaluation Methods 
CS,4141,105,16,2,,,,,,,,,,,2,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker,Digital Systems Laboratory 
MECH,3115,103,13,4,3,,,,,,,,,,,,"Ouyang, Hui","LeClear, Johnathon D",,,,,hxo150330,hui ouyang,Fluid Mechanics Laboratory 
SOC,3379,001,12,3,5,,,,,,,,,,,,"Arguelles, Ariel",,,,,,axa152731,ariel arguelles,Diversity in the Public Sector 
MECO,4342,001,4,11,4,1,,,,,,,,,,,"Molina, Stephen",,,,,,sxm163630,stephen molina,Financial and Business Negotiation Analysis 
BIOL,3380,304,2,4,5,1,3,2,,1,1,,,,1,,"Pickett, Elizabeth A","Ebrahimzadeh Pirshahid, Tahmineh",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,4380,302,,5,4,2,3,3,1,1,,,1,,,,"Borovkov, Irina G","Devaki, Bharath",,,,,ixb053000,irina borovkov,Cell and Molecular Biology Laboratory 
ATCM,2320,001,,1,5,5,4,2,1,,,,1,,1,,"Imaoka, Laura",,,,,,lxi170030,laura imaoka,Critical Media Research Foundations 
CS,6301,003,,9,3,3,4,,1,,,,,,,,"Mittal, Neeraj","Dhoked, Sahil",,,,,nxm020100,neeraj mittal,Special Topics in Computer Science 
MECH,3120,101,16,2,2,,,,,,,,,,,,"Hassanipour, Fatemeh","Liu, Yaning","Zaherisarabi, Shadi",,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
MIS,6330,501,,7,6,4,3,,,,,,,,,,"Lahiri, Atanu","Sandilya, Nimish K",,,,,axl144730,atanu lahiri,Information Technology Security 
ECON,6306,503,,16,3,1,,,,,,,,,,,"Grover, William C","Han, Minyu",,,,,wcg071000,william grover,Applied Econometrics 
THEA,3323,001,,5,2,3,6,1,2,,,,,1,,,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs,Performance in Historical Context 
MIS,6344,001,,6,6,4,2,2,,,,,,,,,"Singh, Harpreet","Khurana, Anmol",,,,,hxs104000,harpreet singh,Web Analytics 
COMM,4375,PAC,16,2,1,1,,,,,,,,,,,"King, Carie S",,,,,,cxl085200,carie king,Professional Communication in Medicine 
ATCM,1100,002,,9,,,8,,,1,,,2,,,,"Lester, Paul","Desai, Wajiha Y","Hallgarth, Abigail M",,,,pxl152030,paul lester,Freshman Seminar 
ATCM,4376,002,,20,,,,,,,,,,,,,"Andreen, Michael T",,,,,,mta072000,michael andreen,Game Production Lab I 
COMD,6307,001,,12,,,6,,,1,,,,,1,,"Van Kleeck, Anne E",,,,,,avk042000,,Language Acquisition 
PSYC,6312,001,,9,1,,4,4,,2,,,,,,,"Juhn, Nancy H","Meldrum, Shelia","O'Connell, Margaret A",,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part I 
BMEN,7188,001,,11,5,2,2,,,,,,,,,,"Romero-Ortega, Mario I",,,,,,mir140030,,Advanced Seminars in Biomedical Engineering I 
BMEN,7341,001,,1,6,3,3,2,4,1,,,,,,,"Case, Allison B",,,,,,abc130530,allison case,Biostatistics 
CE,2305,503,1,5,3,1,3,2,1,1,1,,1,,1,,"Farage, Timothy P",,,,,,tfarage,timothy farage,Discrete Mathematics for Computing I 
CE,4337,503,3,4,5,,,4,2,,2,,,,,,"McMahan, Timothy","Desai, Takshak",,,,,txm173230,timothy mcmahan,Organization of Programming Languages 
CE,4390,002,,6,5,6,3,,,,,,,,,,"Farago, Andras","Zhou, Shuang",,,,,farago,andras farago,Computer Networks 
CS,4141,107,18,,,,,,1,,1,,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker,Digital Systems Laboratory 
CS,4141,110,16,3,1,,,,,,,,,,,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,,ewb160130,eric becker,Digital Systems Laboratory 
EE,3150,103,,8,,,4,6,,2,,,,,,,"Kiasaleh, Kamran","Taherkhani, Nima",,,,,kamran,kamran kiasaleh,Communications Systems Laboratory 
MECH,3115,102,4,12,3,1,,,,,,,,,,,"Ouyang, Hui","LeClear, Sani",,,,,hxo150330,hui ouyang,Fluid Mechanics Laboratory 
SE,6329,MS1,,19,,,,,,,,,,,1,,"Nguyen, Tien N",,,,,,tnn160630,tien nguyen,
SE,6361,MS1,,18,,,1,,,,,,,,1,,"Oladimeji, Ebenezer A",,,,,,eao015100,ebenezer oladimeji,
SYSM,6301,001,,7,5,3,5,,,,,,,,,,"Minden, Alixandre R","Bing, Mallory A","Reynolds, Samuel E",,,,arm130430,minden alixandre,Systems Engineering  Architecture and Design 
CRIM,3303,001,,3,2,5,5,2,,2,,,1,,,,"Connell, Nadine","Riddell, Jordan R",,,,,nmc110030,nadine connell,Advanced Criminal Justice 
PA,6311,501,,18,2,,,,,,,,,,,,"McCaskill, John R",,,,,,jrm094020,john mccaskill,Public Management 
ED,3340,501,2,3,6,2,2,,1,3,,,1,,,,"Haun, Julia T",,,,,,jlb018300,julia haun,Math Concepts for Teachers 
ACCT,6305,SS1,,12,,2,3,3,,,,,,,,,"Zhang, Jieying",,,,,,jxz146230,jieying zhang,
FIN,6318,SS1,,3,3,8,4,2,,,,,,,,,"Xu, Yexiao",,,,,,yexiaoxu,yexiao xu,
CHEM,2401,001,2,3,6,4,1,2,1,1,,,,,,,"Panapitiya, Nimanka P","Karunaweera, Chamaal",,,,,npp081000,nimanka panapitiya,Introductory Quantitative Methods in Chemistry 
UNIV,4174,002,17,2,1,,,,,,,,,,,,"Lane, Shelley D",,,,,,sdl063000,shelley lane,Theory and Practice of Group Motivation and Leadership 
MAS,6105,0W1,,,,,,,,,,,,,2,,"Smallwood, Margaret G","Sluder, Jeanne","Babayemi, Opeyimika O",,,,meg012400,margaret smallwood,Communications for Management 
PPPE,6352,501,,3,4,4,6,1,1,,,,,,,,"Dumas, Lloyd",,,,,,ljdumas,lloyd dumas,World Political Economy 
OPRE,6366,PS1,,11,4,3,2,,,,,,,,,,"Rajamani, Divakar",,,,,,dxr020100,divakar rajamani,
OPRE,6370,PS1,,13,3,2,2,,,,,,,,,,"Rajamani, Divakar",,,,,,dxr020100,divakar rajamani,
LANG,4348,001,15,6,,,,,,,,,,,,,"Camacho-Guardado, Lorena",,,,,,lxc163230,amalia lorena camacho guardardo,Advanced Topics in Language  - History of the Spanish Lang (3 Semester Credit Hours)
RHET,1302,023,,9,5,2,,,,1,1,,,,3,,"Bovda, Alisa Y",,,,,,ayb091020,alisa bovda,Rhetoric 
ATCM,3395,004,,3,6,3,3,4,2,,,,,,,,"Sung, Wendy",,,,,,wxs172630,wendy sung,Topics in Arts  Technology  and Emerging Communication 
EECS,6331,001,,2,3,6,6,2,1,1,,,,,,,"Yurkovich, Stephen","Bing, Mallory A",,,,,sxy111430,stephen yurkovich,Linear Systems  (3 Semester Credit Hours)
EERF,6355,001,,5,5,8,2,1,,,,,,,,,"Saad, Ricardo E","Li, Sen",,,,,rsaad,ricardo saad,RF and Microwave Amplifier Design 
ECON,6306,502,,14,,,7,,,,,,,,,,"O'Brien, Daniel M","Choi, Soohyun",,,,,obri,daniel obrien,Applied Econometrics 
ED,4372,0W1,13,2,2,1,1,1,,1,,,,,,,"Mahmoud, Ramy A",,,,,,mahmoudr,ramy mahmoud,Educational Technology 
ENGY,6330,501,,8,9,1,2,1,,,,,,,,,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley,Energy Law and Contracts 
ENTP,3301,501,,8,,,11,,,2,,,,,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo,Innovation and Entrepreneurship 
UNIV,4174,003,15,3,2,,,,,1,,,,,,,"Lane, Shelley D",,,,,,sdl063000,shelley lane,Theory and Practice of Group Motivation and Leadership 
CS,6390,001,,5,3,4,5,2,1,1,,,,,,,"Sarac, Kamil","Kadiyala, Krishna P",,,,,kxs028100,kamil sarac,Advanced Computer Networks 
EEDG,6304,001,,,2,5,3,9,,,,,,,2,,"Carrion Schaefer, Benjamin","Zhou, Liwei",,,,,bxc162630,benjamin carrion schaefer,Computer Architecture 
PSCI,4396,HN1,2,15,3,1,,,,,,,,,,,"Roetzel, Natalie J",,,,,,njr120030,natalie roetzel,
BCOM,3100,004,,16,,2,1,,,,,,,,2,,"Henderson, Tom","Kathpalia, Ashutosh",,,,,txh093000,tom henderson,Professional Development 
MIS,6356,501,,11,3,4,3,,,,,,,,,,"Parker, Jason A","Bodh, Malvika",,,,,jap090020,jason parker,Business Analytics With R 
MKT,6343,501,,8,7,3,3,,,,,,,,,,"Xie, Ying","Saremi, Ehsan",,,,,yxx124930,ying xie,Social Media Marketing and Insights 
MATH,1325,013,5,1,3,3,,,,1,1,,1,1,5,,"Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,,,dmr150130,diarisoa rakotomalala,Applied Calculus I 
COMM,1311,5W3,,5,3,1,3,,,,2,,,,7,,"Warren, Jason L",,,,,,jxw174630,jason warren,
RHET,1302,032,1,10,5,2,1,1,,,,,,,1,,"Bell, Joycelyn M",,,,,,jxb120631,,Rhetoric 
CS,6301,010,,15,6,,,,,,,,,,,,"Prabhakaran, Balakrishnan","Vellingiri, Shanthi",,,,,praba,balakrishnan prabhakaran,Special Topics in Computer Science 
EERF,6396,001,,3,3,7,4,3,,1,,,,,,,"Lehmann, Randall E","Gemsheim, Alex J",,,,,rel041000,randall lehmann,Microwave Design and Measurement 
FIN,4300,501,,5,1,1,3,,4,1,,1,,,5,,"Wei, Kelsey D","Lee, Pil-Seng",,,,,kdw061000,kelsey wei,Investment Management 
MECO,6303,001,,8,8,5,,,,,,,,,,,"Siegenthaler, Simon","Chen, Xi",,,,,sxs177933,simon siegenthaler,Business Economics 
MIS,6320,001,,21,,,,,,,,,,,,,"Raman, Ganapathiraman R",,,,,,grr090020,ganapathiraman raman,Database Foundations 
MATH,2417,HN1,12,5,2,1,1,,,,,,,,,,"Ramakrishna, Viswanath","Lama, Sonam","Caseria, Brendan J",,,,vish,viswanath ramakrishna,Calculus I 
OPRE,6341,0W1,,8,2,4,4,3,,,,,,,,,"Honhon, Dorothee B","Khandelwal, Kumar Manglam",,,,,dbh130130,dorothee honhon,Retail Operations 
MIS,6344,501,,3,8,5,2,2,,1,,,,,,,"Singh, Harpreet","Khurana, Anmol",,,,,hxs104000,harpreet singh,Web Analytics 
CLDP,3310,002,,6,5,,1,5,2,2,,,,,,,"Nelson Taylor, Jackie A","Smith, Olivia",,,,,jan110030,jackie nelson,Child Development 
COMD,7221,001,,21,,,,,,,,,,,,,"Carter, Jessica A",,,,,,jar032000,,Preschool Intervention 
SE,4347,501,4,2,5,3,5,,1,1,,,,,,,"Khan, Ziaullah","Skorupa Parolin, Erick",,,,,kkhan,ziaullah khan,Database Systems 
ACCT,6382,501,,8,11,1,,1,,,,,,,,,"Mauriello, Joseph A","Braughton, Caleb M",,,,,jam151430,joseph mauriello,Advanced Internal Auditing 
MECO,6345,001,,6,4,6,3,2,,,,,,,,,"Hyndman, Kyle B",,,,,,tdp062000,kyle hyndman,Advanced Managerial Economics 
OPRE,6371,PW1,,12,6,,3,,,,,,,,,,"Rajamani, Divakar","Hogan, James W",,,,,dxr020100,divakar rajamani,
BIOL,6373,001,,3,,1,13,1,,3,,,,,,,"Winkler, Duane D",,,,,,ddw130330,duane winkler,Proteomics 
RHET,1302,017,4,5,5,1,5,,,,,,,,,,"King, Alana",,,,,,axk173530,alana king,Rhetoric 
COMM,4314,001,9,5,4,2,,,,,,,,,,,"King, Carie S",,,,,,cxl085200,carie king,Persuasion and Interpersonal Influence 
BUAN,6357,002,,7,6,4,3,1,,,,,,,,,"Chatterjee, Sourav","Gupta, Aabhas",,,,,sxc180075,sourav chatterjee,Advanced Business Analytics Using R 
MIS,6309,501,,7,7,2,4,,1,,,,,,,,"Islam, Naser","Dheram, Geyasruti",,,,,nxi110630,naser islam,Business Data Warehousing 
RHET,1302,031,2,7,6,2,1,,1,1,,,,,1,,"Berry, Tracey R",,,,,,txb112130,tracey berry,Rhetoric 
RHET,1302,005,9,3,5,1,,,,,,,,1,3,,"Field, Amanda C",,,,,,axl151930,amanda field,Rhetoric 
RHET,1302,011,,12,4,,2,1,,1,,,,,2,,"Saeidfar, Ghazal",,,,,,gxs153630,ghazal saeidfar,Rhetoric 
RHET,1302,015,6,1,3,1,3,5,1,1,,,,,1,,"Shierry, Addison",,,,,,axs084500,addison shierry,Rhetoric 
RHET,1302,034,,10,5,3,1,,,,,,1,,2,,"Bell, Joycelyn M",,,,,,jxb120631,,Rhetoric 
RHET,1302,0H3,8,5,1,5,,1,,,,1,,,1,,"Keeth, Sara L",,,,,,slk041000,sara keeth,Rhetoric 
RHET,1302,0H4,6,3,2,1,4,1,1,1,,,2,,1,,"Riley, Kristin N",,,,,,knr091000,kristin riley,Rhetoric 
PSY,3393,001,1,11,,1,5,1,1,1,,,,,1,,"Dowling, Walter J",,,,,,jdowling,walter j dowling,Experimental Projects in Psychology 
CE,3302,001,2,,2,3,3,1,3,,3,,,2,3,,"Khoobroo, Amir","Arjona Angarita, Ricardo Javier",,,,,axk144831,amir khoobroo,Signals and Systems 
ENTP,4340,501,,4,1,2,13,,,,,,1,,1,,"Wright, Robert G",,,,,,rgw091000,robert wright,Social Sector Engagement and Community Outreach 
BIOL,2281,309,1,8,5,2,3,1,,1,,1,,,,,"Mehta, Iti","Xia, Jing",,,,,ixm121430,iti mehta,Introductory Biology Laboratory 
BIOL,3380,302,2,3,2,5,4,2,,1,1,,,1,1,,"Rippel, Scott A","Hulyalkar, Neha V",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,306,4,3,6,3,2,,2,1,1,,,,,,"Pan, Jing","Tiruchendurai Suryan, Saai Anugraha",,,,,jxp134330,jing pan,Biochemistry Laboratory 
CHEM,1111,102,7,7,4,,2,,,,,,,,2,,"Hashami, Zohreh","Mills, Kira R",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory I 
RHET,1302,018,,17,3,2,,,,,,,,,,,"Al-Rashid, Entidhar H",,,,,,eha170000,entidhar al rashid,Rhetoric 
RHET,1302,025,4,14,1,3,,,,,,,,,,,"Sengupta, Karl",,,,,,kss140330,karl sengupta,Rhetoric 
RHET,1302,0H1,3,5,2,3,2,2,1,2,,,,,2,,"Keeth, Sara L","Riley, Kristin N",,,,,slk041000,sara keeth,Rhetoric 
RHET,1302,0H2,5,,5,2,4,3,2,1,,,,,,,"Riley, Kristin N",,,,,,knr091000,kristin riley,Rhetoric 
RHET,1302,0H5,4,6,2,2,1,1,1,1,,,,1,3,,"Keeth, Sara L",,,,,,slk041000,sara keeth,Rhetoric 
EESC,6366,001,,6,2,1,11,2,,,,,,,,,"Hansen, John","Chandra Shekar, Ram Charan M",,,,,jxh052100,john hansen,Speech and Speaker Recognition 
PA,4370,001,,4,5,,4,4,,5,,,,,,,"Kiel, Lowell D",,,,,,dkiel,,Leadership  Democracy  and Ethics 
SYSM,6320,SS1,,7,,,8,,,7,,,,,,,"Dess, Gregory","Kim, Dong Shin",,,,,ggd021000,gregory dess,
BIOL,2281,301,4,10,6,,1,1,,,,,,,,,"Mehta, Iti","Ratevosyan, Richard",,,,,ixm121430,iti mehta,Introductory Biology Laboratory 
CHEM,3472,002,1,3,1,3,3,2,3,,3,,1,,2,,"Goux, Warren J","Castro, Fabian","Zhou, Qinhan","Morakabi, Katayoun","Li, Siqing",,wgoux,warren goux,Instrumental Analysis 
RHET,1302,019,,7,4,7,,1,,1,,1,1,,,,"Balasa, Alexandra",,,,,,axb177630,alexandra balasa,Rhetoric 
RHET,1302,503,1,7,5,5,1,,1,1,,,,,1,,"Manes, Christopher L",,,,,,clm036000,christopher manes,Rhetoric 
CS,6375,001,,8,9,4,1,,,,,,,,,,"Kunapuli, Gautam","Yan, Siwen",,,,,gxk170007,gautam kunapuli,Machine Learning 
BIOL,2281,314,1,2,3,5,3,6,,,1,1,,,,,"Mehta, Iti","Easterwood, Shayne",,,,,ixm121430,iti mehta,Introductory Biology Laboratory 
RHET,1302,501,,4,4,5,7,2,,,,,,,,,"Hamilton, Cristen",,,,,,cch073000,cristen hamilton,Rhetoric 
CRIM,2317,501,1,2,3,3,2,2,3,3,2,,,,1,,"McKay, Brian",,,,,,bxm131530,brian mckay,Criminal Prosecution and Court Process 
COMM,1311,0W7,8,6,4,1,1,,,,,,,,2,,"Gregory, Mona Y",,,,,,myg140030,mona gregory,
RHET,1302,009,6,4,5,3,1,2,,,,,,1,,,"Ocasio-Russe, Lizbette",,,,,,lxo160130,lizbette ocasio russe,Rhetoric 
RHET,1302,020,15,1,1,,2,1,,,1,,,,1,,"Ali, Shazia",,,,,,shazia,ali shazia,Rhetoric 
RHET,1302,021,17,4,,,,,,,,,,,1,,"Ali, Shazia",,,,,,shazia,ali shazia,Rhetoric 
RHET,1302,0H6,3,9,3,2,1,1,,,,,1,,2,,"Riley, Kristin N",,,,,,knr091000,kristin riley,Rhetoric 
ATCM,4326,002,,2,5,4,9,1,1,,,,,,,,"Imaoka, Laura","Barr, Ivey B",,,,,lxi170030,laura imaoka,Mediated Textuality 
CS,2336,008,1,6,6,2,4,,,1,,,1,,1,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Computer Science II 
EE,3110,106,3,7,,5,4,,,1,1,,,,1,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
GOVT,2306,HN2,1,15,3,1,1,1,,,,,,,,,"Harpham, Edward",,,,,,harpham,edward harpham,State and Local Government 
BIOL,3380,303,,7,5,6,1,2,,,1,,,,,,"Rippel, Scott A","Groover, Isaac A",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,6193,001,,,,,,,,,,,,,,,"Xuan, Zhenyu",,,,,,zxx091000,,Colloquium in Molecular and Cell Biology 
NSC,4350,001,4,2,,,10,1,2,1,,,1,,1,,"Taylor, Anna M",,,,,,amt180004,anna taylor,Medical Neuropathology 
SYSM,6305,001,,12,6,3,2,,,,,,,,,,"Spong, Mark W","Morton, Ryan E",,,,,mws081000,mark spong,Optimization Theory and Practice 
HMGT,6407,AS1,,23,,,,,,,,,,,,,"McCracken, John",,,,,,,john mccracken,
BIOL,2281,307,3,5,9,2,,3,1,,,,,,,,"Lin, Wen J","Saini, Ankur",,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,310,4,6,7,5,1,,,,,,,,,,"Mehta, Iti","Saini, Ankur",,,,,ixm121430,iti mehta,Introductory Biology Laboratory 
BIOL,2281,311,5,6,4,2,3,1,,1,1,,,,,,"Pickett, Elizabeth A","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,,eaw016100,elizabeth pickett,Introductory Biology Laboratory 
COMM,3342,0W1,1,5,1,2,3,1,2,4,2,,2,,,,"Baker, Barbara L",,,,,,blb140430,barbara baker,Advanced Topics in Communication 
THEA,1310,HN1,8,12,3,,,,,,,,,,,,"Lingo, Kathy A",,,,,,klingo,kathy lingo,Understanding Theatre 
