Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
AMS,2300,1,,6,11,10,13,3,3,1,3,1,,1,3,,,,,1,"Pogue, Neall W",,,,,,nxp174730,neall pogue,American Popular Culture 
AMS,2341,1,,23,19,13,8,,,,,,,,7,,,,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,2341,HN1,,7,2,2,1,,,,,,,,1,,,,,1,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,3316,0W1,12,11,3,1,1,2,,2,2,1,1,,1,,,,,2,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,3350,0W1,15,7,5,1,3,1,,,,,,,1,,,,1,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Crisis Communication 
AMS,4300,5H1,4,5,2,2,4,3,1,1,,,,,,,,,,0,"Ross, Alyssa N",,,,,,anr161130,alyssa ross,Oral and Written Communication for the Classroom 
AMS,4304,1,,3,4,2,4,4,1,2,,,,,2,,,,,0,"Jaramillo, Anthony","Wright, David A",,,,,axj112730,anthony jaramillo,Communication in America 
AMS,4305,5H1,,5,1,1,1,1,,,,,,,3,,,,,0,"Cotton, Scott C",,,,,,sxc024200,scott cotton,World History for Teachers 
AMS,4360,1,,3,,,2,,,1,,,,,3,,,,,1,"Wissinger, Tonja",,,,,,twissin,tonja wissinger,Gender and Alcohol in America 
AMS,4379,1,6,2,,,,,,,,,,,2,,,,,0,"Cropps, Torrie",,,,,,txc210023,,Special Topics in American Studies 
ARAB,1311,2,5,3,4,2,,2,,,,,,,2,,,,,0,"Arrabai, Mustafa M",,,,,,mma200002,mustafa arrabai,Beginning Arabic I 
ARAB,1312,1,1,5,,,2,,,1,,,,,2,,,,,0,"Anjum, Zafar",,,,,,zxa110730,zafar anjum,Beginning Arabic II 
ARHM,2343,1,1,3,5,4,4,1,1,,,,1,,1,,,,,1,"Gossin, Pamela S",,,,,,psgossin,pamela gossin,Science and the Humanities 
