Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,6350,501,,9,6,2,,,,,,,,,,2,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,,sjs107020,steven solcher,Fundamentals of Taxation I 
ACCT,6353,502,,39,2,1,,,,,,,,,,10,,,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation II 
ACCT,6353,PP1,,3,9,13,,1,,,,,,,,,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,,sjs107020,steven solcher,Fundamentals of Taxation II 
ACCT,6353,PP2,,6,13,6,,,,,,,,,,13,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,,sjs107020,steven solcher,Fundamentals of Taxation II 
ACCT,6353,SS1,,8,6,1,,,,,,,,,,2,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,,sjs107020,steven solcher,
ACCT,6367,501,,11,2,1,1,,1,1,,,,,,2,,,0,"Gamino, John P",,,,,,jpg140630,john gamino,Multijurisdictional Taxation 
ACCT,6377,501,,12,6,,,,,,,,,,,2,,,0,"McCuistion, Dennis",,,,,,dxm094000,dennis mccuistion,Corporate Governance 
ACCT,6380,501,,11,4,2,1,,,,,,,,1,5,,,0,"Mauriello, Joseph A","Sauer, Ashlyn M",,,,,jam151430,joseph mauriello,Internal Audit 
ACCT,6382,001,,5,4,2,1,,,,,,,,,1,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello,Advanced Internal Auditing 
ACCT,6383,501,,7,1,4,4,1,,1,,,,,,5,,,0,"Bracy, Dana","Thompson, Colby S",,,,,dxb016100,dana bracy,Fraud Examination 
ACCT,6384,501,,27,9,,,,,,,,,,1,5,,,1,"Kromer, Jeffrey","Hoang, Quynh M",,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
ACCT,6388,501,,24,4,,,,,,,,,,,2,,,0,"Goodrich, Mary Beth W","Ajayi, Olamiposi O",,,,,goodrich,mary beth goodrich,Accounting Communications 
ACN,5314,501,,26,1,,,,,,,,,,,,,,0,"Golden, Richard","Ryland, James W",,,,,golden,richard golden,Computational Modeling Methods in Behavioral and Brain Sciences 
ACN,6312,001,,7,2,2,,,,2,,,,,,2,,,0,"Juhn, Nancy H","Austin, Kathryn A","Meldrum, Shelia",,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part I 
ACN,6313,001,,6,2,1,1,1,,,,,,,,,,,0,"Juhn, Nancy H","Austin, Kathryn A","Meldrum, Shelia",,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part II 
ACN,6333,001,,4,,,3,2,,,,,,,,1,,,0,"Basak, Chandramallika",,,,,,cxb116130,chandramallika basak,Memory 
ACN,6334,001,,28,,,2,,,,,,,,,,,,0,"Dowling, Walter J",,,,,,jdowling,walter j dowling,Attention 
ACN,6337,001,,6,4,,,,,,,,,,,3,,,0,"Brown, Matthew",,,,,,mxb091000,matthew brown,Cognitive Ethnography 
ACN,6338,001,,22,,,14,,,,,,,,,3,,,0,"Kennedy, Kristen M","Miranda, Giuseppe G",,,,,kmk082000,kristen kennedy,Functional Neuroanatomy 
ACN,6342,0W1,,25,,,,,,1,,,,,,2,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick,Human Computer Interactions II 
ACN,6346,001,,13,,,2,,,,,,,,,3,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Systems Neuroscience 
ACN,6372,501,,23,,,,,,,,,,,,,,,0,"Dussor, Gregory O",,,,,,gxd141130,gregory dussor,The Neuroscience of Pain 
ACN,6374,001,,12,2,,,,,,,,,,,,,,0,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri,Intraoperative Neurophysiological Monitoring 
ACN,6395,001,,7,,,9,,,2,,,,,1,3,,,1,"Wig, Gagandeep S",,,,,,gsw130130,gagan wig,Cognitive Psychology 
ACN,7343,001,,12,3,3,5,,,,,,,,,3,,,0,"Thompson, Lucien",,,,,,tres,lucien thompson,Neuropharmacology 
ACTS,4301,001,11,,2,5,2,1,2,,1,1,,,,,5,,0,"Makhijani, Neha","Guo, Qi",,,,,nxm165130,neha makhijani,Long Term Actuarial Mathematics I 
ACTS,4302,001,3,5,5,6,7,1,3,2,1,1,,,,,8,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,,nah103020,natalia humphreys,Investment and Financial Markets I 
