Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
COMM,1311,0S2,4,6,2,,1,,,,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner,
COMM,1311,0W1,8,9,2,,1,,,,,,,,1,,,2,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
COMM,1311,0W2,3,2,2,1,,,1,1,,,,,,,,2,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
COMM,1315,0W1,7,4,3,,,1,1,,,,,,1,,,2,"Skiles, Bradley W",,,,,,bws150030,bradley skiles,Public Speaking 
COMM,3342,0S1,,15,4,1,,,,,,,,,,,,0,"Gooch, John C",,,,,,jcg053000,john gooch,Advanced Topics in Communication 
CRIM,1301,0U1,2,5,3,1,2,,,,,,,,,,,0,"Geibler, Robert",,,,,,rxg210036,robert geibler,Introduction to Criminal Justice 
CRIM,1307,0U1,1,4,4,,1,,,,1,,,,,,,0,"Van Blarcum, Lauren N",,,,,,lnv120030,,Introduction to Crime and Criminology 
CRIM,3301,0W1,15,9,9,2,4,4,1,1,3,,2,,2,,,3,"Manuel, Samantha A",,,,,,sam160130,samantha manuel,Theories of Justice 
CRIM,3302,0W2,2,5,2,2,4,2,,,,,,,,,,0,"Rodriguez, Diana C",,,,,,dcr200002,,Advanced Criminology 
CRIM,3310,0U1,3,8,1,2,2,,,,,,1,,,,,0,"Wilds, Katherine M",,,,,,kmw160130,katherine wilds,Youth Crime and Justice 
CRIM,4311,0W1,5,1,6,2,1,2,3,1,,,,,3,,,0,"Gordon, Quinn T",,,,,,qtg140030,quinn gordon,Crime and Justice Policy 
CRIM,4396,5W1,4,17,5,8,14,6,3,3,,,,1,1,,,1,"Worrall, John L",,,,,,jlw064000,john worrall,Selected Topics in Criminology 
CS,1134,1U1,12,2,2,2,,,,,1,,1,1,,,,0,"Min, Richard K","Hsu, Chih-Wei",,,,,rkm010300,richard min,Computer Science Laboratory 
CS,1136,1U1,5,2,3,3,1,,,,1,,,,2,,,1,"Min, Richard K","Alshomar, Ahmad",,,,,rkm010300,richard min,Computer Science Laboratory 
CS,1136,1U2,7,1,1,,,1,1,,,2,,,1,,,0,"Min, Richard K","Li, Dongcheng",,,,,rkm010300,richard min,Computer Science Laboratory 
CS,1325,0U1,1,5,2,3,5,2,1,,,,,,,,,0,"Feng, Ranran","Li, Ruosen",,,,,rxf090020,ranran feng,Introduction to Programming 
CS,1334,0U1,4,3,4,5,2,1,,,3,,,,,,,0,"Nagar, Anurag","Ocampo Diaz, Gerardo",,,,,axn112530,anurag nagar,Programming Fundamentals for Non-Majors 
CS,1335,5U1,2,2,9,3,,,,,,,,,1,,,1,"Erbatur, Serdar","Li, Xiao",,,,,sxe190003,serdar erbatur,Computer Science I for Non-majors 
CS,1336,0U1,2,1,1,3,4,2,3,2,,,1,,3,,,1,"Gupta, Neeraj K","Birashk, Amin","Deniz, Omer Faruk",,,,nkg140130,neeraj gupta,Programming Fundamentals 
CS,1336,0U2,5,3,2,1,2,,1,2,,1,1,,1,,,0,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold,Programming Fundamentals 
CS,1337,0U1,3,6,5,3,9,1,3,2,,1,,,2,,,1,"Dollinger, Scott M","Delaram, Zeinab","Chen, Zizhao",,,,smd013000,scott dollinger,Computer Science I 
CS,1337,5U1,1,5,3,2,7,4,6,,,,,,,,,0,"Davis, Chris I","Zeng, Yankai",,,,,cid021000,chris davis,Computer Science I 
CS,2305,0U1,3,11,7,4,3,1,2,2,,,,,,,,1,"Feng, Ranran","Guo, Jinghui",,,,,rxf090020,ranran feng,Discrete Mathematics for Computing I 
CS,2336,0U1,3,5,1,,1,,2,,,,,,4,,,1,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold,Computer Science II 
CS,2336,5U1,2,3,5,5,7,10,,,,,,,,,,1,"Khan, Ziaullah","Tian, Zijing","Chen, Simin",,,,kkhan,ziaullah khan,Computer Science II 
CS,2340,0U1,1,5,6,4,3,,2,2,2,1,,1,2,,,0,"Mazidi, Karen J","Mi, Feng",,,,,kjm160430,karen mazidi,Computer Architecture 
CS,2340,0U2,,3,,2,3,1,,,2,,,,1,,,0,"Zhao, Yi","Mi, Feng",,,,,zhao,yi zhao,Computer Architecture 
CS,3305,0U2,,6,5,3,3,,,,,,,,,,,0,"Davis, Chris I","Shams, Shahab",,,,,cid021000,chris davis,Discrete Mathematics for Computing II 
CS,3305,0W1,1,19,4,4,2,,,,,,,,,,,0,"Farage, Timothy P","Tian, Zijing",,,,,tfarage,timothy farage,Discrete Mathematics for Computing II 
CS,3341,0U1,6,1,3,3,1,1,2,1,5,3,,,1,,,0,"Whalen, Tristan G",,,,,,tgw100020,tristan whalen,Probability and Statistics in Computer Science and Software Engineering 
CS,3345,0U1,2,1,4,3,2,2,3,,1,3,1,1,1,,,1,"Ozbirn, Greg A","Malouf, Brian D",,,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
CS,3345,0U2,,,1,1,,1,2,3,,,,,2,,,0,"Zhao, Yi","Malouf, Brian D",,,,,zhao,yi zhao,Data Structures and Introduction to Algorithmic Analysis 
CS,3354,0U1,,2,2,1,3,3,1,1,,,,,,,,0,"Paulk, Mark C","Chen, Zizhao",,,,,mcp130030,mark paulk,Software Engineering 
CS,3377,0W1,8,23,11,1,3,,3,2,,,1,,3,,,0,"Dollinger, Scott M","Jiang, Kai",,,,,smd013000,scott dollinger,Systems Programming in UNIX and Other Environments 
CS,4141,6U1,14,3,2,,,,,,,,,,,,,0,"Nguyen, Nhut","Li, Xiao",,,,,nhutnn,nhut nguyen,Digital Systems Laboratory 
CS,4141,6U2,4,2,3,1,,,2,,2,,,,,,,0,"Nguyen, Nhut","Chen, Tiantian","Li, Xiao",,,,nhutnn,nhut nguyen,Digital Systems Laboratory 
CS,4301,0U1,7,11,7,5,4,,,2,2,,1,,,,,0,"Karami, Gity","Delaram, Zeinab",,,,,gxk180009,gity karami,Special Topics in Computer Science 
CS,4336,0U1,3,17,12,6,4,4,1,3,3,2,,,2,,,1,"Ozbirn, Greg A","Wang, Wenting","Nguyen, Son V",,,,ozbirn,greg ozbirn,Advanced Java 
CS,4337,0U1,11,,2,1,1,1,1,,,,2,,1,,,1,"Karami, Gity","Liu, Ximeng",,,,,gxk180009,gity karami,Programming Language Paradigms 
CS,4337,0U2,7,2,5,2,3,1,,2,,,,,1,,,2,"Karami, Gity","Li, Ruosen",,,,,gxk180009,gity karami,Programming Language Paradigms 
CS,4341,0U1,1,13,3,1,3,,3,4,3,2,2,,3,,,0,"Nguyen, Nhut","Chen, Tiantian",,,,,nhutnn,nhut nguyen,Digital Logic and Computer Design 
CS,4347,0U1,5,4,,1,4,,,2,,,,,1,,,0,"Omer, Jalal S","Liu, Ximeng",,,,,jso016000,jalal omer,Database Systems 
CS,4347,5U1,,3,5,10,4,2,4,2,1,,,,1,,,0,"Khan, Ziaullah","Li, Shengjie",,,,,kkhan,ziaullah khan,Database Systems 
CS,4348,0U1,1,3,,3,3,2,,2,3,,,,3,,,0,"Mittal, Neeraj","Wang, Wenting",,,,,nxm020100,neeraj mittal,Operating Systems Concepts 
CS,4348,0U2,,3,4,7,8,2,2,2,,,2,,5,,,2,"Prakash, Ravi","Rathnasuriya, Ravishka S",,,,,ravip,ravi prakash,Operating Systems Concepts 
CS,4349,0U1,2,6,2,,2,2,,,,,,,1,,,0,"Chitturi, Bhadrachalam","Aggarwal, Alakh",,,,,chalam,chitturi bhadrachalam,Advanced Algorithm Design and Analysis 
CS,4352,0W1,2,15,5,,6,,,2,,,,,,,,0,"Kumar, Pushpa S","Tran, Trung Hieu",,,,,pkumar,pushpa kumar,Human-Computer Interaction I 
CS,4365,0U1,2,2,3,5,1,3,,2,2,1,,,,,,0,"Min, Richard K","Zeng, Yankai",,,,,rkm010300,richard min,Artificial Intelligence 
CS,4375,0U1,1,2,2,5,3,5,2,1,1,1,,,3,,,1,"Mazidi, Karen J","Shams, Shahab",,,,,kjm160430,karen mazidi,Introduction to Machine Learning 
CS,4375,0U2,1,1,1,,2,1,1,,1,,,,3,,,3,"Ng, Yu Chung V","Li, Shengjie",,,,,ycn041000,vincent ng,Introduction to Machine Learning 
CS,4376,0U1,1,1,2,2,2,3,2,2,,1,,,,,,1,"Chung, Lawrence","Alshomar, Ahmad",,,,,chung,lawrence chung,Object-Oriented Design 
CS,4384,0U1,,2,7,2,3,2,1,2,5,,,,,,,0,"Erbatur, Serdar","Deniz, Omer Faruk",,,,,sxe190003,serdar erbatur,Automata Theory 
CS,4384,0U2,1,5,2,5,2,3,2,,,,,,1,,,1,"Davis, Chris I","Birashk, Amin",,,,,cid021000,chris davis,Automata Theory 
CS,4390,0U1,1,4,3,2,2,2,1,2,,,3,,,,,0,"Nguyen, Nhut","Li, Congzhou",,,,,nhutnn,nhut nguyen,Computer Networks 
CS,4393,0U1,,4,,1,2,1,,1,2,,,,,,,0,"Nguyen, Nhut","Chen, Simin",,,,,nhutnn,nhut nguyen,Computer and Network Security 
CS,5343,0U1,,6,4,5,7,2,1,3,,,,,1,,,0,"Gupta, Neeraj K","Deniz, Omer Faruk",,,,,nkg140130,neeraj gupta,Algorithm Analysis and Data Structures 
CS,6314,5U1,,11,6,10,,,,,,,,,,,,0,"Min, Richard K","Hsu, Chih-Wei",,,,,rkm010300,richard min,Web Programming Languages 
CS,6350,0U1,,46,18,4,1,,,,,,,,,,,0,"Nagar, Anurag","Su, Ke","Miao, Miao",,,,axn112530,anurag nagar,Big Data Management and Analytics 
CS,6359,0U1,,10,20,11,8,,,,,,,,,,,0,"Chung, Lawrence","Kolluri, Kirthy",,,,,chung,lawrence chung,Object-Oriented Analysis and Design 
CS,6360,5U1,,9,2,4,4,,1,,,,,,,,,0,"Omer, Jalal S","Garg, Priyanshi",,,,,jso016000,jalal omer,Database Design 
CS,6363,0U1,,16,3,10,4,3,,,,,,,,,,1,"Chitturi, Bhadrachalam","Aggarwal, Alakh",,,,,chalam,chitturi bhadrachalam,Design and Analysis of Computer Algorithms 
CS,6364,0U1,,17,7,3,14,,2,9,,,,,5,,,0,"Schweitzer, Haim","Dasgupta, Sopam","Song, Zihe",,,,haim,haim schweitzer,Artificial Intelligence 
CS,6364,0U2,,17,6,2,4,2,,2,,,,,1,,,0,"Schweitzer, Haim","Dasgupta, Sopam","Song, Zihe",,,,haim,haim schweitzer,Artificial Intelligence 
CS,6367,0U1,,13,5,4,1,1,,,,,,,,,,0,"Wong, Weichen E","Li, Dongcheng","Chen, Zizhao",,,,wew021000,weichen wong,Software Testing  Validation and Verification 
CS,6375,5U1,,25,12,4,1,,,,,,,,,,,0,"Nagar, Anurag","Zhang, Qifan",,,,,axn112530,anurag nagar,Machine Learning 
CS,6378,0U1,,8,2,2,6,2,,2,,,,,,,,0,"Prakash, Ravi","Miao, Miao",,,,,ravip,ravi prakash,Advanced Operating Systems 
CS,6385,0W1,,43,15,5,7,,,,,,,,,,,0,"Farago, Andras","Hatfield, Cody R","Garg, Priyanshi",,,,farago,andras farago,Algorithmic Aspects of Telecommunication Networks 
ECON,2301,0U1,2,3,3,,1,2,1,,1,,,,1,,,0,"Bing, Yuanchen",,,,,,yxb190006,yuanchen bing,Principles of Macroeconomics 
ECON,2301,5U1,3,6,4,5,1,1,,1,,,,,,,,1,"Li, Ji",,,,,,jxl190007,ji li,Principles of Macroeconomics 
ECON,2302,5U1,,2,1,2,3,1,1,,,,,,,,,0,"Lu, Yundi",,,,,,yxl190042,,Principles of Microeconomics 
ECS,3390,051,14,3,1,,,,1,,,,,,,,,0,"Montgomery, Christina",,,,,,cxm190022,christina montgomery,Professional and Technical Communication 
ECS,3390,053,2,5,1,1,3,1,1,,,,,,1,,,0,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Professional and Technical Communication 
ECS,3390,091,1,5,,2,2,,,1,,,,,1,,,0,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Professional and Technical Communication 
ECS,3390,092,,10,,,,,,,1,,,,3,,,0,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
ED,4358,0W1,,2,,,1,,2,2,,,,,2,,1,0,"Root, Alexey",,,,,,aroot,alexey root,Chess I  Using Chess in Schools  (3 Semester Credit Hours)
EE,3161,051,1,7,2,5,,,,,,,,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
EE,3202,0U1,,1,1,1,,6,2,1,4,,,,,,,0,"Kiasaleh, Kamran","Apalak, Merve",,,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
EE,3301,0U1,4,2,,1,,,1,,1,,,,1,,,0,"Tacca, Marco","Luo, Ziyang",,,,,mtacca,marco tacca,Electrical Network Analysis 
EE,3311,5U1,,5,3,5,2,4,1,,1,,,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami",,,,,cms057000,carl sechen,Electronic Circuits 
EE,4203,0H1,2,5,5,2,2,3,,1,,,,,1,,,0,"Kehtarnavaz, Nasser","Ni, Aoxin","Gogineni, Susmitha",,,,nxk019000,nasser kehtarnavaz,Electrical and Computer Engineering Laboratory in Signals and Systems 
EEMF,6372,5U1,,4,1,1,2,,,2,,,,,,,,1,"Tinker, Mark T",,,,,,mtinker,mark tinker,Semiconductor Process Integration  (3 Semester Credit Hours)
EEOP,6314,0H1,,10,1,,,,,,,,,,,,,0,"Tamil, Lakshman",,,,,,laxman,lakshman tamil,Principles of Fiber and Integrated Optics  (3 Semester Credit Hours)
EERF,7V89,0W1,,4,4,4,,,,,,,,,,,,1,"Henderson, Rashaunda M","Datta, Rajesh K",,,,,rmh072000,rashaunda henderson,Special Topics in RF and Microwave Systems  - Intro Multiferroic Mtrls & Sys (3 Semester Credit Hours)
ENGR,2300,0W1,3,8,2,2,3,3,1,1,4,,,,,,,1,"Akin, Bilal","Li, Chen","Kumar, Saurabh",,,,bxa123330,bilal akin,Linear Algebra for Engineers 
ENGR,3300,0U1,4,7,,6,8,2,5,9,1,,1,,2,,,0,"Ali, Mohammed Z","Peng, Genchang","Ahmed, Sabrina",,,,mohammed,ali mohammed,Advanced Engineering Mathematics 
ENGR,3341,0U1,1,1,1,1,,2,,2,2,,,1,,,,2,"Fonseka, John","Helwa, Sherief M",,,,,kjp,john fonseka,Probability Theory and Statistics 
ENTP,3301,0U1,5,5,6,,3,1,2,,,,,,,,,0,"Nichols, Paul M",,,,,,pxn120030,paul nichols,Innovation and Entrepreneurship 
ENTP,4340,0U1,4,10,4,1,3,1,,,1,,,,1,,,1,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Social Sector Entrepreneurship and Community Engagement 
ENTP,6370,0W1,,11,10,7,13,3,1,2,,,,,,,,0,"Kimzey, Jackie","Deng, Shu",,,,,jxk092000,jackie kimzey,Innovation and Entrepreneurship 
EPPS,2302,0W1,,9,4,,1,1,,1,3,,,,,,,0,"Yoon, Youngseok",,,,,,yxy200007,youngseok yoon,Methods of Quantitative Analysis in the Social and Policy Sciences 
EPPS,6317,051,,18,,,,,,,,,,,,,,1,"Qiu, Fang","Lyu, Haitao",,,,,ffqiu,fang qiu,Social and Geospatial Science Programming Fundamentals 
FILM,1303,051,9,,,,1,,,,,,,,1,,,0,"Shafek, Amal S",,,,,,ass106020,amal shafek,Transnational Film and Video 
FILM,2332,091,1,2,5,1,,1,3,1,,,2,,2,,,2,"Baker, Emily-Rose",,,,,,exb210012,emily baker,Understanding Film 
FIN,3300,0W1,,19,,,11,,,6,,,7,,6,,,1,"Lynch, Julie","Huang, Zhuowei",,,,,jxl180030,julie lynch,Personal Finance 
FIN,3320,0U1,1,2,2,1,2,2,,2,,,,,1,,,0,"Harit, Tuhin",,,,,,txh180026,tuhin harit,Business Finance 
FIN,3320,0U2,2,4,4,,4,,,2,,,,,,,,1,"Wen, Yaxin",,,,,,yxw163930,yaxin wen,Business Finance 
FIN,3320,0W1,,8,1,1,11,2,1,9,3,,1,,1,,,3,"Manzi, Jeff",,,,,,jxm158130,jeffrey manzi,Business Finance 
FIN,3320,0W2,1,5,1,1,8,1,3,9,2,1,1,,2,,,0,"Manzi, Jeff",,,,,,jxm158130,jeffrey manzi,Business Finance 
FIN,3320,0W3,1,9,,2,4,,1,6,1,,,,2,,,1,"Manzi, Jeff",,,,,,jxm158130,jeffrey manzi,Business Finance 
FIN,3360,0W1,,2,10,7,13,4,3,1,,,,,,,,1,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo,Entrepreneurial Finance 
FIN,3365,0W1,2,4,1,9,10,4,2,2,,,,,,,,0,"DeCourcy, George A",,,,,,gad075000,george decourcy,Real Estate Finance and Principles 
FIN,3390,0U1,5,2,5,3,5,4,4,1,1,1,2,2,,,,0,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi,Introduction to Financial Modeling 
FIN,4300,0U1,3,1,1,2,2,1,,,1,,1,,,,,0,"Oyima-Antseleve, Ndackyssa",,,,,,nxo160430,ndackyssa oyima antseleve,Investment Management 
FIN,4310,5U1,,3,,1,1,,,1,2,1,,1,,,,0,"Smith, Jake A",,,,,,jas171530,,Intermediate Financial Management 
FIN,4380,0U1,1,2,7,,2,,3,,,1,,,,,,0,"Ballew, Gregory E",,,,,,geb011100,gregory ballew,Domestic Fund Management 
FIN,6301,0W1,,21,4,1,8,2,2,9,,,,,6,,,0,"Nishi, Hirofumi","Guo, Shujian",,,,,hxn210016,,Financial Management 
FIN,6301,5U1,,8,1,,3,,,4,,,,,,,,0,"Nishi, Hirofumi","Guo, Shujian",,,,,hxn210016,,Financial Management 
FIN,6301,XU1,,12,3,,3,,1,,,,,,,,,0,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi,
FIN,6307,0W1,,3,2,,4,4,1,1,,,,,,,,1,"Ma, Liping","Kurucak, Abdurrahman",,,,,lxm133730,liping ma,Mathematical Methods for Finance 
FIN,6308,0W1,,10,3,7,1,1,1,1,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,,plewin,peter lewin,Regulation of Business and Financial Markets 
FIN,6310,5U1,,4,3,3,5,3,,1,,,,,,,,1,"Kaur, Dupinderjeet","Kurucak, Abdurrahman",,,,,dxk110730,dupinderjeet kaur,Investment Theory and Practice 
FIN,6318,5U1,,3,2,3,2,3,,,,,,,1,,,0,"Baranchuk, Nina","Guo, Shujian",,,,,nxb043000,nina baranchuk,Analytics of Finance 
FIN,6321,5H1,,4,2,,7,,,7,,,,,,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery,Introduction to Real Estate 
FIN,6322,0W1,,16,6,11,7,3,,1,,,,,,,,0,"DeCourcy, George A",,,,,,gad075000,george decourcy,Real Estate Finance and Investment 
FIN,6360,5U1,,4,1,2,1,1,,1,,,,,,,,0,"Kaur, Dupinderjeet","Kurucak, Abdurrahman",,,,,dxk110730,dupinderjeet kaur,Derivatives Markets 
FTEC,6312,FH1,,12,6,2,3,,,,,,,,,,,0,"Scott, James A",,,,,,jas076100,james scott,
FTEC,6334,FH1,,19,,,,,,,,,,,,,,0,"Zemoodeh, Amir",,,,,,axz120930,amir zemoodeh,
GEOS,1303,051,2,12,5,,,1,,,,,,,,,,0,"Griffin, William R","Wang, Ning",,,,,griffin,william griffin,Physical Geology 
GEOS,3300,0S1,4,1,3,,,2,,,,,,,,,,0,"Pirouz, Mortaza","Moulding, Ann E",,,,,mxp180004,mortaza pirouz,Field Geology I 
GEOS,4300,0S1,1,,,4,3,2,3,1,,1,,,,,,0,"Pirouz, Mortaza","Moulding, Ann E",,,,,mxp180004,mortaza pirouz,Field Geology II 
GOVT,2305,0U1,3,2,2,,2,,,,1,,,,1,,,1,"Sanchez De La Rosa, Andres Ricardo",,,,,,axs180146,andres sanchez,American National Government 
GOVT,2305,0U2,1,6,2,4,5,2,2,3,,,1,,,,,0,"Widner, Katie",,,,,,kxw200020,katie widner,American National Government 
GOVT,2306,0U1,4,6,1,6,,1,1,1,1,,,,,,,0,"Noe, Ricardo",,,,,,rxn200000,ricardo noe,State and Local Government 
GOVT,2306,0U2,,11,7,5,7,6,2,3,2,,,,1,,,2,"Eaton, John M",,,,,,jme130030,john eaton,State and Local Government 
HDCD,6351,5W1,,11,1,,1,1,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing,Play Matters 
HDCD,6370,0H1,,15,,,1,1,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing,Intervention with Young Children 
HIST,1302,0W1,1,6,13,23,19,31,11,12,7,6,2,3,10,,,2,"Schulze, Jeffrey","Ivey, Tinamarie","Li, Ang",,,,jxs072200,jeffrey schulze,U S  History Survey from Civil War 
HIST,3328,0W1,,,3,6,2,,1,,,,,,1,,,1,"Dennis, Patrick W",,,,,,pdennis,patrick dennis,History and Philosophy of Science and Medicine 
HIST,4344,0W1,,3,9,5,3,4,2,,,,,,1,,,0,"Pfister, Debra H",,,,,,dhpf,debra pfister,Topics in European History 
HIST,4378,0W1,12,11,,1,2,,1,,,,,,3,,,0,"Pettengill, Ryan S",,,,,,rsp120030,ryan pettengill,Topics in American History 
HIST,6325,0W1,,3,5,,,2,,,,,,,,,,0,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze,America in the Twentieth Century 
HIST,6340,551,,6,3,1,,,,,,,,,,,,0,"Wilson, Michael",,,,,,mwilson,michael wilson,European and World History 
HLTH,1301,0W1,,4,6,3,2,3,4,,,,,,,,,0,"Baetge, Claire",,,,,,cxb170330,claire baetge,Introduction to Kinesiology 
HLTH,3300,0U1,,2,6,6,3,5,4,7,8,1,4,,,,,3,"Byrnes, Kathleen A",,,,,,kab019000,kathleen byrnes,Pre-Health Professional Development 
HMGT,6320,CH1,,22,3,4,,,,,,,,,,,,0,"Jacob, Stephen",,,,,,,stephen jacob,
HMGT,6324,0W1,,11,,1,3,,,,,,,,,,,0,"Ziegler, Laurie","Garg, Suyash",,,,,ziegler,laurie ziegler,Healthcare Negotiation and Dispute Resolution 
HMGT,6324,0W2,,7,,,2,,,,,,,,,,,1,"Ziegler, Laurie","Garg, Suyash",,,,,ziegler,laurie ziegler,Healthcare Negotiation and Dispute Resolution 
HMGT,6331,5U1,1,20,9,4,3,1,,,,,,,,,,1,"Malaise, Michael",,,,,,mhm130430,michael malaise,Healthcare Economics 
HMGT,6332,5U1,,10,3,9,5,5,4,4,,,,,7,,,0,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan,Quality Improvement in Healthcare  Six Sigma and Beyond 
HMGT,6401,AS1,,42,2,,,,,,,,,,,,,1,"Taylor, Donald E","Kaiser, Robert C",,,,,det190000,donald taylor,
HMGT,6408,AS1,,45,1,,,,,,,,,,,,,0,"Taylor, Donald E","Convery, Paul",,,,,det190000,donald taylor,
IMS,3310,0U1,,3,2,5,3,,1,,,,,,,,,0,"Wang, Jiyu",,,,,,jxw180000,jiyu wang,International Business 
IMS,3310,5U1,,9,10,6,9,3,1,1,,,,,1,,,2,"Liu, Yu",,,,,,yxl173230,yu liu,International Business 
IMS,4335,0U1,6,4,2,2,,2,,,,,,,1,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Social Sector Entrepreneurship and Community Engagement 
IMS,4V94,091,,11,1,1,,,,,,,,,,,,0,"Zydorek, Hubert",,,,,,hxz120930,hubert zydorek,Seminar Series in International Management 
IMS,6304,AW1,,11,,,8,,,2,,,,,,,,3,"Petrik, Peter",,,,,,,peter petrik,
IMS,6314,0W1,,5,18,3,,,,,,,,,,,,0,"Dalgic, Tevfik",,,,,,tdalgic,tevfik dalgic,Global E-Business Marketing 
IMS,6316,GW1,,6,8,4,6,2,,,,,,,,,,0,"Peinhardt, Clint W",,,,,,cwp052000,clint peinhardt,
IMS,6354,GW1,,6,10,2,2,3,1,,,,,,,,,1,"Albrecht, Maria",,,,,,mxa180037,maria albrecht,
IMS,6360,0W1,,30,22,14,4,5,1,1,,,,,1,,,0,"Olsztynska, Agnieszka","Deng, Shu",,,,,axo027000,agnieszka olsztynska,International Strategic Management 
IMS,6365,0W1,,14,11,10,6,5,3,,,,,,,,,0,"Woldu, Habte G","Alborz, Ethan",,,,,wolduh,habte woldu,Cross-Culture Communication and Management 
ISIS,3335,0W1,,4,10,6,5,3,1,1,,1,,,,,,0,"Rosa, Jonathan",,,,,,jxr172530,jonathan rosa,United States and East Asia 
ISIS,4304,0H1,,4,4,3,1,1,1,,,,,,,,,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak,Trials in American Culture 
ISNS,2359,0W1,62,14,7,5,1,2,2,2,1,,2,1,4,,,0,"Pujana, Ignacio","Sink, Katharine O",,,,,pujana,ignacio pujana,Earthquakes and Volcanoes 
ISNS,2367,0W1,14,22,7,1,4,3,,1,,1,,,4,,,0,"Pujana, Ignacio","Akatakpo, Solomon O",,,,,pujana,ignacio pujana,The Oceans 
ISNS,2367,0W2,3,16,7,4,3,,1,2,2,,,,1,,,0,"Pujana, Ignacio","Akatakpo, Solomon O",,,,,pujana,ignacio pujana,The Oceans 
ITSS,3300,5U1,,27,13,5,7,1,2,3,1,,,,,,,0,"Owens, Sean M",,,,,,smo150330,sean owens,Information Technology for Business 
ITSS,3311,5U1,5,5,2,3,4,3,2,1,2,,,,,,,0,"Ozdemir, Dicle Yagmur",,,,,,dxo170430,dicle ozdemir,Introduction to Programming 
ITSS,3312,5U1,,3,7,3,3,6,1,2,,,,,2,,,8,"Short, Kevin P","Harikrishna Reddy, Chillakuru",,,,,kps170330,kevin short,Object-Oriented Programming 
ITSS,3390,5U1,2,5,4,3,1,,,,,,,,,,,1,"Neal, Angela A",,,,,,aan052000,angela neal,Web Design and Development for Business Applications 
ITSS,4300,5U1,3,4,2,3,5,5,1,1,1,,1,,2,,,5,"Perry, Christopher M","Srivastava, Bhupesh K",,,,,cmp160130,christopher perry,Database Fundamentals 
ITSS,4330,5U1,1,3,3,9,7,5,5,2,4,,,2,,,,1,"Khan, Taimur A","Harikrishna Reddy, Chillakuru",,,,,txk123530,taimur khan,Systems Analysis and Design 
ITSS,4351,5U1,,7,11,8,6,3,1,1,1,,,,,,,1,"Pandian, Thiru","Luo, Ning",,,,,txp190010,thiru pandian,Foundations of Business Intelligence 
ITSS,4352,5U1,2,8,15,5,1,1,1,1,3,,,,1,,,1,"Neal, Angela A","Kengalapura Shivamurthy, Sourabha",,,,,aan052000,angela neal,Introduction to Web Analytics 
ITSS,4360,5U1,,4,2,4,3,1,1,,,1,,,1,,,1,"Thirumalai, Nambi","Tang, Ping",,,,,ndt180001,nambi thirumalai,Network and Information Security 
ITSS,4370,5U1,,3,6,2,9,2,2,2,,,1,,1,,,0,"Young, John G",,,,,,jgy190000,john young,Information Technology Infrastructure 
LIT,1301,0W1,9,3,1,3,2,,,,,,,,,,,0,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Introduction to Literature 
LIT,2331,0W2,,10,,1,,,,,,,,,1,,,0,"Arrabai, Mustafa M",,,,,,mma200002,mustafa arrabai,Introduction to World Literature 
LIT,3337,0W1,1,3,2,3,,1,,,,,,,,,,0,"Riley, Kristin N",,,,,,knr091000,kristin riley,Comparisons 
MAS,6102,0U1,,,,,,,,,,,,,2,50,,1,"Cirilo, Jason M",,,,,,jmc180002,jason cirilo,Professional Development  (1 Semester Credit Hour)
MATH,1314,0S1,,1,1,2,,3,,1,,2,,,,,,0,"Alvarado, Iris",,,,,,ila180000,iris alvarado,
