Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Durant, Stephanie D",,,,,,ARTS,3371,002,,4,2,,1,2,1,,,,,,4,,,,,,0,ddm043000,,Photography  Black White 
"Jakobsson, Pia K",,,,,,HIST,3302,001,1,2,1,2,3,,,1,1,,1,,2,,,,,,0,pkj010100,pia jakobsson,Gender in Western Thought 
"Keeth, Sara L",,,,,,RHET,1302,032,,3,4,6,2,,2,,1,,,,1,,,,,,0,slk041000,sara keeth,Rhetoric 
"Kirk, Kristina E",,,,,,RHET,1302,033,,10,2,4,1,,,,,,,,,,,,,,1,kek160430,kristina kirk,Rhetoric 
"Tehan, Terin J",,,,,,RHET,1302,501,3,10,3,1,,2,,,,,,,,,,,,,0,txt125430,terin tehan,Rhetoric 
"Saeidfar, Ghazal",,,,,,RHET,1302,502,1,,8,6,1,,,,,,,,1,,,,,,1,gxs153630,ghazal saeidfar,Rhetoric 
"Wilder, James E",,,,,,MUSI,3316,001,5,,,,1,1,,,,,,1,1,,,,,,1,jew042000,james wilder,Guitar Ensemble II 
"Durbin, Kelly",,,,,,MUSI,3324,001,2,4,1,2,,1,,,,1,,,,,,,,,0,kpdurbin,kelly durbin,Jazz History  Roots to Swing 
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,003,3,6,7,6,10,8,7,4,2,4,1,,7,,,,,,2,laa062000,lawrence amato,Introduction to Philosophy 
"Vincent, Shelby D",,,,,,SPAN,1311,002,,3,2,,4,,,,,,,,1,,,,,,1,sdv034000,shelby vincent,Beginning Spanish I 
"Camacho-Guardado, Lorena",,,,,,SPAN,2312,001,8,2,6,,,1,,,,,,,,,,,,,1,lxc163230,amalia lorena camacho guardardo,Intermediate Spanish II 
"Burnett, Lora D","Mei, Kehan",,,,,HIST,1302,001,21,41,8,7,5,1,1,1,,,,,3,,,,,,0,ldb082000,lora burnett,U S  History Survey from Civil War 
"Palmer, Marcy A",,,,,,ARTS,3379,001,,2,10,6,1,,,,,,,,,,,,,,0,mxp070100,marcy palmer,Photography  New Media 
"Tady, Lorraine T",,,,,,ARTS,3363,001,1,6,4,4,1,,,,,,,,1,,,,,,0,ltt042000,lorraine tady,Typography  Technology  Image 
"Cochran, Kristen N",,,,,,ARTS,2381,001,,5,5,1,2,,,,,,,,,,,,,,2,knc103020,kristen cochran,Introduction to Sculpture 
"Crawford, Rachel",,,,,,RHET,1302,034,6,2,2,,,3,1,2,,,,,3,,,,,,0,rxc161430,rachel crawford,Rhetoric 
"McIntosh, Suzanne K",,,,,,RHET,1302,503,8,7,,,2,,,,,,,,,,,,,,1,skm130030,suzanne mcintosh,Rhetoric 
"Durbin, Kelly",,,,,,MUSI,3386,001,2,4,5,1,,,,,,,,1,,,,,,,0,kpdurbin,kelly durbin,Jazz Ensemble II 
"Curry, Val",,,,,,ARTS,3375,001,8,8,1,,,,,,,,,,,,,,,,0,vxc110930,val curry,Sculpture 
"Ozsvath, Zsuzsanna",,,,,,HUHI,6338,501,,7,1,,1,,,,,,,,,,,,,,0,zozsvath,zsuzsanna ozsvath,The Holocaust 
"Reynolds, Clay",,,,,,HUMA,6300,501,,5,4,2,1,,,,,,,,2,,,,,,1,clayr,clay reynolds,Interdisciplinary Approaches to the Arts and Humanities 
"Hasler, Carl",,,,,,PHIL,1301,002,,7,20,11,11,13,2,,,,,,5,,,,,,1,cxh165030,carl hasler,Introduction to Philosophy 
"Leek, Patricia A",,,,,,LIT,3315,003,,7,6,1,3,3,,,,,,,1,,,,,,0,santine,patricia leek,Children s Literature 
"Hughes, William K",,,,,,MUSI,2325,002,2,7,2,,4,1,,1,,,,,,,,,,,1,wkh150030,william hughes,Vocal Instruction I 
"Burnett, Lora D","Landrum, Jeffrey T",,,,,HIST,1302,002,11,39,12,7,11,,3,1,3,1,,,,,,,,,0,ldb082000,lora burnett,U S  History Survey from Civil War 
"Conrad, Sharron W",,,,,,HIST,1301,007,,13,6,7,9,1,3,,5,,1,,4,,,,,,0,swc071000,sharron conrad,U S  History Survey to Civil War 
"Sengupta, Karl",,,,,,RHET,1302,035,5,12,1,1,,,,,,,,,,,,,,,0,kss140330,karl sengupta,Rhetoric 
"Kirk, Kristina E",,,,,,RHET,1302,036,,15,1,1,,,,,,,,,1,,,,,,1,kek160430,kristina kirk,Rhetoric 
"Sengupta, Karl",,,,,,RHET,1302,037,4,10,2,2,1,,,,,,,,,,,,,,0,kss140330,karl sengupta,Rhetoric 
"McIntosh, Suzanne K",,,,,,RHET,1302,504,,6,3,1,3,4,,,,,,1,,,,,,,0,skm130030,suzanne mcintosh,Rhetoric 
"Ingrao, Peter J","Kelso, Kristen",,,,,HUMA,1301,010,24,14,5,7,5,8,3,1,,,,,,,,,,,2,jingrao,peter ingrao,Exploration of the Humanities 
"Palant, Jonathan",,,,,,MUSI,1306,004,,21,6,4,2,4,1,2,,,2,,4,,,,,,3,jxp170230,jonathan palant,Understanding Music 
"Booker, Paul D",,,,,,ARTS,1316,004,4,2,4,1,1,2,1,,2,,,,,,,,,,1,pdb041000,,Drawing Foundations 
"Trosper, Elizabeth M",,,,,,ARTS,2380,501,1,7,,2,3,,1,1,,,,,2,,,,,,0,emt130130,elizabeth trosper,2D Design Foundations 
"Palmer, Marcy A",,,,,,ARTS,3372,002,,,5,11,1,,,,,,,,1,,,,,,0,mxp070100,marcy palmer,Photography  Color 
"Pettengill, Ryan S","Siddiqui, Farah",,,,,HIST,1301,008,2,36,8,10,12,1,6,2,,3,,,2,,,,,,3,rsp120030,ryan pettengill,U S  History Survey to Civil War 
"Starnaman, Sabrina","Thomas, Kathryn E",,,,,LIT,3316,501,21,16,7,19,9,5,3,3,3,,3,,,,,,,,0,sxs090100,sabrina starnaman,The Literature of Science Fiction 
"Prieto, Rene",,,,,,LIT,3317,001,,10,4,4,12,9,1,11,,,,,2,,,,,,2,rxp113230,rene prieto,The Literature of Fantasy 
"Herndon, Scott",,,,,,LIT,3335,001,,1,13,18,3,1,,,1,,,,,,,,,,0,sxh021200,scott herndon,Media and Pop Culture 
"Hatfield, Charles D",,,,,,LIT,3339,501,,7,13,8,,,,,,,,,2,,,,,,0,cxh074100,charles hatfield,Writing in Literary Studies 
"Evans, Kathryn C",,,,,,MUSI,3322,001,3,20,3,3,,,,,,,1,,,,,,,,0,kcevans,kathryn evans,Music in Historical Context 
"Gu, Ming D","Tang, Le",,,,,HUMA,1301,011,,15,4,9,5,3,9,9,3,3,1,1,1,,,,,,5,mdg073000,ming dong gu,Exploration of the Humanities 
"Brewer, Kenneth L","Cook, Nina E",,,,,HUMA,1301,012,11,32,8,6,4,3,1,1,1,1,1,,,,,,,,1,klb092000,kenneth brewer,Exploration of the Humanities 
"Walsh, Dennis P",,,,,,HUMA,1301,501,,14,,,20,,,8,,,1,,2,,,,,,2,dpw031000,dennis walsh,Exploration of the Humanities 
