Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Kuzat, Hanan",,,,,,MATH,1326,503,2,,8,4,,5,2,,4,3,5,3,7,,,,,,4,hxk165430,hanan kuzat,Applied Calculus II 
"Chika, Charles E",,,,,,MATH,2312,006,4,6,2,5,8,2,4,2,4,2,,,6,,,,,,1,cec140330,charles chika,Precalculus 
"McCary, Brady C",,,,,,MATH,2370,001,15,11,7,,7,1,,1,1,1,2,,14,,,,,,1,bcm052000,brady mccary,Introduction to Programming with MATLAB 
"Ramakrishna, Viswanath",,,,,,MATH,6319,501,,15,6,2,1,,,,,,,,,,,,,,1,vish,viswanath ramakrishna,Principles and Techniques in Applied Mathematics I 
"Akbar, Mohammad M",,,,,,MATH,2413,019,7,1,7,5,2,1,2,4,3,1,2,,13,,,,,,0,mma110020,mohammad akbar,Differential Calculus 
"Ohsawa, Tomoki",,,,,,MATH,2418,005,4,2,5,9,4,2,2,2,1,2,3,3,7,,,,,,3,txo140730,tomoki ohsawa,Linear Algebra 
"Hu, Qingwen",,,,,,MATH,2418,006,4,2,5,5,7,5,4,7,9,,,,12,,,,,,4,qxh102020,qingwen hu,Linear Algebra 
"Choi, Sl-ghi",,,,,,MATH,2414,007,1,2,4,3,1,,4,6,3,,2,2,12,,,,,,5,sxc173731,sl ghi choi,Integral Calculus 
"Garrett, Bentley T",,,,,,MATH,2414,011,2,8,8,5,2,2,5,2,3,2,,,3,,,,,,6,btg032000,bentley garrett,Integral Calculus 
"Koshevnik, Yuly","Langford, John","Ofori-Boateng, Dorcas",,,,STAT,3360,003,3,12,5,4,4,4,2,1,3,1,2,1,3,,,,,,1,yxk055000,yuly koshevnik,Probability and Statistics for Management and Economics 
"Dabkowski, Mieczyslaw K",,,,,,MATH,6312,001,,46,10,2,3,,2,,,,,,,,,,,,0,mkd034000,mieczyslaw dabkowski,Combinatorics and Graph Theory 
"Lalani, Amin","Karakis, Merve",,,,,MATH,3303,001,1,2,2,,3,2,1,,1,,,,,,,,,,0,axl120130,amin lalani,Introduction to Mathematical Modeling 
"Stoneback, Russell A","Fong, Matthew","Choi, Miyoung","Parish, Christopher R","Cherepanov, Stanislav M","Javed, Umar",PHYS,2326,003,6,10,9,18,23,26,22,8,6,4,1,,,,,,,,3,rstoneba,,Electromagnetism and Waves 
"Abeykoon, Nimali C","Hashami, Zohreh",,,,,CHEM,1112,107,,7,9,4,1,1,1,,,,,,3,,,,,,2,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
"Norwood, John",,,,,,MATH,2417,013,11,3,4,3,,3,2,3,9,,,2,3,,,,,,0,jxn142530,john norwood,Calculus I 
"Tran, Daniel N","Hosseini, Seyedmahmoud",,,,,CHEM,2123,124,24,5,,,,,,,,,,,,,,,,,0,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory I 
"Nielsen, Steven","Ranathunga, Dineli T","Zhang, Naifu",,,,CHEM,3321,002,7,5,7,11,21,13,8,4,5,2,3,2,5,,,,,,2,son051000,steven nielsen,Physical Chemistry I 
"Qin, Yanping","Dickens, Angela","Zhou, Qinhan","Xu, Jing","Hammack, Audrey",,CHEM,3472,003,2,5,4,2,2,1,1,,1,,1,,,,,,,,0,yxq083000,yanping qin,Instrumental Analysis 
"Dieckmann, Gregg","Abeyrathna, Wannaku R",,,,,CHEM,1301,001,4,14,4,6,17,8,1,6,6,2,1,1,17,,,,,,5,dieckgr,gregg dieckmann,General Chemistry for Engineers 
"Balkus, Kenneth",,,,,,CHEM,6389,001,,9,8,2,2,,,,,,,,,,,,,,1,balkus,kenneth balkus,Scientific Literature and Communication Skills 
"Du, Heng","Srikanth, Uma","Gauba, Esha","Tian, Jing",,,BIOL,4356,001,7,2,2,3,1,,,,,,,,,,,,,,0,hxd131030,heng du,Molecular Neuropathology 
"Sun, Kuei","Liu, Xun",,,,,PHYS,2125,603,12,9,2,1,,,,1,,,,,1,,,,,,4,kxs147030,kuei sun,Physics Laboratory I 
"Morcos Gonzalez, Alonso","Jiang, Xianli",,,,,BIOL,3V00,501,4,,1,4,3,6,2,,1,,,,2,,,,,,3,afg150230,,Topics in Biological Sciences 
"Macalevey, Paul J","McMullen, Reema",,,,,PHYS,2126,121,9,12,5,1,1,1,,,,,,,,,,,,,1,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","McMullen, Reema",,,,,PHYS,2126,122,4,20,3,2,1,,,,,,,,,,,,,,0,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","Mueller, David H",,,,,PHYS,2126,604,3,12,8,2,2,,1,1,1,,,,,,,,,,0,paulmac,paul macalevey,Physics Laboratory II 
"Maitra, Meenakshi","Ramirez, Ruben D",,,,,BIOL,3455,305,,4,5,5,1,2,6,2,2,2,1,1,,,,,,,1,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
"Maitra, Meenakshi","Ramirez, Ruben D",,,,,BIOL,3455,306,,3,7,2,5,2,1,1,4,,1,1,2,,,,,,3,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
"Koshevnik, Yuly",,,,,,ACTS,6306,501,,5,2,2,1,,1,,,,,,,,,,,,0,yxk055000,yuly koshevnik,Advanced Actuarial Applications 
"Macalevey, Paul J","Mcgarry, Michael P",,,,,PHYS,2126,123,9,6,11,1,1,,,,,,,,1,,,,,,1,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","Hussain, Shadhin",,,,,PHYS,2126,124,7,4,9,8,,,1,,,,,,,,,,,,1,paulmac,paul macalevey,Physics Laboratory II 
"Yoo, Hyuntae",,,,,,BIOL,3161,013,1,4,2,1,5,,2,5,4,1,3,,6,,,,,,2,hxy103120,hyuntae yoo,Biochemistry Workshop I 
"Sapozhnikov, Ilya",,,,,,BIOL,3V00,002,21,11,3,1,,,,1,1,2,,,1,,,,,,2,isapoz,ilya sapozhnikov,Topics in Biological Sciences 
"Maitra, Meenakshi","Ramirez, Ruben D",,,,,BIOL,3455,307,,2,1,7,4,7,1,3,2,1,,,3,,,,,,1,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
"Ahsan, Mohammad K",,,,,,MATH,2417,014,15,5,2,1,1,2,1,2,9,,,1,4,,,,,,0,mka120030,mohammad ahsan,Calculus I 
"D'Arcy, Sheena","Ashrafi, Adnin","Akhavantabib, Noushin","Bhat, Vandita D","Hossain, Md. Saddam","Iyer, Archana Mahadevan",BIOL,3161,014,3,8,5,,7,1,4,5,2,4,,1,,,,,,,1,sxd156730,sheena darcy,Biochemistry Workshop I 
"Sun, Kuei","Hou, Junpeng","Zhang, Yichao",,,,PHYS,2125,116,4,18,3,1,2,,,,1,,,,,,,,,,1,kxs147030,kuei sun,Physics Laboratory I 
"Huang, Yu","Brohlin, Olivia R",,,,,CHEM,1111,601,1,16,3,1,1,,1,1,1,,1,,2,,,,,,2,yxh091220,yu huang,General Chemistry Laboratory I 
"Lane, Shelley D",,,,,,UNIV,4174,001,14,4,3,,1,,,,,,,,,,,,,,0,sdl063000,shelley lane,Theory and Practice of Group Motivation and Leadership 
"Lane, Shelley D",,,,,,UNIV,4174,002,11,1,2,,,,,,,,,,,,,,,,0,sdl063000,shelley lane,Theory and Practice of Group Motivation and Leadership 
"Lane, Shelley D",,,,,,UNIV,4174,003,12,2,,,,,,,,,,,,,,,,,0,sdl063000,shelley lane,Theory and Practice of Group Motivation and Leadership 
"Welgehausen, Eric C",,,,,,UNIV,1100,001,,15,1,,1,,,,2,1,,,2,,,,,,1,ericw,,Freshman Seminar - Undeclared 
"Welgehausen, Eric C",,,,,,UNIV,1100,002,,17,1,2,1,,,,,,,,,,,,,,1,ericw,,Freshman Seminar - Undeclared 
"Welgehausen, Eric C",,,,,,UNIV,1100,003,,18,1,,,,,,,,,,,,,,,,2,ericw,,Freshman Seminar - Undeclared 
"Welgehausen, Eric C",,,,,,UNIV,1100,004,,10,1,,2,2,,1,,1,,,2,,,,,,2,ericw,,Freshman Seminar - Undeclared 
"Lane, Shelley D",,,,,,UNIV,4174,004,7,5,,,,,,1,,,,,,,,,,,0,sdl063000,shelley lane,Theory and Practice of Group Motivation and Leadership 
"Hu, Yang","Karadagur Ananda Reddy, Chandan",,,,,EE,3102,108,,5,,,4,,,1,,,,,,,,,,,0,yxh177430,yang hu,Signals and Systems Laboratory 
"Hu, Yang","Helal, Noha",,,,,EE,3102,109,,19,,,1,,,,,,,,,,,,,,0,yxh177430,yang hu,Signals and Systems Laboratory 
"Hu, Yang","Bangar, Esha",,,,,EE,3102,110,,13,,,2,,,,,,,,1,,,,,,0,yxh177430,yang hu,Signals and Systems Laboratory 
"Linsteadt, Chris C",,,,,,ACCT,4334,PP2,,8,,,34,,,3,,,,,,,,,,,0,ccl019000,chris linsteadt,Auditing 
"Zolton, Kathy","Shavrina, Irina V",,,,,ACCT,6333,PP1,,22,,,29,,,7,,,,,1,,,,,,0,kxz121730,kathy zolton,Advanced Financial Reporting 
"Linsteadt, Chris C",,,,,,ACCT,6334,0W1,,14,,,23,,1,9,,,,,,,,,,,2,ccl019000,chris linsteadt,Auditing 
"Ahlberg, Mehrzad",,,,,,BCOM,3310,014,12,6,,2,3,1,,,,,,,,,,,,,0,mxa087100,mehrzad ahlberg,Business Communication 
"Ahlberg, Mehrzad",,,,,,BCOM,3310,503,9,4,6,1,1,,,,,,,,1,,,,,,0,mxa087100,mehrzad ahlberg,Business Communication 
"Betanzos, Christina L","Ayala, Nestor A",,,,,BLAW,2301,005,,13,12,17,10,10,8,6,7,,3,,2,,,,,,1,clb120030,christina betanzos,Business and Public Law 
"Roos, Raal H",,,,,,BLAW,3301,001,,5,4,2,5,4,4,4,2,,2,,1,,,,,,0,rxr177530,,Employment Law 
"Carraher, Shawn M",,,,,,BPS,4305,008,15,4,5,4,4,,5,2,,1,2,,1,,,,,,1,smc130730,shawn carraher,Strategic Management 
"Vlas, Cristina O",,,,,,BPS,4305,011,7,5,2,6,3,6,1,2,2,,,,1,,,,,,0,cov130030,cristina vlas,Strategic Management 
"Cavusoglu, Huseyin","Vadlamudi, Nikhil Vishnu",,,,,BUAN,6320,0W1,,8,8,2,2,,1,1,,,,,,,,,,,0,huseyin,huseyin cavusoglu,Database Foundations 
"Parker, Jason A","Mishra, Abhishek",,,,,BUAN,6356,001,,54,8,2,,,,,,,,,,,,,,,0,jap090020,jason parker,Business Analytics With R 
"Saeed, Kashif","Mohan, Karthik",,,,,BUAN,6346,001,,13,10,15,17,1,,,,,,,,,,,,,0,kxs147230,kashif saeed,Big Data Analytics 
"Anderson, Frank W",,,,,,FIN,3320,009,1,4,5,7,3,7,4,5,7,1,3,,,,,,,,2,fwa012000,,Business Finance 
"Zhao, Xiaofei","Smith, Jake A",,,,,FIN,3320,501,3,4,1,5,3,5,3,3,,,,,,,,,,,0,xxz137630,xiaofei zhao,Business Finance 
"Xiao, Steven","Kuang, Shimaoling",,,,,FIN,6301,004,,6,3,10,8,2,,,,,,,,,,,,,1,sxx150930,steven xiao,Financial Management 
"Xiao, Serena W",,,,,,FIN,6310,502,,15,,8,4,2,,,,,,,,,,,,,0,swx170030,,Investment Management 
"Manzi, Jeff","Chen, Chen",,,,,FIN,6314,501,,7,4,4,10,1,,,,,,,,,,,,,1,jxm158130,jeffrey manzi,Fixed Income Securities 
"Berrett, Britt R","Earle, Doric E","Myneni, Nitish","Vasquez, Paula A",,,HMGT,3301,004,,6,3,3,2,2,4,1,2,,1,,2,,,,,,0,brb051000,britt berret,Introduction to Healthcare Management 
"Bai, Xiaoou",,,,,,IMS,3310,010,1,4,2,3,2,2,,,,,,,,,,,,,0,xxb150330,xiaoou bai,International Business 
"Lee, Seunghyun","Jung, Young-Hoon",,,,,IMS,6310,501,,10,1,13,4,2,1,,,,,,,,,,,,0,sxl029100,,International Marketing 
"Lee, Seunghyun",,,,,,IMS,7301,001,,,1,5,3,,,,,,,,,,,,,,0,sxl029100,,International Business 
"Savoie, Michael J","Kar, Madhurima",,,,,ITSS,3300,002,18,22,5,,1,,,,,,,,,,,,,,0,msavoie,michael savoie,Information Technology for Business 
"Sun, Geng",,,,,,ITSS,3300,004,4,8,7,7,7,9,4,1,,,,,,,,,,,1,gxs122530,geng sun,Information Technology for Business 
"Arora, Vivek",,,,,,ITSS,3390,001,5,14,7,10,3,2,,2,,,,,1,,,,,,0,vxa081000,vivek arora,Web Design and Development for Business Applications 
"Brookshire, Susan",,,,,,MAS,6102,002,,,,,,,,,,,,,,,,,,93,0,sxb170130,,Professional Development 
"Johnson, Neil",,,,,,MAS,6102,003,,,,,,,,,,,,,,,,,,88,1,nxj121730,neil johnson,Professional Development 
"Umali, Judith B","Johnson, Neil",,,,,MAS,6102,004,,,,,,,,,,,,,,,,,,91,0,jumali,,Professional Development 
"Johnson, Neil",,,,,,MAS,6102,006,,,,,,,,,,,,,,,,,,94,0,nxj121730,neil johnson,Professional Development 
"Brookshire, Susan",,,,,,MAS,6102,007,,,,,,,,,,,,,1,,,,,96,0,sxb170130,,Professional Development 
"Johnson, Neil",,,,,,MAS,6102,008,,,,,,,,,,,,,,,,,,95,1,nxj121730,neil johnson,Professional Development 
"Umali, Judith B","Johnson, Neil",,,,,MAS,6102,009,,,,,,,,,,,,,,,,,,95,0,jumali,,Professional Development 
"Cook, Sherri T","Johnson, Neil",,,,,MAS,6102,011,,,,,,,,,,,,,,,,,,59,0,stc140430,,Professional Development 
"Cook, Sherri T","Johnson, Neil",,,,,MAS,6102,504,,,,,,,,,,,,,,,,,,64,0,stc140430,,Professional Development 
"Ganglmair, Bernhard",,,,,,MECO,6360,001,,5,,1,5,,,3,,,,,,,,,,,0,bxg107120,bernhard ganglmair,Topics in Industrial Organization 
"Bose, Ranavir","Ozdemir, Dicle Yagmur",,,,,MIS,6302,501,,7,,3,,2,,,,,,,,,,,,,0,rxb132730,ranavir bose,Managing Digital Strategy 
"Lahiri, Atanu","Guha, Sumalya",,,,,MIS,6330,501,,10,8,6,3,,,,,,,,,,,,,,0,axl144730,atanu lahiri,Information Technology Security 
"Johnston, Walter L",,,,,,MIS,6357,501,,16,,,,,,,,,,,,,,,,,0,wlj031000,walter johnston,Advanced Business Analytics Using R 
"Johnston, Walter L",,,,,,MIS,6357,001,,26,,,,,,,,,,,,,,,,,0,wlj031000,walter johnston,Advanced Business Analytics Using R 
"Ginevich, Rostislav","Chava, Soumya",,,,,MIS,6373,001,,44,,2,,,,,,,,,,,,,,,0,rxg172930,rostislav ginevich,Social Media and Business 
"Dickinson, Keith",,,,,,MKT,3300,0E1,2,11,,,2,,,,,,,,1,,,,,,1,kxd084000,keith dickinson,Principles of Marketing 
"Hefley, William E","Bhogal, Parminder S",,,,,MIS,6204,MBC,,18,10,11,3,1,2,,,,,,,,,,,,0,weh150130,william hefley,
"Rajaratnam, Daniel",,,,,,MKT,6301,MBP,,9,7,12,16,,,,,,,,,,,,,,1,dxr143430,daniel rajaratnam,
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,003,2,1,4,4,6,5,1,1,1,,,,1,,,,,,0,exm150330,edward meda,Organizational Behavior 
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,011,1,4,7,6,8,9,7,3,1,,2,,,,,,,,1,jaw160330,jeff weekley,Organizational Behavior 
"Skinner, Neal G","Buck, Prashant C",,,,,EE,3120,106,,5,,,,,,,,,1,,4,,,,,,1,skinner,neal skinner,Digital Circuits Laboratory 
"Ritchey, David B",,,,,,OBHR,3330,001,4,15,9,3,6,5,,5,2,,,,,,,,,,0,davidr,david ritchey,Introduction to Human Resource Management 
"Meda, Edward","Vora, Gunjan",,,,,OBHR,4335,001,,7,12,5,4,,,2,,,,,1,,,,,,0,exm150330,edward meda,Training and Development 
"Layton, Mark C",,,,,,OPRE,3310,008,,11,12,6,10,,2,2,1,,,,3,,,,,,0,mcl170030,mark layton,Operations Management 
"Hogan, James W",,,,,,OPRE,3310,009,,11,,,25,,2,6,,,2,,2,,,,,,1,jwh085000,james hogan,Operations Management 
"Oguzman, Neslihan",,,,,,OPRE,3333,006,16,11,14,1,4,7,1,1,3,,,,1,,,,,,0,nxo170830,neslihan oguzman,Quantitative Business Analysis 
"Stephens, Timothy G",,,,,,OPRE,3333,007,18,23,4,4,4,1,,3,,,,,4,,,,,,0,tgs170130,timothy stephens,Quantitative Business Analysis 
"Subramoniam, Ramesh",,,,,,OPRE,3333,008,6,5,9,6,5,6,5,5,1,1,2,1,1,,,,,,1,rxs179630,ramesh subramoniam,Quantitative Business Analysis 
"Parks, David","Chindak, Sachin",,,,,OPRE,3360,008,,2,1,,5,5,,1,2,,,,2,,,,,,1,dxp153830,david parks,Managerial Methods in Decision Making Under Uncertainty 
"Sajjadi, Reza",,,,,,OPRE,3360,502,3,,1,3,5,2,,1,,1,,,,,,,,,0,rxs179730,reza sajjadi,Managerial Methods in Decision Making Under Uncertainty 
"Vicario, Joe",,,,,,OPRE,6V99,0W1,,7,1,,,,,,,,,,,,,,,,0,jav170030,,Special Topics in Operations Research 
"Nall, Leah T",,,,,,PSY,1100,001,11,19,1,,5,1,,,,,,1,2,,,,,,0,lnall,,First Year Seminar 
"Jordan, Katy J",,,,,,PSY,1100,002,33,2,,3,2,,,,,,1,,1,,,,,,0,kjj073000,katy jordan,First Year Seminar 
"Nall, Leah T",,,,,,PSY,1100,003,14,19,3,,1,,,,,,,,1,,,,,,1,lnall,,First Year Seminar 
"Jordan, Katy J",,,,,,PSY,1100,004,28,4,2,1,1,,,,,,,,,,,,,,0,kjj073000,katy jordan,First Year Seminar 
"Jackson, Kevin",,,,,,PSY,1100,005,34,1,,2,,,,,1,,,,,,,,,,0,kxj162930,kevin jackson,First Year Seminar 
"Chavez, Marcos G",,,,,,PSY,1100,006,24,3,1,,1,,2,,1,,,,,,,,,,0,mxc061200,,First Year Seminar 
"Boeshans, Lindsey E",,,,,,PSY,1100,007,20,1,,1,,2,1,,,,,,1,,,,,,1,leb140130,,First Year Seminar 
"Flores, Kerry M",,,,,,PSY,1100,008,20,5,5,1,1,2,1,1,,,,1,2,1,,,,,0,kmd023000,,First Year Seminar 
"Pan, Jing","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,,BIOL,3380,301,2,8,1,3,2,2,2,1,,,,,,,,,,,1,jxp134330,jing pan,Biochemistry Laboratory 
"Pan, Jing","Palacios Araya, Dennise",,,,,BIOL,3380,302,2,1,1,1,4,4,4,2,3,,,,1,,,,,,0,jxp134330,jing pan,Biochemistry Laboratory 
"Rippel, Scott A","Palacios Araya, Dennise",,,,,BIOL,3380,303,1,4,5,1,1,5,2,2,1,,,1,,,,,,,0,rippel,scott rippel,Biochemistry Laboratory 
"Pickett, Elizabeth A","Avadhanam, Nymisha",,,,,BIOL,3380,304,3,4,7,3,3,2,,,,,,,,,,,,,0,eaw016100,elizabeth pickett,Biochemistry Laboratory 
"Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh",,,,,BIOL,3380,305,1,5,4,3,4,1,2,,,,,,1,,,,,,1,rippel,scott rippel,Biochemistry Laboratory 
"Pan, Jing","Avadhanam, Nymisha",,,,,BIOL,3380,306,2,3,8,4,2,,,1,,1,,,,,,,,,2,jxp134330,jing pan,Biochemistry Laboratory 
"Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh",,,,,BIOL,3380,307,1,2,4,3,4,1,2,1,1,1,,,2,,,,,,1,rippel,scott rippel,Biochemistry Laboratory 
"Pickett, Elizabeth A","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,,BIOL,3380,308,,2,5,1,4,3,4,1,1,1,,,,,,,,,0,eaw016100,elizabeth pickett,Biochemistry Laboratory 
"Hasenhuttl, Maria","Shetty, Karan S",,,,,BA,1100,001,12,11,,1,2,,,2,,2,5,,7,,,,,,0,h1562,maria hasenhuttl,Business Basics 
"Henderson, Tom",,,,,,BA,1100,002,,27,1,,4,1,,1,,,1,1,7,,,,,,0,txh093000,tom henderson,Business Basics 
"Hinze, Whitney P","Kaplan, Marilyn R",,,,,BA,1100,003,15,6,6,4,3,4,,,,,,2,2,,,,,,0,wxh161930,whitney hinze,Business Basics 
"Henderson, Tom",,,,,,BA,1100,004,,22,1,1,6,,,1,,,1,,10,,,,,,0,txh093000,tom henderson,Business Basics 
"Hinojosa, Nick G",,,,,,BA,1100,005,6,10,5,4,4,2,3,1,2,2,,,5,,,,,,0,ngh061000,nick hinojosa,Business Basics 
"Hasenhuttl, Maria","Shetty, Karan S",,,,,BA,1100,006,20,9,,4,2,,,1,,,1,,3,,,,,,1,h1562,maria hasenhuttl,Business Basics 
"Henderson, Tom",,,,,,BA,1100,007,,20,1,4,2,,,2,,1,2,,10,,,,,,0,txh093000,tom henderson,Business Basics 
"Hinze, Whitney P",,,,,,BA,1100,008,10,2,5,3,3,3,1,,3,1,,2,7,,,,,,1,wxh161930,whitney hinze,Business Basics 
"Henry, Sarah E",,,,,,BA,1100,009,4,5,8,3,5,3,,1,1,1,,3,6,,,,,,1,seh150530,sarah henry,Business Basics 
"Hinojosa, Nick G",,,,,,BA,1100,010,11,4,6,5,1,4,1,1,3,,,1,7,,,,,,0,ngh061000,nick hinojosa,Business Basics 
"Henry, Sarah E",,,,,,BA,1100,012,4,10,4,3,5,1,2,1,2,,1,1,6,,,,,,1,seh150530,sarah henry,Business Basics 
"Fadda, Dani Z","Rios, Oziel","Levy, Emily T","Parikh, Ankit R","Sirohia, Gaurav Kumar",,MECH,1100,001,11,71,33,30,20,1,6,1,2,3,1,,9,,,,,,4,dzf091000,dani fadda,Introduction to Mechanical Engineering I 
"Watson, John M",,,,,,BCOM,3100,001,11,12,4,2,2,2,,1,2,,,,5,,,,,,0,jmw077000,john watson,Professional Development 
"Smallwood, James E",,,,,,BCOM,3100,502,7,3,4,2,,1,,,,,,,,,,,,,0,jes094020,james smallwood,Professional Development 
"Chen, Min","Zhang, Dongfang",,,,,STAT,2332,002,5,23,16,13,11,9,1,7,5,1,,,3,,,,,,0,mxc136030,min chen,Introductory Statistics for Life Sciences 
"Konietschke, Frank",,,,,,STAT,6344,001,,2,6,3,5,1,,,,,,,,,,,,,0,fxk141230,frank konietschke,Probability Theory I 
"Gel, Yulia","Huang, Xin",,,,,STAT,6348,001,,31,,,,,,,,,,,,,,,,,0,yxg142030,yulia gel,Applied Multivariate Analysis 
"Honhon, Dorothee B","Chang, Chia-Hao",,,,,OPRE,6302,004,,33,9,3,8,1,1,,,,,,,,,,,,0,dbh130130,dorothee honhon,Operations Management 
"Winter, Patrick M","Chung, Yu-Yen","Kazemimoghadam, Mahdieh","Honari, Arvin","Chakraborty, Somdutta",,BMEN,3120,110,,5,4,,,2,1,,,,,,,,,,,,0,pxw151030,patrick winter,Biomedical Circuits and Instrumentation Laboratory 
"Brandt, Patrick","Arowolo, Olufunlola",,,,,EPPS,7390,001,,,9,5,6,3,,,,,,,,,,,,,1,pxb054000,patrick brandt,Bayesian Analysis for Social and Behavioral Sciences 
"Gurun, Umit",,,,,,ACCT,7313,001,,6,,,,,,,,,,,,,,,,,0,ugg041000,umit gurun,Contemporary Research in Accounting and Economics 
"Saretto, Alessio","Poochiyur Rangaswamy, Arunpriya",,,,,FIN,6360,501,,2,6,17,9,3,,,,,,,,,,,,,0,axs125732,alessio saretto,Options and Futures Markets 
"Guttery, Randall",,,,,,FIN,3305,002,,9,1,,8,1,,11,,,2,,1,,,,,,2,rxg112530,randall guttery,Real Estate Principles 
"Xie, Ying","Ameri, Mina",,,,,MKT,6343,501,,16,10,7,6,,,,,,,,,,,,,,0,yxx124930,ying xie,Social Media Marketing and Insights 
"Woldu, Habte G","Zhou, Jun",,,,,IMS,6365,001,,9,6,4,1,,,,,,,,,,,,,,0,wolduh,habte woldu,Cross-Culture Communication and Management 
"Wang, Shouqiang","Sul, Inki",,,,,OPRE,6301,001,,11,,15,13,,5,3,,,,,3,,,,,,2,sxw163830,shouqiang wang,Statistics and Data Analysis 
"Meacham, Chad",,,,,,CRIM,2308,001,1,1,,1,5,1,1,,,,,,,,,,,,1,cxm173730,,Juvenile Law 
"Fenny, Omobolanle A",,,,,,CRIM,3324,0W1,,39,,,16,,,1,,,,,4,,,,,,0,oae140130,fenny omobolanle,Gender  Crime  and Justice 
"Vieraitis, Lynne M",,,,,,CRIM,4315,001,1,2,5,1,2,,,,,,,,,,,,,,0,lmv071000,lynne vieraitis,Race  Ethnicity  and Justice 
"Polk, Elmer O","Derlic, Dragana",,,,,CRIM,4396,001,31,37,6,2,1,1,,,,1,,,1,,,,,,1,peo091000,elmer polk,Selected Topics in Criminology 
"Flannery, Carol","Mobini Dehkordi, Zahra",,,,,OPRE,6301,002,,19,,12,19,,12,3,,,,,4,,,,,,2,flannery,carol flannery,Statistics and Data Analysis 
"Brussolo, Monica E","Lu, Jia",,,,,OPRE,6301,003,,30,5,16,12,7,2,4,,,,,,,,,,,0,meb049000,monica brussolo,Statistics and Data Analysis 
"Flannery, Carol","Zhang, Wan Hua",,,,,OPRE,6301,004,,31,,5,15,,4,5,,,,,6,,,,,,0,flannery,carol flannery,Statistics and Data Analysis 
"Brussolo, Monica E","Kennedy, Lacey N",,,,,OPRE,6301,005,,31,2,17,13,3,2,3,,,,,1,,,,,,1,meb049000,monica brussolo,Statistics and Data Analysis 
"Brussolo, Monica E","Lu, Jia",,,,,OPRE,6301,006,,29,5,13,7,4,3,2,,,,,1,,,,,,1,meb049000,monica brussolo,Statistics and Data Analysis 
"Wiorkowski, John",,,,,,OPRE,6301,008,,35,8,6,3,2,2,2,,,,,,,,,,,0,wiorkow,john wiorkowski,Statistics and Data Analysis 
"Sethi, Awanti","Chen, Jiayu",,,,,OPRE,6301,009,,24,2,18,9,1,,1,,,,,2,,,,,,0,asethi,awanti sethi,Statistics and Data Analysis 
"Flannery, Carol","Mobini Dehkordi, Zahra","Zhang, Wan Hua",,,,OPRE,6301,010,,21,,3,29,,4,12,,,,,4,,,,,,4,flannery,carol flannery,Statistics and Data Analysis 
"Wiorkowski, John",,,,,,OPRE,6301,011,,29,6,7,10,8,,1,,,,,,,,,,,0,wiorkow,john wiorkowski,Statistics and Data Analysis 
"Sethi, Awanti","Chen, Jiayu",,,,,OPRE,6301,504,,24,2,14,12,,1,1,,,,,,,,,,,1,asethi,awanti sethi,Statistics and Data Analysis 
"Polk, Elmer O",,,,,,CRIM,6308,0W1,,21,1,,,2,,,,,,,,,,,,,0,peo091000,elmer polk,Victimology 
"Leach, Sonia E","Kirci, Ismail",,,,,OPRE,6301,501,,27,12,5,10,1,2,,,,,,1,,,,,,2,sel120030,sonia leach,Statistics and Data Analysis 
"Flannery, Carol","Mobini Dehkordi, Zahra",,,,,OPRE,6301,0W1,,26,,5,9,,2,4,,,,,2,,,,,,0,flannery,carol flannery,Statistics and Data Analysis 
"Wang, Shouqiang","Sul, Inki",,,,,OPRE,6301,MBC,,17,,11,11,,5,7,,,,,2,,,,,,0,sxw163830,shouqiang wang,
"Sethi, Awanti","Gokcinar, Abdullah H",,,,,OPRE,6301,MBP,,22,3,7,8,2,1,1,,,,,,,,,,,1,asethi,awanti sethi,
"Li, Xin",,,,,,ECON,2302,004,1,3,6,6,7,9,,1,2,,,1,,,,,,,1,xxl068000,xin li,Principles of Microeconomics 
"Ramezani, Rasoul",,,,,,ECON,2302,501,6,3,3,5,2,4,2,2,1,4,2,,9,,,,,,0,rxr145930,rasoul ramezani,Principles of Microeconomics 
"Andrews, Rodney J",,,,,,ECON,4340,001,4,11,1,2,3,,1,7,,,,,1,,,,,,1,rja091000,rodney andrews,Labor Economics and Human Resources 
