Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CE,4388,002,,24,1,,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
CE,4388,003,,8,1,1,,,,,,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project I 
CE,4389,001,1,3,2,2,1,1,,1,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project II 
CE,4389,002,4,4,1,4,4,,,3,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project II 
CE,4390,002,,3,4,4,,,,,,,,,,,,,,0,"Farago, Andras","Li, Congzhou",,,,,farago,andras farago,Computer Networks 
CE,4390,003,,1,1,1,1,,3,4,,,,,1,,,,,0,"Solanki, Nidhiben M","Wang, Chengen",,,,,nxs121130,nidhiben solanki,Computer Networks 
CE,4390,501,,,,1,1,,1,5,3,,,,1,,,,,0,"Gupta, Neeraj K","Liu, Dongpeng",,,,,nkg140130,neeraj gupta,Computer Networks 
CE,4390,502,,3,3,4,,1,1,1,,,,,,,,,,0,"Solanki, Nidhiben M","Wang, Chengen","Li, Shuo",,,,nxs121130,nidhiben solanki,Computer Networks 
CE,6301,001,,19,,,,,,,,,,,,,,,,0,"Swartz, William P","Thiagarajan, Shiva Shankar",,,,,wps100020,william swartz,Advanced Digital Logic 
CE,6302,301,,9,2,1,1,,,1,,,,,,,,,,1,"Nikoubin, Tooraj","Steele, Alec M","Zeng, Xiaoming",,,,txn190011,tooraj nikoubin,Microprocessor and Embedded Systems 
CE,6303,001,,1,1,2,3,1,,2,,,,,,,,,,0,"Nourani, Mehrdad","Thiagarajan, Shiva Shankar",,,,,nourani,mehrdad nourani,Testing and Testable Design 
CE,6304,001,,5,18,9,,,,,,,,,,,,,,3,"Carrion Schaefer, Benjamin","Rashid, Md Imtiaz",,,,,bxc162630,benjamin carrion schaefer,Computer Architecture 
CE,6306,001,,8,,3,,,2,,,,,,2,,,,,0,"Zhou, Dian","Wang, Yifan",,,,,zhoud,dian zhou,Application Specific Integrated Circuits Design 
CE,6325,001,,2,5,7,9,10,,,,,,,,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami","Xu, Xiangyu",,,,cms057000,carl sechen,VLSI Design 
CGS,2301,001,17,9,4,10,7,7,3,7,9,,2,,5,,,,,15,"O'Toole, Alice J","Heard, Matthew J",,,,,otoole,alice otoole,Cognitive Science 
CGS,3361,001,4,4,,3,1,,,,,,,,,,,,,0,"Roark, Dana A","Winter-Nelson, Ezra",,,,,danar,dana roark,Cognitive Psychology 
CGS,3361,0W1,3,1,1,1,1,1,,,,1,,1,1,,,,,0,"Seaman, Kendra L","Garza, Christopher R",,,,,kls190004,kendra seaman,Cognitive Psychology 
CGS,4314,0W1,2,6,1,3,6,,,1,1,,,,2,,,,,1,"Golden, Richard","Malaiya, Ritesh K",,,,,golden,richard golden,Intelligent Systems Analysis 
CGS,4352,0W1,15,1,2,,,,,,,,,,,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick,Human-Computer Interaction I 
CGS,4359,501,,6,,,,,,4,,,,,,,,,,0,"Rypma, Bart P","Abdelkarim, Dema H",,,,,bpr061000,bart rypma,Cognitive Neuroscience 
CHEM,1111,101,12,4,5,4,3,1,,,,,,,1,,,,,0,"Dissanayake, Dushanthi S","Mihranyan, Andranik",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,102,12,3,5,5,,1,,2,,,,2,,,,,,0,"Dissanayake, Dushanthi S","Giri, Sachin",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,103,9,6,3,3,2,1,,1,1,,,,1,,,,,1,"Qin, Yanping","Tran, Ly T",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,104,11,9,3,3,,1,1,1,,,,,1,,,,,0,"Huang, Yu","Saleh, Mohammad S",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,105,3,9,2,3,6,4,1,,,,1,,1,,,,,0,"Huang, Yu","Yamada, Kyohei",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,106,12,4,4,1,3,1,,1,1,1,,,1,,,,,1,"Gavva, Sandhya R","Montalvillo, Fernando",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,107,8,8,2,3,4,,,,,,,,4,,,,,1,"Panangala, Samitha D","Hasna Begam, Mohammed Nazar",,,,,sdp140230,samitha panangala,General Chemistry Laboratory I 
CHEM,1111,108,3,7,6,1,5,1,1,1,1,,1,,2,,,,,1,"Panangala, Samitha D","Tran, Ly T",,,,,sdp140230,samitha panangala,General Chemistry Laboratory I 
CHEM,1111,109,1,4,3,4,4,2,1,2,2,,2,2,3,,,,,0,"Jaggi, Neelam","Umer, Arslan",,,,,nxj190013,,General Chemistry Laboratory I 
CHEM,1111,110,1,4,7,,3,4,1,,1,,,1,6,,,,,2,"Jaggi, Neelam","Martinez Garcia, Jonathan",,,,,nxj190013,,General Chemistry Laboratory I 
CHEM,1111,111,7,6,6,3,1,1,,,,1,,,5,,,,,0,"Huang, Yu","Al-Kharji, Noora M",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,112,5,6,6,2,4,2,1,1,1,,1,,1,,,,,0,"Huang, Yu","Tran, Ly T",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,113,9,7,3,1,2,,1,,,,,,5,,,,,2,"Abeykoon, Nimali C","Kumari, Sneha",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory I 
