Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CHEM,2123,1U2,13,7,3,3,,,,,1,,,,,,,"Cortes, Sergio J","Haque, Syed Fahad Bin",,,,,scortes,sergio cortes,Introductory Organic Chemistry Laboratory I 
CHEM,2123,1U3,6,8,2,2,,1,,,1,,,,,,,"Tran, Daniel N","Abbas, Muhammad",,,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory I 
CHEM,2125,1U1,8,10,1,2,1,2,,1,1,1,,,,,,"Abeykoon, Nimali C","Shah, Tejas V",,,,,nxa124430,nimali abeykoon,Introductory Organic Chemistry Laboratory II 
CHEM,2125,1U2,10,13,3,1,,,,,,,,,1,,,"Abeykoon, Nimali C","Hernandez, Jayoh A",,,,,nxa124430,nimali abeykoon,Introductory Organic Chemistry Laboratory II 
CHEM,2125,1U3,10,8,3,1,2,1,,,,1,,,,,,"Abeykoon, Nimali C","Lumata, Jenica",,,,,nxa124430,nimali abeykoon,Introductory Organic Chemistry Laboratory II 
CHEM,2323,0U1,13,16,7,12,12,14,9,5,4,8,,,5,,,"Tran, Daniel N","Boardman, Samuel",,,,,dnt019000,daniel tran,Introductory Organic Chemistry I 
CHEM,2325,0U1,10,13,15,13,15,4,8,9,9,,10,,2,,,"Sibert, John W",,,,,,sibertj,john sibert,Introductory Organic Chemistry II 
CHEM,3361,0U1,,1,4,3,4,1,2,1,1,,,1,,,,"Candas, Mehmet","Ashrafi, Adnin","Kunder, Nikesh Prakash","Chen, Hao",,,candas,mehmet candas,Biochemistry I 
CLDP,3310,5U1,,4,2,2,2,2,1,,1,,,,,,,"Smith, Olivia","Hafiz, Mariam",,,,,oxs140330,olivia smith,Child Development 
CLDP,3342,0U1,11,9,2,1,2,,,,,1,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,,jwb043000,john barfoot,Exceptional Children 
COMD,5340,0U1,,26,,,,,,,,,,,,,,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge,Articulation Disorders 
COMD,6377,0U1,,11,,,1,,,,,,,,,,,"Kenedi, Helen","Sale, Felicity F",,,,,kenedi,,Neurogenic Communication Disorders I 
COMD,6V09,0U1,,41,,,,,,,,,,,,,2,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge,Autism Spectrum Disorder 
COMD,7303,0U1,,104,,,4,,,,,,,,,,,"Dean, Lucinda L","Kenedi, Helen","Poudel, Sonali",,,,lxl018300,,Dysphagia 
COMD,7323,0U1,,16,,,1,,,,,,,,,,2,"Sweeney, Melissa",,,,,,msweeney,,Auditory-Verbal Methods 
COMD,7345,0U1,,40,,,3,,,,,,,,,,14,"Cook, Lori G","Berglund, Amy",,,,,lgc011100,lori cook,Pediatric Traumatic Brain Injury 
COMD,7V68,0U1,,37,,,,,,,,,,,,,1,"Sale, Felicity F",,,,,,ffs013000,,Cognitive Rehabilitation 
COMD,7V89,0U1,,30,1,,,1,,,,,,,,,2,"Walsh, Diane G","Moustafa, Rana",,,,,dxg022000,diane walsh,Mild Cognitive Impairment  Alzheimer s Disease and Related Disorders 
COMM,1311,001,1,1,5,4,2,1,1,,,,1,,1,,,"Arnold, Bob",,,,,,bxa161430,bob arnold,
COMM,1311,0W1,5,4,7,1,2,1,,,,,,,1,,,"Templeton, Allison A",,,,,,aam141730,allison templeton,
COMM,1311,0W2,14,4,,2,1,1,,,,,,,,,,"Tanner, Lari J",,,,,,ljt130130,lari tanner,
COMM,1311,0W4,5,2,1,1,,,,,,,,,2,,,"Moss, Daniel J",,,,,,djm161130,daniel moss,
COMM,3352,0H1,9,6,,,1,,1,1,,,,,1,,,"Johnson, Janet L",,,,,,jlj065000,janet johnson,Media and Culture 
COMM,4370,051,,16,4,,,,,,,,,,,,,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz,Communication and Leadership 
CRIM,1301,0U1,,3,6,1,,3,1,,,,,,,,,"Hernandez, Richard",,,,,,rxh142930,richard hernandez,Introduction to Criminal Justice 
CRIM,1307,0U1,1,4,3,1,3,1,1,1,2,,,2,1,,,"Han, Sungil",,,,,,sxh145430,,Introduction to Crime and Criminology 
CRIM,3301,0W1,1,10,7,6,4,3,,2,3,1,1,,1,,,"Yim, Haneul","Sanil Mannumood, Merin",,,,,hxy170530,,Theories of Justice 
CRIM,3302,0W1,10,6,2,1,,,,,,,1,,1,,,"Polk, Elmer O",,,,,,peo091000,elmer polk,Advanced Criminology 
CRIM,3310,0U1,,28,,,4,,,8,,,3,,2,,,"Park, Yeonjae","Kanvinde, Vrishali",,,,,yxp190004,yeonjae park,Youth Crime and Justice 
CRIM,3311,0U1,,2,1,2,2,1,5,2,,,,1,,,,"Riddell, Jordan R",,,,,,jxr122330,,American Crime  Truths  Half-Truths  and Lies 
CRIM,3320,0U1,5,11,10,11,4,,3,,1,,1,,1,,,"Corey, Jessica","Hayslip, Melissa P",,,,,jxc190009,jessica corey,Homicide and Capital Punishment 
CRIM,3324,0W1,5,7,7,6,9,7,8,3,,,,1,2,,,"Derlic, Dragana","Sanders, Whitney S",,,,,dxd171830,dragana derlic,Gender  Crime  and Justice 
CRIM,6308,0W1,,17,1,,,,,,,,,,,,,"Polk, Elmer O",,,,,,peo091000,elmer polk,Victimology 
CRWT,3307,551,3,3,3,,,1,1,,,,,,,,,"Hashim, Sahalie S",,,,,,sxh126730,sahalie hashim,Creating Short Stories 
CS,1134,1U1,18,,1,1,,,,1,,,,,,,,"Min, Richard K",,,,,,rkm010300,richard min,Computer Science Laboratory 
CS,1136,1U1,16,,2,,,,,,,1,,,,,,"Min, Richard K",,,,,,rkm010300,richard min,Computer Science Laboratory 
CS,1136,1U2,9,,1,,1,,1,,2,,,,,,,"Min, Richard K",,,,,,rkm010300,richard min,Computer Science Laboratory 
CS,1325,0U1,4,7,4,7,8,1,1,1,,,,,2,,,"Paulk, Mark C","Tian, Zijing",,,,,mcp130030,mark paulk,Introduction to Programming 
CS,1334,0U1,2,5,5,2,2,2,2,,,,1,,1,,,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold,Programming Fundamentals for Non-Majors 
CS,1335,0U1,1,5,4,1,3,4,,1,1,2,1,,,,,"Erbatur, Serdar","Guo, Hung-Jui",,,,,sxe190003,serdar erbatur,Computer Science I for Non-majors 
CS,1336,0U1,2,6,3,2,3,6,1,,2,,,,3,,,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold,Programming Fundamentals 
CS,1336,5U1,3,5,2,5,2,,,1,2,,,,1,,,"Gupta, Neeraj K","Mahzari, Anahita","Guo, Jianxiong",,,,nkg140130,neeraj gupta,Programming Fundamentals 
CS,1337,0U1,2,,2,3,5,2,4,4,1,1,2,1,4,,,"Shields, Charles O","Benton, Samuel D",,,,,cshields,charles shields,Computer Science I 
CS,1337,0U2,4,2,8,2,2,1,,5,,,,,2,,,"DeGroot, Doug","Guo, Hung-Jui","Benton, Samuel D",,,,dxd180020,doug degroot,Computer Science I 
CS,2305,0U1,2,6,2,2,4,2,2,1,,1,,,3,,,"Feng, Ranran","Garg, Srishti",,,,,rxf090020,ranran feng,Discrete Mathematics for Computing I 
CS,2305,5U1,8,11,,,8,1,,,,,,,1,,,"Farage, Timothy P",,,,,,tfarage,timothy farage,Discrete Mathematics for Computing I 
CS,2336,0U1,18,6,2,2,1,1,,,,,,,,,,"Khan, Ziaullah","Song, Zihe","Lam, Tan D",,,,kkhan,ziaullah khan,Computer Science II 
CS,2336,0U2,,2,4,3,1,3,,1,,1,,1,2,,,"Feng, Ranran","Guo, Jinghui",,,,,rxf090020,ranran feng,Computer Science II 
CS,2336,5U1,12,16,3,,,,,1,1,,,,,,,"Khan, Ziaullah","Lam, Tan D",,,,,kkhan,ziaullah khan,Computer Science II 
CS,3305,0U1,4,25,,1,3,,1,,,,1,,,,,"Farage, Timothy P",,,,,,tfarage,timothy farage,Discrete Mathematics for Computing II 
CS,3305,0U2,2,2,6,6,9,3,,1,,,,,,,,"Prakash, Ravi",,,,,,ravip,ravi prakash,Discrete Mathematics for Computing II 
CS,3305,0U3,3,4,7,4,4,2,1,,2,,1,,,,,"Kumar, Pushpa S","Guo, Junfeng",,,,,pkumar,pushpa kumar,Discrete Mathematics for Computing II 
CS,3340,0U1,2,3,5,3,3,3,3,4,,1,,2,,,,"Mazidi, Karen J","Kobayashi, Hideo","Kong, Zelun",,,,kjm160430,karen mazidi,Computer Architecture 
CS,3340,0U2,12,3,4,4,3,5,1,3,,,1,,,,,"Karami, Gity","Kong, Zelun","Wang, Haoliang",,,,gxk180009,gity karami,Computer Architecture 
CS,3341,0U1,15,4,4,4,6,3,2,1,2,,1,1,2,,,"Whalen, Tristan G","Zhen, Zhiwei","Wasala Mudiyanselage, Indrajith K",,,,tgw100020,tristan whalen,Probability and Statistics in Computer Science and Software Engineering 
CS,3345,0U1,5,8,1,3,3,3,,,,1,,,,,,"Ozbirn, Greg A","Wang, Guanghua","Gour, Riti",,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
CS,3345,0U2,2,6,3,5,3,1,2,,,1,,,,,,"Ozbirn, Greg A","Hu, Linghuan",,,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
CS,3345,5U1,9,5,,2,,,,,,,,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
CS,3354,0U1,6,10,5,,1,1,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,,kxs180052,klyne smith,Software Engineering 
CS,3354,5U1,3,7,3,1,2,,1,,1,,1,,,,,"Paulk, Mark C","Tian, Zijing",,,,,mcp130030,mark paulk,Software Engineering 
CS,3360,5U1,2,3,,1,1,2,,1,1,,1,,2,,,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold,Computer Graphics for Artists and Designers 
CS,3377,0W1,6,4,6,8,3,3,3,2,,,,,,,,"Min, Richard K","Rangasamy, Obuli Vignesh",,,,,rkm010300,richard min,C C  Programming in a UNIX Environment 
CS,4141,6U1,15,2,2,1,2,,,1,,,,,,,,"Nguyen, Nhut","Malouf, Brian D",,,,,nhutnn,nhut nguyen,Digital Systems Laboratory 
CS,4301,0U1,14,1,6,2,2,3,2,2,1,,,,1,,,"Karami, Gity","Wang, Haoliang",,,,,gxk180009,gity karami,Special Topics in Computer Science 
CS,4336,0U1,11,8,5,4,2,1,,,1,,,1,4,,,"Ozbirn, Greg A","Wang, Guanghua",,,,,ozbirn,greg ozbirn,Advanced Java 
CS,4337,0U1,4,8,5,3,,2,1,,2,,,,,,,"Davis, Chris I","Liu, Bohan",,,,,cid021000,chris davis,Organization of Programming Languages 
CS,4337,0U2,12,2,2,5,1,2,1,1,2,,2,,1,,,"Karami, Gity","Ricks, Brian W",,,,,gxk180009,gity karami,Organization of Programming Languages 
CS,4341,0U1,1,4,6,3,2,,,,3,3,2,,1,,,"Nguyen, Nhut","Malouf, Brian D",,,,,nhutnn,nhut nguyen,Digital Logic and Computer Design 
CS,4347,0U1,1,13,4,5,1,,,1,1,1,,,1,,,"Cankaya, Ebru C","Li, Xiao",,,,,exc067000,ebru cankaya,Database Systems 
CS,4347,0U2,6,3,4,5,1,,,,,,1,,1,,,"Christiansen, Michael G","Garg, Srishti",,,,,mgc013000,michael christiansen,Database Systems 
CS,4348,0U1,3,4,9,4,8,7,1,,2,,1,,,,,"Christiansen, Michael G","Mukherjee, Kunal",,,,,mgc013000,michael christiansen,Operating Systems Concepts 
CS,4348,5U1,1,3,2,4,2,5,,,3,,,1,2,,,"Salazar, Elmer E","Wang, Chengen",,,,,ees101020,elmer salazar,Operating Systems Concepts 
CS,4349,0U1,7,13,3,1,7,,,1,,,,,,,,"Cankaya, Ebru C","Ashtiani, Omeed E","Guo, Junfeng",,,,exc067000,ebru cankaya,Advanced Algorithm Design and Analysis 
CS,4349,0U2,1,7,7,2,2,3,1,,,,,,,,,"Erbatur, Serdar",,,,,,sxe190003,serdar erbatur,Advanced Algorithm Design and Analysis 
CS,4349,0U3,,5,4,3,1,1,1,,,,,,,,,"Chitturi, Bhadrachalam","Patel, Dhruvkumar R",,,,,chalam,chitturi bhadrachalam,Advanced Algorithm Design and Analysis 
CS,4375,0U1,,3,10,8,4,1,,2,,1,,,1,,,"Mazidi, Karen J","Kobayashi, Hideo",,,,,kjm160430,karen mazidi,Introduction to Machine Learning 
CS,4375,0U2,4,8,5,8,1,3,,,,,,,1,,,"Nagar, Anurag","Guo, Jinghui",,,,,axn112530,anurag nagar,Introduction to Machine Learning 
CS,4384,0U1,2,4,4,3,,4,5,2,3,2,2,1,3,,,"Shields, Charles O","Wang, Chengen",,,,,cshields,charles shields,Automata Theory 
CS,4384,0U2,1,4,8,3,3,,,,,,,,,,,"Davis, Chris I","Wu, Zhouxiang",,,,,cid021000,chris davis,Automata Theory 
CS,4390,0U1,1,2,4,4,2,3,1,3,,1,1,,2,,,"Le, Khiem V","Gour, Riti",,,,,kvl140030,khiem le,Computer Networks 
CS,4390,0U2,,4,3,4,5,3,,3,1,,2,,,,,"Nguyen, Nhut","Kobayashi, Hideo","Mai, Kelvin K",,,,nhutnn,nhut nguyen,Computer Networks 
CS,4393,0U1,1,6,3,3,6,,,2,3,,,,,,,"Nguyen, Nhut","Mai, Kelvin K",,,,,nhutnn,nhut nguyen,Computer and Network Security 
CS,5343,0U1,,7,3,1,3,,,,,,,,,,,"Gupta, Neeraj K","Li, Xiao",,,,,nkg140130,neeraj gupta,Algorithm Analysis and Data Structures 
CS,6301,0U1,,14,13,4,,,,,,,,,,,,"Nagar, Anurag","Wu, Zhouxiang",,,,,axn112530,anurag nagar,Special Topics in Computer Science 
CS,6301,0U3,,24,,,,,,,,,,,,,,"Thuraisingham, Bhavani","Ricks, Brian W",,,,,bxt043000,bhavani thuraisingham,Special Topics in Computer Science 
CS,6314,5U1,,6,4,,,,,,,,,,,,,"Min, Richard K","Patel, Dhruvkumar R",,,,,rkm010300,richard min,Web Programming Languages 
CS,6350,0U1,,11,12,8,2,,,,,,,,,,,"Nagar, Anurag","Wang, Huaduo","Wu, Zhouxiang",,,,axn112530,anurag nagar,Big Data Management and Analytics 
CS,6359,0U1,,4,4,4,4,,,,,,,,,,,"Zhang, Kang","Mukherjee, Kunal",,,,,kzhang,kang zhang,Object-Oriented Analysis and Design 
CS,6360,5U1,,16,9,2,5,,,,,,,,,,,"Davis, Chris I","Liu, Bohan",,,,,cid021000,chris davis,Database Design 
CS,6363,0U1,,13,20,5,2,,,,,,,,,,,"Chandrasekaran, Ramaswamy","De, Partha",,,,,chandra,ramaswamy chandrasekaran,Design and Analysis of Computer Algorithms 
CS,6364,0U1,,22,8,2,1,2,2,2,,,,,,,,"Schweitzer, Haim","Jin, Rong",,,,,haim,haim schweitzer,Artificial Intelligence 
CS,6366,0U1,,8,6,5,3,2,,2,,,,,1,,,"Zhang, Kang","Malik, Hemant",,,,,kzhang,kang zhang,Computer Graphics 
CS,6367,0U1,,8,1,1,1,,,,,,,,,,,"Wong, Weichen E",,,,,,wew021000,weichen wong,Software Testing  Validation and Verification 
CS,6375,5U1,,7,5,5,9,1,1,2,,,,,1,,,"Schweitzer, Haim","Wan, Guihong",,,,,haim,haim schweitzer,Machine Learning 
CS,6375,MU1,,7,2,1,,,,,,,,,,,,"Nagar, Anurag",,,,,,axn112530,anurag nagar,
CS,6378,0U1,,5,8,4,7,1,,1,,,,,,,,"Mittal, Neeraj","Wang, Huaduo",,,,,nxm020100,neeraj mittal,Advanced Operating Systems 
CS,6385,0W1,,22,,2,2,,,3,,,,,,,,"Farago, Andras","Guo, Jianxiong",,,,,farago,andras farago,Algorithmic Aspects of Telecommunication Networks 
DANC,1310,0H1,4,17,9,2,5,,,1,,,,,,,,"Saba, Monica",,,,,,msaba,monica saba,Understanding Dance  (3 Semester Credit Hours)
ECON,2301,0U1,7,12,5,2,2,3,,1,2,,,,,,,"Han, Minyu",,,,,,mxh162130,minyu han,Principles of Macroeconomics 
ECON,2302,0U1,5,5,7,3,4,6,3,4,1,,,,2,,,"Hou, Aoyu",,,,,,axh153230,,Principles of Microeconomics 
ECON,2302,5U1,1,5,5,4,4,3,2,,,,,,1,,,"Shi, Tianjian",,,,,,txs142330,,Principles of Microeconomics 
ECS,2361,0U1,,30,25,14,6,2,,,,,,,1,,,"McCaskill, John R",,,,,,jrm094020,john mccaskill,Social Issues and Ethics in Science and Technology 
ECS,2361,0U2,,22,6,12,7,2,3,,,,,,,,,"Harrington, James","Park, Yong Jun",,,,,jxh134630,james harrington,Social Issues and Ethics in Science and Technology 
ECS,2361,5U1,,30,17,11,11,2,1,,2,1,,,,,,"McCaskill, John R","Harrington, James","Park, Yong Jun",,,,jrm094020,john mccaskill,Social Issues and Ethics in Science and Technology 
ECS,3390,051,12,6,1,,,,,,,,,,,,,"Montgomery, Christina",,,,,,cxm190022,christina montgomery,Professional and Technical Communication 
ECS,3390,053,,12,1,2,2,,,,,,,,2,,,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
ECS,3390,054,1,7,2,3,1,,,,1,,,,,,,"King, Carie S",,,,,,cxl085200,carie king,Professional and Technical Communication 
ECS,3390,055,4,8,,1,,1,2,,,,2,,,,,"King, Carie S",,,,,,cxl085200,carie king,Professional and Technical Communication 
ECS,3390,091,,14,,,2,,,2,,,,,,,,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
ECS,3390,092,,13,3,1,,,,,,,,,,,,"Mohsene, Laura L",,,,,,olive,laura mohsene,Professional and Technical Communication 
ED,4358,0W1,1,6,2,,1,2,1,1,,,,,2,,,"Root, Alexey",,,,,,aroot,alexey root,Chess I  Using Chess in Schools  (3 Semester Credit Hours)
EE,3201,0U1,3,8,5,3,1,,,2,,,,,,,,"Nikoubin, Tooraj","Steele, Alec M","Jain, Apurva",,,,txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
EE,3202,0U1,,12,4,1,3,2,2,1,1,,,,,,,"Kiasaleh, Kamran","Apalak, Merve",,,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
EE,3301,0U1,4,6,1,1,4,,1,2,2,,,,1,,,"Tacca, Marco","Abousaba, Mohammad F","Wang, Jianda",,,,mtacca,marco tacca,Electrical Network Analysis 
EE,3302,0U1,2,2,1,,3,2,,,,,,,,,,"Kehtarnavaz, Nasser","Quayum, Ayon",,,,,nxk019000,nasser kehtarnavaz,Signals and Systems 
EE,3310,0U1,3,4,1,2,2,2,1,5,1,,,,2,,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee,Electronic Devices 
EE,3311,0U1,1,3,6,4,6,2,1,,,,,,,,,"Lee, Hoi","Chen, Chen","Xiong, Jiu",,,,hxl054000,hoi lee,Electronic Circuits 
EE,3311,5U1,,2,8,5,2,1,,,,,,,,,,"Sechen, Carl","Hu, Bo","Palit, Prithviraj",,,,cms057000,carl sechen,Electronic Circuits 
EE,3320,0U1,3,,2,2,2,,1,,,,1,,,,,"Nikoubin, Tooraj","Sears, Mark R",,,,,txn190011,tooraj nikoubin,Digital Circuits 
EE,4203,0U1,7,4,3,2,2,2,1,,1,,,,,,,"Kehtarnavaz, Nasser","Azarang, Arian","Majumder, Sharmin",,,,nxk019000,nasser kehtarnavaz,Electrical and Computer Engineering Laboratory in Signals and Systems 
EE,4388,0U1,,14,6,2,,,,,,,,,,,,"Skinner, Neal G","Noor Shoudha, Shamman",,,,,skinner,neal skinner,Senior Design Project I 
EE,4389,0U1,3,19,2,6,1,,,,,,,,,,,"Bhatia, Dinesh","Gandluru, Veerabharathchandrareddy",,,,,dinesh,dinesh bhatia,Senior Design Project II 
EEBM,7V87,0W1,,14,,,,,,,,,,,,,,"Tamil, Lakshman",,,,,,laxman,lakshman tamil,Special Topics in Biomedical Applications of Electrical Engineering  - Telemedicine & Ai for Hlthcare (3 Semester Credit Hours)
EEOP,6314,0H1,,22,3,,,,,,,,,,,,,"Tamil, Lakshman",,,,,,laxman,lakshman tamil,Principles of Fiber and Integrated Optics  (3 Semester Credit Hours)
EERF,7V89,0W1,,10,,,6,,,,,,,,,,,"Henderson, Rashaunda M","Virushabadoss, Nishanth",,,,,rmh072000,rashaunda henderson,Special Topics in RF and Microwave Systems  - Intro Multiferroic Mtrls & Sys (3 Semester Credit Hours)
ENGR,2300,0U1,4,6,4,3,9,,4,3,4,,2,,2,,,"Akin, Bilal","Li, Chen","Hassan, Rana A",,,,bxa123330,bilal akin,Linear Algebra for Engineers 
ENGR,3300,0U1,,26,2,3,12,1,,6,,,,,,,,"Ali, Mohammed Z","Upadhyay, Bhaskar R","Nourmohamadi, Hesam",,,,mohammed,ali mohammed,Advanced Engineering Mathematics 
ENGR,3341,0U1,1,4,5,2,4,5,9,4,4,,,6,2,,,"Fonseka, John","Hassan, Rana A","Mahmoud, Mohamed H",,,,kjp,john fonseka,Probability Theory and Statistics 
ENTP,3301,0U1,11,8,12,10,1,1,1,,,,,,,,,"Nichols, Paul M",,,,,,pxn120030,paul nichols,Innovation and Entrepreneurship 
ENTP,4340,0U1,20,25,3,,1,1,,1,,,,,,,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Social Sector Entrepreneurship and Community Engagement 
ENTP,6321,5U1,,3,,,6,,,1,,,,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery,Introduction to Real Estate 
ENTP,6370,0W1,,13,6,2,3,1,,,,,,,,,,"Kimzey, Jackie","Kwon, Jung Hyun",,,,,jxk092000,jackie kimzey,Innovation and Entrepreneurship 
ENTP,6375,0W1,,5,3,1,,,,,,,,,1,,,"Bochsler, Daniel C",,,,,,dcb091000,daniel bochsler,Technology and New Product Development 
EPPS,2301,5U1,,10,5,,2,1,,,,,,,,,,"Narvey, Chelsey",,,,,,cxn151330,chelsey narvey,Research Design in the Social and Policy Sciences 
EPPS,2302,5U1,,5,6,2,3,,,,,,,,1,,,"Cavallo De Oliveira, Paulo Marcio","Akarte, Prajakti V",,,,,pxc151630,,Methods of Quantitative Analysis in the Social and Policy Sciences 
EPPS,7V81,001,,14,4,,3,,,,,,,,,,,"Ho, Karl","Yang, Yalin",,,,,kxh022100,karl ho,Special Topics in Social Science Research Methodology 
FILM,1303,0U1,,7,2,,,,1,,,,,,,,,"Al-Habashneh, Eman Bahjat",,,,,,eba130130,eman al habashneh,Transnational Film and Video 
FILM,3321,051,1,8,1,1,2,,,,,,,,,,,"Warren, Shilyh J",,,,,,sjw120030,shilyh warren,Film in Historical Context 
FIN,3305,5U1,,2,2,,10,1,,5,,,1,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery,Real Estate Principles 
FIN,3320,0U1,,7,10,7,4,6,1,1,2,,,,,,,"Heidtman, David M",,,,,,dmh061000,david heidtman,Business Finance 
FIN,3320,0U2,1,11,11,5,6,3,2,,,,,,,,,"Peabody, Stephen D",,,,,,sdp093020,,Business Finance 
FIN,3320,0U3,2,10,16,5,4,,1,3,1,1,,,,,,"Peabody, Stephen D",,,,,,sdp093020,,Business Finance 
FIN,3320,0W1,,15,12,7,4,3,,1,,,,,,,,"Manzi, Jeff",,,,,,jxm158130,jeffrey manzi,Business Finance 
FIN,3320,5U2,2,8,6,4,4,2,2,1,1,1,1,,1,,,"Zhao, Yabo",,,,,,yxz163130,yabo zhao,Business Finance 
FIN,3330,0U1,,13,,,3,,,5,,,,,,,,"Lynch, Julie",,,,,,jxl180030,julie lynch,Personal Financial Planning 
FIN,3340,0U1,27,11,5,1,,,1,1,,,,,,,,"Molina, Stephen","Wendel, Alexa P",,,,,sxm163630,stephen molina,Regulation of Business and Financial Markets 
FIN,3350,0U1,,15,,,5,,,,,,,,,,,"Smith, Kenneth L",,,,,,kls110030,ken smith,Financial Markets and Institutions 
FIN,3360,0U1,1,5,7,6,12,4,,,2,,,,1,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo,Entrepreneurial Finance 
FIN,3390,5U1,6,5,6,3,8,6,5,4,4,1,2,,2,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,,ahe013000,amal el ashmawi,Introduction to Financial Modeling 
FIN,3395,5U1,,3,3,2,3,3,,,,,,,,,,"Noland, Jeff",,,,,,jxn125330,jeff noland,Financial Modeling and Valuation 
FIN,4300,0U1,3,2,1,2,3,8,4,1,3,,1,,1,,,"Kim, Sang Hyun",,,,,,sxk158231,sang hyun kim,Investment Management 
FIN,4310,0U1,1,4,,4,9,4,8,3,3,,1,,2,,,"Anderson, Frank W",,,,,,fwa012000,,Intermediate Financial Management 
FIN,6301,0W1,,44,,,5,,,,,,,,,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,,ahe013000,amal el ashmawi,Financial Management 
FIN,6301,5U1,,10,4,2,3,3,1,,,,,,,,,"Baranchuk, Nina",,,,,,nxb043000,nina baranchuk,Financial Management 
FIN,6301,CW1,,20,3,2,3,2,,,,,,,1,,,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,
FIN,6301,PU1,,16,2,3,2,1,1,,,,,,,,,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,
FIN,6301,XU1,,25,1,,5,1,,1,,,,,,,,"El-Ashmawi, Amal H","Zhu, Yifan",,,,,ahe013000,amal el ashmawi,
FIN,6307,5U1,,12,3,1,3,1,,,,,,,,,,"Ma, Liping","Srivastava, Smriti",,,,,lxm133730,liping ma,Mathematical Methods for Finance 
FIN,6308,0W1,,8,,1,2,3,,,,,,,,,,"Lewin, Peter","Lee, Pil-Seng",,,,,plewin,peter lewin,Regulation of Business and Financial Markets 
FIN,6310,5U1,,18,3,1,1,1,,1,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,,dxk110730,dupinderjeet kaur,Investment Theory and Practice 
FIN,6316,SU1,,6,6,5,3,2,,,,,,,,,,"Springate, David J",,,,,,spring8,david springate,
FIN,6318,5U1,,18,9,4,3,,,,,,,,,,,"Ma, Liping","Srivastava, Smriti",,,,,lxm133730,liping ma,Analytics of Finance 
FIN,6350,0W1,,9,4,5,14,,,,,,,,,,,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,Advanced Corporate Finance 
FIN,6352,5U1,,5,2,1,3,,,,,,,,,,,"Springate, David J",,,,,,spring8,david springate,Financial Modeling For Valuation 
FIN,6360,5U1,,9,,1,,,1,,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,,dxk110730,dupinderjeet kaur,Derivatives Markets 
FIN,6360,SU1,,18,2,1,1,,,,,,,,,,,"Kaur, Dupinderjeet","Lee, Pil-Seng",,,,,dxk110730,dupinderjeet kaur,
GEOG,3359,051,,13,7,4,1,1,,2,,,,1,1,,,"Vakulenko, Irina",,,,,,iav081000,irina vakulenko,Human Migration and Mobility  Global Patterns 
GEOG,3382,051,3,5,3,1,,1,,,,,,,,,,"Vakulenko, Irina",,,,,,iav081000,irina vakulenko,Russia  Yesterday  Today  and Tomorrow 
GEOS,1303,051,11,15,4,2,1,,2,,1,,,,,,,"Griffin, William R","Wang, Ning",,,,,griffin,william griffin,Physical Geology 
GEOS,4300,0S1,4,11,2,,3,2,2,,,,,,,,,"Pirouz, Mortaza","Stine, Jonathan M","Akatakpo, Solomon O","Newman, Jordan W","Johnson, Samuel P","Geissman, John W",mxp180004,mortaza pirouz,Field Geology II 
GOVT,2305,0U1,,39,,,19,,,6,,,1,,3,,,"Eaton, John M","Stanaland, Leslie",,,,,jme130030,john eaton,American National Government 
GOVT,2305,0U2,,28,,,14,,,4,,,,,2,,,"Eaton, John M","Stanaland, Leslie",,,,,jme130030,john eaton,American National Government 
